#recid,audittime,userid,clientname,clienttype,command,noderange,args,status,comments,disable
"1","05-03-2010 16:53:41","root","localhost.localdomain","cli","mknb",," x86","Allowed",,
"2","05-03-2010 16:53:46","root","localhost.localdomain","cli","mknb",," ppc64","Allowed",,
"3","05-03-2010 16:53:55","root","localhost.localdomain","cli","mknb",," x86_64","Allowed",,
"4","05-03-2010 16:54:33","root","localhost.localdomain","cli","tabdump",," prescripts","Allowed",,
"5","05-03-2010 16:55:37","root","localhost.localdomain","cli","nodeset","node1018"," stat","Allowed",,
"6","05-03-2010 16:57:55","root","localhost.localdomain","cli","rpower","crd5"," stat","Allowed",,
"7","05-03-2010 16:58:07","root","localhost.localdomain","cli","tabdump",," nodehm","Allowed",,
"8","05-03-2010 16:58:18","root","localhost.localdomain","cli","rpower","crd7"," stat","Allowed",,
"9","05-03-2010 17:01:36","root","localhost.localdomain","cli","nodeset","node1018"," stat","Allowed",,
"10","05-03-2010 17:02:53","root","localhost.localdomain","cli","nodeset","node1018"," stat","Allowed",,
"11","05-03-2010 17:07:20","root","localhost.localdomain","cli","tabdump",," prescripts","Allowed",,
"12","05-03-2010 17:07:54","root","localhost.localdomain","cli","tabdump",," prescripts","Allowed",,
"13","05-03-2010 17:08:05","root","localhost.localdomain","cli","tabrestore",,,"Allowed",,
"14","05-03-2010 17:08:08","root","localhost.localdomain","cli","nodeset","node1018"," stat","Allowed",,
"15","05-03-2010 17:08:21","root","localhost.localdomain","cli","nodeset","node1018"," boot","Allowed",,
"16","05-03-2010 17:08:57","root","localhost.localdomain","cli","nodeset","node1018"," boot","Allowed",,
"17","05-03-2010 17:09:21","root","localhost.localdomain","cli","nodeset","node1018"," boot","Allowed",,
"18","05-03-2010 17:09:50","root","localhost.localdomain","cli","nodeset","node1018,node1019"," boot","Allowed",,
"19","05-03-2010 17:11:07","root","localhost.localdomain","cli","nodeset","node1018,node1019"," boot","Allowed",,
"20","05-03-2010 17:12:06","root","localhost.localdomain","cli","nodeset","node1018,node1019"," boot","Allowed",,
"21","05-03-2010 17:12:27","root","localhost.localdomain","cli","tabdump",," prescripts","Allowed",,
"22","05-03-2010 17:12:38","root","localhost.localdomain","cli","tabrestore",,,"Allowed",,
"23","05-03-2010 17:12:53","root","localhost.localdomain","cli","nodeset","node1018,node1019"," boot","Allowed",,
"24","05-03-2010 17:13:09","root","localhost.localdomain","cli","nodeset","node1018,node1019"," boot","Allowed",,
"25","05-03-2010 17:13:38","root","localhost.localdomain","cli","nodeset","node1018,node1019"," boot","Allowed",,
"26","05-03-2010 17:13:59","root","localhost.localdomain","cli","nodeset","node1018,node1019"," boot","Allowed",,
"27","05-03-2010 17:18:23","root","localhost.localdomain","cli","nodeset","node1018,node1019"," boot","Allowed",,
"28","05-03-2010 17:19:04","root","localhost.localdomain","cli","nodeset","node1018,node1019"," boot","Allowed",,
"29","05-03-2010 17:28:25","root","localhost.localdomain","cli","nodeset","node1018"," install","Allowed",,
"30","05-03-2010 17:32:42","root","localhost.localdomain","cli","nodeset","node1018"," boot","Allowed",,
"31","05-03-2010 17:32:47","root","localhost.localdomain","cli","nodeset","node1018"," stat","Allowed",,
