#recid,audittime,userid,clientname,clienttype,command,noderange,args,status,comments,disable
"32","05-03-2010 17:33:57","root","localhost.localdomain","cli","nodeset","node1018"," install","Allowed",,
"33","05-03-2010 17:34:09","root","localhost.localdomain","cli","tabdump",," prescipts","Allowed",,
"34","05-03-2010 17:34:14","root","localhost.localdomain","cli","tabdump",," prescripts","Allowed",,
"35","05-03-2010 17:34:21","root","localhost.localdomain","cli","tabrestore",,,"Allowed",,
"36","05-03-2010 17:34:27","root","localhost.localdomain","cli","nodeset","node1018"," install","Allowed",,
"37","05-03-2010 17:35:02","root","localhost.localdomain","cli","nodeset","node1018"," install","Allowed",,
"38","05-03-2010 17:35:18","root","localhost.localdomain","cli","nodeset","node1018"," boot","Allowed",,
"39","05-03-2010 17:35:32","root","localhost.localdomain","cli","tabdump",," prescripts","Allowed",,
"40","05-03-2010 17:35:39","root","localhost.localdomain","cli","tabrestore",,,"Allowed",,
"41","05-03-2010 17:35:44","root","localhost.localdomain","cli","nodeset","node1018"," boot","Allowed",,
"42","05-03-2010 17:36:18","root","localhost.localdomain","cli","nodeset","node1018,node1019"," install","Allowed",,
"43","05-03-2010 17:36:41","root","localhost.localdomain","cli","nodeset","node1018,node1019"," boot","Allowed",,
"44","05-03-2010 17:38:09","root","localhost.localdomain","cli","nodeset","node1018,node1019"," install","Allowed",,
"45","05-03-2010 17:38:50","root","localhost.localdomain","cli","nodeset","node1018-node1020"," install","Allowed",,
"46","05-03-2010 17:39:21","root","localhost.localdomain","cli","nodeset","node1018-node1020"," install","Allowed",,
"47","05-03-2010 17:39:58","root","localhost.localdomain","cli","nodeset","node1018-node1020"," install","Allowed",,
"48","05-03-2010 17:40:14","root","localhost.localdomain","cli","nodeset","node1018-node1020"," boot","Allowed",,
"49","05-04-2010 11:59:06","root","localhost.localdomain","cli","tabgrep","node1016",,"Allowed",,
"50","05-04-2010 11:59:08","root","localhost.localdomain","cli","nodeadd",," node1016 groups=dell,farm,all mac.interface=eth0 hosts.ip=192.168.35.67 mac.mac=","Allowed",,
"51","05-04-2010 11:59:08","root","localhost.localdomain","cli","tabdump",,,"Allowed",,
"52","05-04-2010 11:59:09","root","localhost.localdomain","cli","tabdump",," auditlog","Allowed",,
"53","05-04-2010 11:59:09","root","localhost.localdomain","cli","tabdump",," bootparams","Allowed",,
"54","05-04-2010 11:59:09","root","localhost.localdomain","cli","tabdump",," boottarget","Allowed",,
"55","05-04-2010 11:59:10","root","localhost.localdomain","cli","tabdump",," chain","Allowed",,
"56","05-04-2010 11:59:10","root","localhost.localdomain","cli","tabdump",," deps","Allowed",,
"57","05-04-2010 11:59:11","root","localhost.localdomain","cli","tabdump",," domain","Allowed",,
"58","05-04-2010 11:59:11","root","localhost.localdomain","cli","tabdump",," eventlog","Allowed",,
"59","05-04-2010 11:59:11","root","localhost.localdomain","cli","tabdump",," hosts","Allowed",,
"60","05-04-2010 11:59:12","root","localhost.localdomain","cli","tabdump",," hypervisor","Allowed",,
"61","05-04-2010 11:59:12","root","localhost.localdomain","cli","tabdump",," ipmi","Allowed",,
"62","05-04-2010 11:59:13","root","localhost.localdomain","cli","tabdump",," iscsi","Allowed",,
"63","05-04-2010 11:59:13","root","localhost.localdomain","cli","tabdump",," linuximage","Allowed",,
"64","05-04-2010 11:59:14","root","localhost.localdomain","cli","tabdump",," litefile","Allowed",,
"65","05-04-2010 11:59:14","root","localhost.localdomain","cli","tabdump",," litetree","Allowed",,
"66","05-04-2010 11:59:14","root","localhost.localdomain","cli","tabdump",," mac","Allowed",,
"67","05-04-2010 11:59:15","root","localhost.localdomain","cli","tabdump",," monitoring","Allowed",,
"68","05-04-2010 11:59:15","root","localhost.localdomain","cli","tabdump",," monsetting","Allowed",,
"69","05-04-2010 11:59:15","root","localhost.localdomain","cli","tabdump",," mp","Allowed",,
"70","05-04-2010 11:59:16","root","localhost.localdomain","cli","tabdump",," mpa","Allowed",,
"71","05-04-2010 11:59:16","root","localhost.localdomain","cli","tabdump",," networks","Allowed",,
"72","05-04-2010 11:59:17","root","localhost.localdomain","cli","tabdump",," nimimage","Allowed",,
"73","05-04-2010 11:59:17","root","localhost.localdomain","cli","tabdump",," nodegroup","Allowed",,
"74","05-04-2010 11:59:18","root","localhost.localdomain","cli","tabdump",," nodehm","Allowed",,
"75","05-04-2010 11:59:18","root","localhost.localdomain","cli","tabdump",," nodelist","Allowed",,
"76","05-04-2010 11:59:18","root","localhost.localdomain","cli","tabdump",," nodepos","Allowed",,
"77","05-04-2010 11:59:19","root","localhost.localdomain","cli","tabdump",," noderes","Allowed",,
"78","05-04-2010 11:59:19","root","localhost.localdomain","cli","tabdump",," nodetype","Allowed",,
"79","05-04-2010 11:59:20","root","localhost.localdomain","cli","tabdump",," notification","Allowed",,
"80","05-04-2010 11:59:20","root","localhost.localdomain","cli","tabdump",," osimage","Allowed",,
"81","05-04-2010 11:59:20","root","localhost.localdomain","cli","tabdump",," passwd","Allowed",,
"82","05-04-2010 11:59:21","root","localhost.localdomain","cli","tabdump",," performance","Allowed",,
"83","05-04-2010 11:59:21","root","localhost.localdomain","cli","tabdump",," policy","Allowed",,
"84","05-04-2010 11:59:21","root","localhost.localdomain","cli","tabdump",," postscripts","Allowed",,
"85","05-04-2010 11:59:22","root","localhost.localdomain","cli","tabdump",," ppc","Allowed",,
"86","05-04-2010 11:59:22","root","localhost.localdomain","cli","tabdump",," ppcdirect","Allowed",,
"87","05-04-2010 11:59:23","root","localhost.localdomain","cli","tabdump",," ppchcp","Allowed",,
"88","05-04-2010 11:59:23","root","localhost.localdomain","cli","tabdump",," prescripts","Allowed",,
"89","05-04-2010 11:59:23","root","localhost.localdomain","cli","tabdump",," prodkey","Allowed",,
"90","05-04-2010 11:59:24","root","localhost.localdomain","cli","tabdump",," servicenode","Allowed",,
"91","05-04-2010 11:59:24","root","localhost.localdomain","cli","tabdump",," site","Allowed",,
"92","05-04-2010 11:59:25","root","localhost.localdomain","cli","tabdump",," statelite","Allowed",,
"93","05-04-2010 11:59:25","root","localhost.localdomain","cli","tabdump",," switch","Allowed",,
"94","05-04-2010 11:59:25","root","localhost.localdomain","cli","tabdump",," switches","Allowed",,
"95","05-04-2010 11:59:26","root","localhost.localdomain","cli","tabdump",," vm","Allowed",,
"96","05-04-2010 11:59:26","root","localhost.localdomain","cli","tabdump",," vpd","Allowed",,
"97","05-04-2010 11:59:26","root","localhost.localdomain","cli","tabdump",," websrv","Allowed",,
"98","05-04-2010 11:59:27","root","localhost.localdomain","cli","tabdump",," zvm","Allowed",,
"99","05-04-2010 11:59:58","root","localhost.localdomain","cli","makehosts","node1016",,"Allowed",,
"100","05-04-2010 11:59:58","root","localhost.localdomain","cli","makedhcp","node1016",,"Allowed",,
"101","05-04-2010 12:08:01","root","localhost.localdomain","cli","noderm","node1016",,"Allowed",,
"102","05-04-2010 12:08:09","root","localhost.localdomain","cli","tabgrep","node1016",,"Allowed",,
"103","05-04-2010 12:08:11","root","localhost.localdomain","cli","nodeadd",," node1016 groups=dell,farm,all mac.interface=eth0 hosts.ip=192.168.35.67 mac.mac=00:1D:09:FC:D0:EC","Allowed",,
"104","05-04-2010 12:08:11","root","localhost.localdomain","cli","tabdump",,,"Allowed",,
"105","05-04-2010 12:08:12","root","localhost.localdomain","cli","tabdump",," auditlog","Allowed",,
