#netname,net,mask,mgtifname,gateway,dhcpserver,tftpserver,nameservers,ntpservers,logservers,dynamicrange,nodehostname,comments,disable
"build","192.168.32.0","255.255.240.0","eth1","192.168.32.2","192.168.32.2","192.168.32.2","69.173.64.11,69.173.64.12",,,,,,
"main","69.173.64.0","255.255.240.0","eth0",,,"69.173.75.226","69.173.64.11,69.173.64.12",,,,,,
