#node,currstate,currchain,chain,ondiscover,comments,disable
"node152","boot","boot","runcmd=standby",,,
"node153","boot","boot","runcmd=standby",,,
"node154","boot","boot","runcmd=standby",,,
"node155","boot","boot","runcmd=standby",,,
"node157","boot","boot","runcmd=standby",,,
"node158","boot","boot","runcmd=standby",,,
"node160","boot","boot","runcmd=standby",,,
"node161","boot","boot","runcmd=standby",,,
"node164","boot","boot","runcmd=standby",,,
"node168","boot","boot","runcmd=standby",,,
"node183","boot","boot","runcmd=standby",,,
"node184","boot","boot","runcmd=standby",,,
"node186","boot","boot","runcmd=standby",,,
"node188","boot","boot","runcmd=standby",,,
"node189","boot","boot","runcmd=standby",,,
"node191","boot","boot","runcmd=standby",,,
"node195","boot","boot","runcmd=standby",,,
"node196","boot","boot","runcmd=standby",,,
"node201","boot","boot","runcmd=standby",,,
"node205","boot","boot","runcmd=standby",,,
"node208","boot","boot","runcmd=standby",,,
"node210","boot","boot","runcmd=standby",,,
"node213","boot","boot","runcmd=standby",,,
"node214","boot","boot","runcmd=standby",,,
"node151","boot","boot","runcmd=standby",,,
"node159","boot","boot","runcmd=standby",,,
"node190","boot","boot","runcmd=standby",,,
"node202","boot","boot","runcmd=standby",,,
"node207","boot","boot","runcmd=standby",,,
"node141","boot","boot","runcmd=standby",,,
"node165","boot","boot","runcmd=standby",,,
"node148","boot","boot","runcmd=standby",,,
"node150","boot","boot","runcmd=standby",,,
"node185","boot","boot","runcmd=standby",,,
"node187","boot","boot","runcmd=standby",,,
"node192","boot","boot","runcmd=standby",,,
"node194","boot","boot","runcmd=standby",,,
"node1337","boot","boot","runcmd=standby",,,
"node203","boot","boot","runcmd=standby",,,
"node204","boot","boot","runcmd=standby",,,
"node209","boot","boot","runcmd=standby",,,
"node231","boot","boot","runcmd=standby",,,
"node229","boot","boot","runcmd=standby",,,
"node232","boot","boot","runcmd=standby",,,
"node233","boot","boot","runcmd=standby",,,
"node234","boot","boot","runcmd=standby",,,
"node235","boot","boot","runcmd=standby",,,
"node238","boot","boot","runcmd=standby",,,
"node239","boot","boot","runcmd=standby",,,
"node240","boot","boot","runcmd=standby",,,
"node241","boot","boot","runcmd=standby",,,
"node242","boot","boot","runcmd=standby",,,
"node1339","boot","boot","runcmd=standby",,,
"node1342","boot","boot","runcmd=standby",,,
"node1343","boot","boot","runcmd=standby",,,
"node1344","boot","boot","runcmd=standby",,,
"node156","boot","boot","runcmd=standby",,,
"node166","boot","boot","runcmd=standby",,,
"node167","boot","boot","runcmd=standby",,,
"node236","boot","boot","runcmd=standby",,,
"node341","boot","boot","runcmd=standby",,,
"node342","boot","boot","runcmd=standby",,,
"node343","boot","boot","runcmd=standby",,,
"node344","boot","boot","runcmd=standby",,,
"node345","boot","boot","runcmd=standby",,,
"node346","boot","boot","runcmd=standby",,,
"node347","boot","boot","runcmd=standby",,,
"node348","boot","boot","runcmd=standby",,,
"node349","boot","boot","runcmd=standby",,,
"node351","boot","boot","runcmd=standby",,,
"node352","boot","boot","runcmd=standby",,,
"node353","boot","boot","runcmd=standby",,,
"node354","boot","boot","runcmd=standby",,,
"node397","boot","boot","runcmd=standby",,,
"node398","boot","boot","runcmd=standby",,,
"node399","boot","boot","runcmd=standby",,,
"node400","boot","boot","runcmd=standby",,,
"node401","boot","boot","runcmd=standby",,,
"node402","boot","boot","runcmd=standby",,,
"node403","boot","boot","runcmd=standby",,,
"node405","boot","boot","runcmd=standby",,,
"node406","boot","boot","runcmd=standby",,,
"node407","boot","boot","runcmd=standby",,,
"node408","boot","boot","runcmd=standby",,,
"node444","boot","boot","runcmd=standby",,,
"node449","boot","boot","runcmd=standby",,,
"node450","boot","boot","runcmd=standby",,,
"node451","boot","boot","runcmd=standby",,,
"node439","boot","boot","runcmd=standby",,,
"node440","boot","boot","runcmd=standby",,,
"node441","boot","boot","runcmd=standby",,,
"node443","boot","boot","runcmd=standby",,,
"node428","boot","boot","runcmd=standby",,,
"node429","boot","boot","runcmd=standby",,,
"node430","boot","boot","runcmd=standby",,,
"node434","boot","boot","runcmd=standby",,,
"node445","boot","boot","runcmd=standby",,,
"node447","boot","boot","runcmd=standby",,,
"node425","boot","boot","runcmd=standby",,,
"node426","boot","boot","runcmd=standby",,,
"node431","boot","boot","runcmd=standby",,,
"node438","boot","boot","runcmd=standby",,,
"hardac","boot","boot","runcmd=standby",,,
"node432","boot","boot","runcmd=standby",,,
"node446","boot","boot","runcmd=standby",,,
"node448","boot","boot","runcmd=standby",,,
"node453","boot","boot","runcmd=standby",,,
"node454","boot","boot","runcmd=standby",,,
"node455","boot","boot","runcmd=standby",,,
"node456","boot","boot","runcmd=standby",,,
"node457","boot","boot","runcmd=standby",,,
"node459","boot","boot","runcmd=standby",,,
"node460","boot","boot","runcmd=standby",,,
"node462","boot","boot","runcmd=standby",,,
"node463","boot","boot","runcmd=standby",,,
"node464","boot","boot","runcmd=standby",,,
"node465","boot","boot","runcmd=standby",,,
"node466","boot","boot","runcmd=standby",,,
"node1066","boot","boot","runcmd=standby",,,
"node1070","boot","boot","runcmd=standby",,,
"node1071","boot","boot","runcmd=standby",,,
"node1073","boot","boot","runcmd=standby",,,
"node1074","boot","boot","runcmd=standby",,,
"node1075","boot","boot","runcmd=standby",,,
"node1079","boot","boot","runcmd=standby",,,
"node427","boot","boot","runcmd=standby",,,
"node433","boot","boot","runcmd=standby",,,
"node435","boot","boot","runcmd=standby",,,
"node437","boot","boot","runcmd=standby",,,
"node442","boot","boot","runcmd=standby",,,
"node452","boot","boot","runcmd=standby",,,
"node458","boot","boot","runcmd=standby",,,
"node461","boot","boot","runcmd=standby",,,
"node1072","boot","boot","runcmd=standby",,,
"node1349","boot","boot","runcmd=standby",,,
"node1336","boot","boot","runcmd=standby",,,
"node1067","boot","boot","runcmd=standby",,,
"node1068","boot","boot","runcmd=standby",,,
"node1354","boot","boot","runcmd=standby",,,
"node1359","boot","boot","runcmd=standby",,,
"node1362","boot","boot","runcmd=standby",,,
"node1363","boot","boot","runcmd=standby",,,
"node1352","boot","boot","runcmd=standby",,,
"node1355","boot","boot","runcmd=standby",,,
"node1357","boot","boot","runcmd=standby",,,
"node1358","boot","boot","runcmd=standby",,,
"node1360","boot","boot","runcmd=standby",,,
"node404","boot","boot","runcmd=standby",,,
"node409","boot","boot","runcmd=standby",,,
"node1069","boot","boot","runcmd=standby",,,
"node1076","boot","boot","runcmd=standby",,,
"node1081","boot","boot","runcmd=standby",,,
"node1082","boot","boot","runcmd=standby",,,
"node1084","boot","boot","runcmd=standby",,,
"node1085","boot","boot","runcmd=standby",,,
"node1086","boot","boot","runcmd=standby",,,
"node1088","boot","boot","runcmd=standby",,,
"node1089","boot","boot","runcmd=standby",,,
"node1092","boot","boot","runcmd=standby",,,
"node1093","boot","boot","runcmd=standby",,,
"node1094","boot","boot","runcmd=standby",,,
"node1095","boot","boot","runcmd=standby",,,
"node1096","boot","boot","runcmd=standby",,,
"node1098","boot","boot","runcmd=standby",,,
"node1099","boot","boot","runcmd=standby",,,
"node1101","boot","boot","runcmd=standby",,,
"node1102","boot","boot","runcmd=standby",,,
"node1103","boot","boot","runcmd=standby",,,
"node1106","boot","boot","runcmd=standby",,,
"node1107","boot","boot","runcmd=standby",,,
"node1108","boot","boot","runcmd=standby",,,
"node1109","boot","boot","runcmd=standby",,,
"node1110","boot","boot","runcmd=standby",,,
"gsa1","boot","boot","runcmd=standby",,,
"node1356","boot","boot","runcmd=standby",,,
"node1361","boot","boot","runcmd=standby",,,
"node1338","boot","boot","runcmd=standby",,,
"node1341","boot","boot","runcmd=standby",,,
"node1345","boot","boot","runcmd=standby",,,
"gsa2","boot","boot","runcmd=standby",,,
"node372","boot","boot","runcmd=standby",,,
"node373","boot","boot","runcmd=standby",,,
"node374","boot","boot","runcmd=standby",,,
"node376","boot","boot","runcmd=standby",,,
"node378","boot","boot","runcmd=standby",,,
"node380","boot","boot","runcmd=standby",,,
"node379","boot","boot","runcmd=standby",,,
"node381","boot","boot","runcmd=standby",,,
"node370","boot","boot","runcmd=standby",,,
"node371","boot","boot","runcmd=standby",,,
"node377","boot","boot","runcmd=standby",,,
"node382","boot","boot","runcmd=standby",,,
"node410","boot","boot","runcmd=standby",,,
"node1078","boot","boot","runcmd=standby",,,
"node1090","boot","boot","runcmd=standby",,,
"node1100","boot","boot","runcmd=standby",,,
"node1104","boot","boot","runcmd=standby",,,
"node1097","boot","boot","runcmd=standby",,,
"node1232","boot","boot","runcmd=standby",,,
"gsa3","boot","boot","runcmd=standby",,,
"node1353","boot","boot","runcmd=standby",,,
"node247","boot","boot","runcmd=standby",,,
"node248","boot","boot","runcmd=standby",,,
"node249","boot","boot","runcmd=standby",,,
"gapdev01","boot","boot","runcmd=standby",,,
"node162","boot","boot","runcmd=standby",,,
"node375","boot","boot","runcmd=standby",,,
"node436","boot","boot","runcmd=standby",,,
"node1080","boot","boot","runcmd=standby",,,
"node1111","boot","boot","runcmd=standby",,,
"node1364","boot","boot","runcmd=standby",,,
"node1366","boot","boot","runcmd=standby",,,
"node1367","boot","boot","runcmd=standby",,,
"node1401","boot","boot","runcmd=standby",,,
"node1402","boot","boot","runcmd=standby",,,
"node1403","boot","boot","runcmd=standby",,,
"node1404","boot","boot","runcmd=standby",,,
"node1405","boot","boot","runcmd=standby",,,
"node1406","boot","boot","runcmd=standby",,,
"node1407","boot","boot","runcmd=standby",,,
"node1065","boot","boot","runcmd=standby",,,
"node1077","boot","boot","runcmd=standby",,,
"node1087","boot","boot","runcmd=standby",,,
"node1091","boot","boot","runcmd=standby",,,
"node1365","boot","boot","runcmd=standby",,,
"node1400","boot","boot","runcmd=standby",,,
"node369","boot","boot","runcmd=standby",,,
"berkelium","boot","boot","runcmd=standby",,,
"node1105","boot","boot","runcmd=standby",,,
"node1227","boot","boot","runcmd=standby",,,
"node1414","boot","boot","runcmd=standby",,,
"node1416","boot","boot","runcmd=standby",,,
"node1417","boot","boot","runcmd=standby",,,
"node1418","boot","boot","runcmd=standby",,,
"node1420","boot","boot","runcmd=standby",,,
"node1421","boot","boot","runcmd=standby",,,
"node1422","boot","boot","runcmd=standby",,,
"node1423","boot","boot","runcmd=standby",,,
"node1424","boot","boot","runcmd=standby",,,
"node1425","boot","boot","runcmd=standby",,,
"node1426","boot","boot","runcmd=standby",,,
"node1427","boot","boot","runcmd=standby",,,
"node1428","boot","boot","runcmd=standby",,,
"node1429","boot","boot","runcmd=standby",,,
"node1430","boot","boot","runcmd=standby",,,
"node1304","boot","boot","runcmd=standby",,,
"node1305","boot","boot","runcmd=standby",,,
"node1306","boot","boot","runcmd=standby",,,
"node1307","boot","boot","runcmd=standby",,,
"node1308","boot","boot","runcmd=standby",,,
"node1310","boot","boot","runcmd=standby",,,
"node1311","boot","boot","runcmd=standby",,,
"node1312","boot","boot","runcmd=standby",,,
"node1313","boot","boot","runcmd=standby",,,
"node1314","boot","boot","runcmd=standby",,,
"node1315","boot","boot","runcmd=standby",,,
"node1316","boot","boot","runcmd=standby",,,
"node1317","boot","boot","runcmd=standby",,,
"node1318","boot","boot","runcmd=standby",,,
"node1319","boot","boot","runcmd=standby",,,
"node1320","boot","boot","runcmd=standby",,,
"node1321","boot","boot","runcmd=standby",,,
"node1322","boot","boot","runcmd=standby",,,
"node1323","boot","boot","runcmd=standby",,,
"node1324","boot","boot","runcmd=standby",,,
"node1325","boot","boot","runcmd=standby",,,
"node1327","boot","boot","runcmd=standby",,,
"node1328","boot","boot","runcmd=standby",,,
"node1329","boot","boot","runcmd=standby",,,
"node1330","boot","boot","runcmd=standby",,,
"node1331","boot","boot","runcmd=standby",,,
"node1332","boot","boot","runcmd=standby",,,
"node1334","boot","boot","runcmd=standby",,,
"node1335","boot","boot","runcmd=standby",,,
"node1408","boot","boot","runcmd=standby",,,
"node1411","boot","boot","runcmd=standby",,,
"node1412","boot","boot","runcmd=standby",,,
"node1413","boot","boot","runcmd=standby",,,
"node1415","boot","boot","runcmd=standby",,,
"node1410","boot","boot","runcmd=standby",,,
"node1004","boot","boot","runcmd=standby",,,
"node1005","boot","boot","runcmd=standby",,,
"node1006","boot","boot","runcmd=standby",,,
"hyacinth","boot","boot","runcmd=standby",,,
"node1432","boot","boot","runcmd=standby",,,
"node1333","boot","boot","runcmd=standby",,,
"node1309","boot","boot","runcmd=standby",,,
"node1151","boot","boot","runcmd=standby",,,
"node1433","boot","boot","runcmd=standby",,,
"node1434","boot","boot","runcmd=standby",,,
"node1435","boot","boot","runcmd=standby",,,
"node1436","boot","boot","runcmd=standby",,,
"node1437","boot","boot","runcmd=standby",,,
"node1438","boot","boot","runcmd=standby",,,
"node1439","boot","boot","runcmd=standby",,,
"node1440","boot","boot","runcmd=standby",,,
"node1442","boot","boot","runcmd=standby",,,
"node1443","boot","boot","runcmd=standby",,,
"node1445","boot","boot","runcmd=standby",,,
"node1446","boot","boot","runcmd=standby",,,
"node1447","boot","boot","runcmd=standby",,,
"node1409","boot","boot","runcmd=standby",,,
"gapqa02","boot","boot","runcmd=standby",,,
