skipped special files,79
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,1.25 TB
total user data,2.07 TB
percent overhead,-0.648549

histogram,file size
count,867064,items
average,2557.491418,KB
min,0,KB
max,1388875,KB
bucket min,bucket max,count,val count
0,2,264646,91488.695312
2,4,2892,8648.215820
4,8,4565,22936.935547
8,16,94139,1204234.257812
16,32,59255,1083672.374023
32,64,1748,83786.121094
64,128,4832,484172.469727
128,256,17717,3681064.069336
256,512,60442,22611942.216797
512,1024,99824,77507182.047852
1024,2048,104021,148480795.633789
2048,4096,36031,100682836.780273
4096,8192,21077,119351263.785156
8192,16384,54963,652585150.828125
16384,32768,35082,768324813.614258
32768,65536,5364,191717873.500977
65536,131072,107,9325969.485352
131072,262144,172,35167668.908203
262144,524288,152,53376931.610352
524288,1048576,27,21658608.519531
1048576,2097152,8,10057698.562500

histogram,capacity used
count,867064,items
average,1551.274635,KB
min,0,KB
max,681386,KB
bucket min,bucket max,count,val count
0,2,200644,292177.000000
2,4,68896,206688.000000
4,8,90239,571593.500000
8,16,56226,616109.500000
16,32,12650,290664.000000
32,64,3935,187022.000000
64,128,11450,1164833.500000
128,256,39383,7470928.500000
256,512,77736,29646035.000000
512,1024,121750,88918909.000000
1024,2048,64764,91852045.000000
2048,4096,27121,80569733.500000
4096,8192,41339,244995391.000000
8192,16384,37104,419881172.000000
16384,32768,11703,255192750.500000
32768,65536,1748,61296741.500000
65536,131072,188,18939483.000000
131072,262144,151,26645443.000000
262144,524288,30,11929031.500000
524288,1048576,7,4387639.000000

histogram,directory size (entries)
count,476,items
average,1822.726891,ents
min,0,ents
max,32888,ents
bucket min,bucket max,count,val count
0,1,65,32
2,3,30,84
4,7,10,51
8,15,56,580
16,31,111,2314
32,63,1,34
64,127,20,1875
128,255,18,3090
256,511,6,2326
512,1023,10,7820
1024,2047,65,102793
2048,4095,14,36944
4096,8191,43,217822
8192,16383,11,107515
16384,32767,14,318567
32768,65535,2,65771

histogram,directory size
count,476,items
average,1.781960,KB
min,0,KB
max,32,KB
bucket min,bucket max,count,val count
0,2,392,118.928711
2,4,14,36.105469
4,8,43,212.800781
8,16,11,105.016602
16,32,14,311.127930
32,64,2,64.233398

histogram,filename length
count,867619,items
average,18.079371,chars
min,4,chars
max,43,chars
bucket min,bucket max,count,val count
0,7,445,2600
8,15,4125,53181
16,23,860194,15530314
24,31,819,21695
32,39,972,34865
40,47,1064,43351

histogram,mtime (files)
count,867064,items
average,330.375102,days
min,216,days
max,559,days
bucket min,bucket max,count,val count
128,256,61361,15239703.020475
256,512,805596,271157202.693953
512,1024,107,59451.913021

histogram,mtime (KB)
count,2217508738,items
average,322.509691,days
min,216,days
max,559,days
