skipped special files,20412
skipped duplicate hardlinks,457
skipped snapshot dirs,0
total capacity used,12.70 TB
total user data,31.05 TB
percent overhead,-1.446024

histogram,file size
count,2447555,items
average,13622.699245,KB
min,0,KB
max,880010254,KB
bucket min,bucket max,count,val count
0,2,527038,334810.683594
2,4,195791,587064.406250
4,8,134973,758126.352539
8,16,206792,2624677.370117
16,32,203986,5182156.768555
32,64,70363,3159375.269531
64,128,130999,11323185.661133
128,256,42353,7503016.101562
256,512,46877,17707221.322266
512,1024,56215,42153701.604492
1024,2048,630779,1212981376.196289
2048,4096,34822,105929209.678711
4096,8192,37891,225291565.489258
8192,16384,41916,493698950.059570
16384,32768,28015,648415220.855469
32768,65536,20123,916503534.678711
65536,131072,12273,1097004058.145508
131072,262144,11239,2098259255.211914
262144,524288,7165,2629970734.857422
524288,1048576,4175,3042385355.427734
1048576,2097152,1819,2729390797.421875
2097152,4194304,1226,3499001632.774414
4194304,8388608,432,2412125583.835938
8388608,16777216,140,1608387387.109375
16777216,33554432,24,575764199.732422
33554432,67108864,10,404578872.497070
67108864,134217728,118,8671274325.753906
536870912,1073741824,1,880010254.656250

histogram,capacity used
count,2447555,items
average,5569.160387,KB
min,0,KB
max,169653599,KB
bucket min,bucket max,count,val count
0,2,307592,425281.000000
2,4,373999,1121997.000000
4,8,254865,1257938.500000
8,16,262599,2581324.500000
16,32,120573,2428637.000000
32,64,64422,2798618.500000
64,128,125378,10945736.500000
128,256,62707,11702562.500000
256,512,52326,19210714.500000
512,1024,34193,24934025.500000
1024,2048,628405,1217800843.500000
2048,4096,43966,130413546.500000
4096,8192,30679,173572261.500000
8192,16384,26768,300915489.500000
16384,32768,23183,564664227.500000
32768,65536,12551,561814837.000000
65536,131072,10030,930954871.000000
131072,262144,6036,1125179088.000000
262144,524288,3175,1161479226.500000
524288,1048576,2041,1391547884.500000
1048576,2097152,1226,1797205377.500000
2097152,4194304,590,1751029909.500000
4194304,8388608,174,956158026.000000
8388608,16777216,52,545520300.500000
16777216,33554432,11,233565100.000000
33554432,67108864,13,541944926.500000
134217728,268435456,1,169653599.500000

histogram,directory size (entries)
count,72516,items
average,35.039702,ents
min,0,ents
max,36527,ents
bucket min,bucket max,count,val count
0,1,15855,12107
2,3,10644,29417
4,7,18268,99637
8,15,15653,160663
16,31,5366,116748
32,63,3115,136188
64,127,1910,173108
128,255,847,139629
256,511,344,111399
512,1023,149,99161
1024,2047,230,402040
2048,4095,30,94522
4096,8191,59,400403
8192,16383,41,458012
16384,32767,4,71378
32768,65535,1,36527

histogram,directory size
count,72516,items
average,0.036172,KB
min,0,KB
max,35,KB
bucket min,bucket max,count,val count
0,2,72381,1586.776367
2,4,30,92.365234
4,8,59,391.133789
8,16,41,447.357422
16,32,4,69.712891
32,64,1,35.672852

histogram,filename length
count,2540940,items
average,16.047822,chars
min,1,chars
max,130,chars
bucket min,bucket max,count,val count
0,7,134769,570278
8,15,1276425,15343677
16,23,853559,16280642
24,31,187837,5027899
32,39,51605,1780220
40,47,21410,918189
48,55,9166,466481
56,63,4037,238228
64,71,1346,90459
72,79,685,51563
80,87,88,7503
88,95,3,271
96,103,4,401
104,111,1,106
120,127,3,378
127,-1,2,259.000000

histogram,mtime (files)
count,2447555,items
average,404.382346,days
min,-1501,days
max,3249,days
bucket min,bucket max,count,val count
-1,0,1,-1501.900544
0,2,5666,6497.460058
2,4,10831,34268.559421
4,8,3904,24063.596400
8,16,22880,244409.203623
16,32,36160,955892.902211
32,64,39306,2069041.123843
64,128,199825,19602577.694504
128,256,1329186,188734439.377550
256,512,224210,79559289.940649
512,1024,259552,194522241.791309
1024,2048,215474,270420063.295699
2048,4096,100560,233576749.352850

histogram,mtime (KB)
count,33342305649,items
average,186.346999,days
min,-1501,days
max,3249,days
bucket min,bucket max,count,val count
0,2,67149544,60585717.243045
2,4,91986378,288017353.396801
4,8,202880184,1232347362.484758
8,16,1992118052,23770238298.299564
16,32,2317025913,57907087120.603691
32,64,2700470628,141405599255.689606
64,128,11108449818,1091166372048.340820
128,256,9188478526,1532024428652.357910
256,512,2971545267,1142044178905.610840
512,1024,2253815335,1616508314063.905029
1024,2048,395612736,486779039622.203369
2048,4096,52773260,120052375657.288330

histogram,ctime (files)
count,2447555,items
average,121.646142,days
min,0,days
max,140,days
bucket min,bucket max,count,val count
0,2,22960,26906.002824
2,4,11243,35474.900486
4,8,6312,36876.289988
8,16,33706,376412.857963
16,32,46593,1232862.151319
32,64,51437,2844819.558113
64,128,338499,32383773.294966
128,256,1936805,260798497.364704

histogram,ctime (KB)
count,33342305649,items
average,97.839979,days
min,0,days
max,140,days
bucket min,bucket max,count,val count
0,2,68739086,62808727.936552
2,4,98344642,307901437.265554
4,8,257575609,1520518275.791239
8,16,2024828655,24222136313.047874
16,32,3047673786,80312042097.920761
32,64,2459137901,134926566077.881485
64,128,10646752914,1036572232933.099731
128,256,14739253053,1984286270870.400146

histogram,atime (files)
count,2447555,items
average,109.965761,days
min,0,days
max,1363,days
bucket min,bucket max,count,val count
0,2,32792,36172.676655
2,4,16107,50113.304387
4,8,7419,45621.815324
8,16,33183,372730.253241
16,32,45190,1036180.028206
32,64,54298,2967453.112558
64,128,2234047,253310252.975125
128,256,10636,1576281.513530
256,512,2563,913919.825648
512,1024,10210,7419050.711481
1024,2048,1110,1419472.241736

histogram,atime (KB)
count,33342305649,items
