skipped special files,316
skipped duplicate hardlinks,0
skipped snapshot dirs,1
total capacity used,31.13 TB
total user data,26.00 TB
percent overhead,0.164671

histogram,file size
count,23053588,items
average,1211.019500,KB
min,0,KB
max,51191738,KB
bucket min,bucket max,count,val count
0,2,18845703,13239098.712891
2,4,129748,387704.786133
4,8,832918,5846020.022461
8,16,868153,7909216.568359
16,32,391327,8666080.417969
32,64,40486,1845643.031250
64,128,62368,5543609.278320
128,256,14419,2667824.605469
256,512,31831,12401465.615234
512,1024,118022,95810161.704102
1024,2048,765416,1212181327.155273
2048,4096,435952,1142274786.262695
4096,8192,124687,720619784.162109
8192,16384,172474,2138181372.113281
16384,32768,128835,2982911723.942383
32768,65536,28654,1182630217.885742
65536,131072,33371,3225812444.464844
131072,262144,22077,4049733943.494141
262144,524288,4778,1471935148.071289
524288,1048576,630,480263426.913086
1048576,2097152,682,1008735352.724609
2097152,4194304,383,1190529851.803711
4194304,8388608,387,2262151484.727539
8388608,16777216,219,2608146989.901367
16777216,33554432,42,996324020.117188
33554432,67108864,26,1091595904.103516

histogram,capacity used
count,23053588,items
average,1449.488846,KB
min,1,KB
max,59755513,KB
bucket min,bucket max,count,val count
0,2,145466,218199.000000
2,4,10212,20424.000000
16,32,19649917,501072883.500000
32,64,870668,43052821.500000
64,128,405366,31015156.000000
128,256,47567,9253177.500000
256,512,54991,18696397.500000
512,1024,74788,59242449.500000
1024,2048,462035,722825993.000000
2048,4096,755041,2020340350.000000
4096,8192,157458,882168713.500000
8192,16384,142966,1753499616.500000
16384,32768,162598,3701901570.500000
32768,65536,48293,1934819740.500000
65536,131072,29219,2944258960.500000
131072,262144,27098,5044147438.000000
262144,524288,7437,2442999741.000000
524288,1048576,577,446728594.500000
1048576,2097152,711,1069726132.000000
2097152,4194304,394,1153674087.000000
4194304,8388608,445,2658727707.500000
8388608,16777216,227,2725994236.500000
16777216,33554432,79,1663284830.500000
33554432,67108864,35,1588249436.500000

histogram,directory size (entries)
count,32167,items
average,717.694252,ents
min,0,ents
max,13266,ents
bucket min,bucket max,count,val count
0,1,6389,5384
2,3,8439,18268
4,7,1427,7468
8,15,1368,14077
16,31,427,9347
32,63,1105,49206
64,127,475,43069
128,255,428,84143
256,511,204,86433
512,1023,5203,3762151
1024,2047,3046,5280407
2048,4095,2806,6638141
