skipped special files,16
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,7.77 TB
total user data,7.64 TB
percent overhead,0.017234

histogram,file size
count,1143409,items
average,7175.008075,KB
min,0,KB
max,123922,KB
bucket min,bucket max,count,val count
0,2,298,176.846680
2,4,25,58.186523
4,8,11,54.654297
8,16,11,132.709961
32,64,1,56.602539
128,256,1,147.000977
256,512,2,840.266602
2048,4096,7,16462.763672
4096,8192,1142657,8199862166.445312
8192,16384,381,3137491.895508
16384,32768,2,36163.223633
32768,65536,8,384263.081055
65536,131072,5,530794.448242

histogram,capacity used
count,1143409,items
average,7300.812546,KB
min,0,KB
max,124119,KB
bucket min,bucket max,count,val count
0,2,174,250.000000
2,4,127,381.000000
4,8,36,171.500000
8,16,9,113.000000
16,32,2,33.000000
32,64,1,58.000000
256,512,2,651.000000
512,1024,1,517.500000
2048,4096,7,17059.000000
4096,8192,1142654,8343654261.000000
8192,16384,381,3188346.500000
16384,32768,2,36265.000000
32768,65536,8,385086.000000
65536,131072,5,531580.000000

histogram,directory size (entries)
count,3203,items
average,357.985326,ents
min,0,ents
max,400,ents
bucket min,bucket max,count,val count
0,1,25,11
4,7,1,4
8,15,10,84
16,31,35,793
32,63,64,3080
64,127,264,21120
256,511,2804,1121535

histogram,directory size
count,3203,items
average,0.351548,KB
min,0,KB
max,0,KB
bucket min,bucket max,count,val count
0,2,3203,1126.008789

histogram,filename length
count,1146628,items
average,11.897758,chars
min,4,chars
max,49,chars
bucket min,bucket max,count,val count
0,7,3180,15263
8,15,1142869,13615390
16,23,479,8166
24,31,57,1634
32,39,16,562
40,47,3,123
48,55,24,1164

histogram,mtime (files)
count,1143409,items
average,17.137112,days
min,0,days
max,248,days
bucket min,bucket max,count,val count
0,2,100749,111939.869954
2,4,108869,326372.597905
4,8,108849,538536.935162
8,16,326591,3952643.734167
16,32,347721,8040763.399375
32,64,150439,6593813.135637
64,128,53,5352.019456
128,256,138,25306.740972

histogram,mtime (KB)
count,8203968808,items
average,17.113102,days
min,0,days
max,248,days
bucket min,bucket max,count,val count
0,2,723136615,803498176.662467
2,4,781181830,2341893165.736010
4,8,780986806,3863714250.563822
8,16,2343750132,28365485286.930229
16,32,2495332266,57702386234.959343
32,64,1079580976,47318348969.730591
64,128,73,7346.234193
128,256,106,20597.397134

histogram,ctime (files)
count,1143409,items
average,16.848621,days
min,0,days
max,44,days
bucket min,bucket max,count,val count
0,2,110765,105489.702222
2,4,110008,331952.390544
4,8,97739,482402.272106
8,16,326639,3889902.500775
16,32,347796,7967090.501713
32,64,150462,6488028.049294

histogram,ctime (KB)
count,8203968808,items
average,16.848192,days
min,0,days
max,44,days
bucket min,bucket max,count,val count
0,2,795012859,757204932.249687
2,4,789054097,2381059542.081603
4,8,701238337,3460855635.880561
8,16,2343750173,27910586341.355000
16,32,2495332343,57160393477.156578
32,64,1079580996,46551942634.285072

histogram,atime (files)
count,1143409,items
average,15.144317,days
min,0,days
max,44,days
bucket min,bucket max,count,val count
0,2,117462,93923.044398
2,4,201001,534157.365220
4,8,49,285.710694
8,16,326639,3339309.067801
16,32,347796,7318800.448044
32,64,150462,6029673.051991

histogram,atime (KB)
count,8203968808,items
average,15.143579,days
min,0,days
max,44,days
bucket min,bucket max,count,val count
0,2,843064322,674003730.804486
2,4,1442068913,3832199699.233387
4,8,172058,1003248.794247
8,16,2343750173,23959475205.182308
16,32,2495332343,52508159869.781319
32,64,1079580996,43262609414.006592

-------------------------------------------------------
stats for user 213
histogram,file size
count,1143409,items
average,7175.008075,KB
min,0,KB
max,123922,KB
bucket min,bucket max,count,val count
0,2,298,176.846680
2,4,25,58.186523
4,8,11,54.654297
8,16,11,132.709961
32,64,1,56.602539
128,256,1,147.000977
256,512,2,840.266602
2048,4096,7,16462.763672
4096,8192,1142657,8199862166.445312
8192,16384,381,3137491.895508
16384,32768,2,36163.223633
32768,65536,8,384263.081055
65536,131072,5,530794.448242

histogram,capacity used
count,1143409,items
average,7300.812546,KB
min,0,KB
max,124119,KB
bucket min,bucket max,count,val count
0,2,174,250.000000
2,4,127,381.000000
4,8,36,171.500000
8,16,9,113.000000
16,32,2,33.000000
32,64,1,58.000000
256,512,2,651.000000
512,1024,1,517.500000
2048,4096,7,17059.000000
4096,8192,1142654,8343654261.000000
8192,16384,381,3188346.500000
16384,32768,2,36265.000000
32768,65536,8,385086.000000
65536,131072,5,531580.000000

histogram,directory size (entries)
count,3203,items
average,357.985326,ents
min,0,ents
max,400,ents
bucket min,bucket max,count,val count
0,1,25,11
4,7,1,4
8,15,10,84
16,31,35,793
32,63,64,3080
64,127,264,21120
256,511,2804,1121535

histogram,directory size
count,3203,items
average,0.351548,KB
min,0,KB
max,0,KB
bucket min,bucket max,count,val count
0,2,3203,1126.008789

histogram,filename length
count,1146628,items
average,11.897758,chars
min,4,chars
max,49,chars
bucket min,bucket max,count,val count
0,7,3180,15263
8,15,1142869,13615390
16,23,479,8166
24,31,57,1634
32,39,16,562
40,47,3,123
48,55,24,1164

histogram,mtime (files)
count,1143409,items
average,17.137112,days
min,0,days
max,248,days
bucket min,bucket max,count,val count
0,2,100749,111939.869954
2,4,108869,326372.597905
4,8,108849,538536.935162
8,16,326591,3952643.734167
16,32,347721,8040763.399375
32,64,150439,6593813.135637
64,128,53,5352.019456
128,256,138,25306.740972

histogram,mtime (KB)
count,8203968808,items
average,17.113102,days
min,0,days
max,248,days
bucket min,bucket max,count,val count
0,2,723136615,803498176.662467
2,4,781181830,2341893165.736010
4,8,780986806,3863714250.563822
8,16,2343750132,28365485286.930229
16,32,2495332266,57702386234.959343
32,64,1079580976,47318348969.730591
64,128,73,7346.234193
128,256,106,20597.397134

histogram,ctime (files)
count,1143409,items
average,16.848621,days
min,0,days
max,44,days
bucket min,bucket max,count,val count
0,2,110765,105489.702222
2,4,110008,331952.390544
4,8,97739,482402.272106
8,16,326639,3889902.500775
16,32,347796,7967090.501713
32,64,150462,6488028.049294

histogram,ctime (KB)
count,8203968808,items
average,16.848192,days
min,0,days
max,44,days
bucket min,bucket max,count,val count
0,2,795012859,757204932.249687
2,4,789054097,2381059542.081603
4,8,701238337,3460855635.880561
8,16,2343750173,27910586341.355000
16,32,2495332343,57160393477.156578
32,64,1079580996,46551942634.285072

histogram,atime (files)
count,1143409,items
average,15.144317,days
min,0,days
max,44,days
bucket min,bucket max,count,val count
0,2,117462,93923.044398
2,4,201001,534157.365220
4,8,49,285.710694
8,16,326639,3339309.067801
16,32,347796,7318800.448044
32,64,150462,6029673.051991

histogram,atime (KB)
count,8203968808,items
average,15.143579,days
min,0,days
max,44,days
bucket min,bucket max,count,val count
0,2,843064322,674003730.804486
2,4,1442068913,3832199699.233387
4,8,172058,1003248.794247
8,16,2343750173,23959475205.182308
16,32,2495332343,52508159869.781319
32,64,1079580996,43262609414.006592

