skipped special files,0
skipped duplicate hardlinks,0
skipped snapshot dirs,1
total capacity used,10.86 TB
total user data,8.57 TB
percent overhead,0.211169

histogram,file size
count,4351520,items
average,2114.144647,KB
min,0,KB
max,458299,KB
bucket min,bucket max,count,val count
0,2,7,0.000000
128,256,1,141.375000
512,1024,3,2552.000000
1024,2048,4220181,8289579779.716797
4096,8192,131327,909701942.857422
262144,524288,1,458299.948242

histogram,capacity used
count,4351520,items
average,2679.934677,KB
min,1,KB
max,535137,KB
bucket min,bucket max,count,val count
0,2,7,10.500000
512,1024,2,1515.500000
1024,2048,2,2347.000000
2048,4096,4220181,10570636655.500000
4096,8192,27072,174385664.000000
8192,16384,104255,916228017.000000
524288,1048576,1,535137.500000

histogram,directory size (entries)
count,7324,items
average,595.145276,ents
min,0,ents
max,644,ents
bucket min,bucket max,count,val count
0,1,12,6
4,7,1,7
64,127,86,7314
512,1023,7225,4351517

histogram,directory size
count,7324,items
average,17.426139,KB
min,0,KB
max,18,KB
bucket min,bucket max,count,val count
0,2,99,143.195312
16,32,7225,127485.849609

histogram,filename length
count,4358845,items
average,11.983219,chars
min,2,chars
max,46,chars
bucket min,bucket max,count,val count
0,7,7323,14698
8,15,4351520,52218233
16,23,1,16
40,47,1,46

histogram,mtime (files)
count,4351520,items
average,415.079632,days
min,0,days
max,634,days
bucket min,bucket max,count,val count
0,2,6528,7616.984931
2,4,2382,8145.484595
4,8,6066,36392.929861
8,16,10656,128886.255868
16,32,21889,534946.707674
32,64,31104,1441417.792755
64,128,72768,7441674.690405
128,256,253285,47633064.716876
256,512,3650168,1570893532.641214
512,1024,296674,178101641.611519

histogram,mtime (KB)
count,9199742715,items
average,390.202376,days
min,0,days
max,634,days
bucket min,bucket max,count,val count
0,2,37840967,42343837.594218
2,4,17261763,59046165.391995
4,8,34525589,207390061.249149
8,16,67464083,822548882.053652
16,32,156561885,3823015102.633007
32,64,224881623,10427560449.830406
64,128,357797036,34334205345.339470
128,256,544358987,102400733901.994553
256,512,7176109060,3087688050658.384766
512,1024,582941717,349956575242.228394

histogram,ctime (files)
count,4351520,items
average,241.926576,days
min,0,days
max,257,days
bucket min,bucket max,count,val count
0,2,6528,7616.976481
2,4,2382,8145.479838
4,8,6066,36392.913275
8,16,10656,128886.227535
16,32,21889,534946.598808
32,64,31104,1441417.684225
64,128,72768,7441674.467280
128,256,3282209,807754596.798429
256,512,917918,235394658.611349

histogram,ctime (KB)
