skipped special files,17170
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,3.03 TB
total user data,15.40 TB
percent overhead,-4.082342

histogram,file size
count,2119805,items
average,7801.175588,KB
min,0,KB
max,72574713,KB
bucket min,bucket max,count,val count
0,2,591199,233173.523438
2,4,246847,725349.101562
4,8,597740,3108456.574219
8,16,153882,1701728.276367
16,32,86140,2043492.387695
32,64,88205,3950168.043945
64,128,127093,11946697.516602
128,256,63547,11165757.485352
256,512,34430,12715902.118164
512,1024,30450,22048085.879883
1024,2048,29779,42896916.950195
2048,4096,20523,58297558.921875
4096,8192,19672,107201494.168945
8192,16384,9759,109953353.885742
16384,32768,5773,134009604.430664
32768,65536,4709,210884206.811523
65536,131072,3874,367645554.335938
131072,262144,3203,554182909.651367
262144,524288,1546,573406954.212891
524288,1048576,826,595377371.042969
1048576,2097152,282,430112287.544922
2097152,4194304,107,286612620.958984
4194304,8388608,27,175974086.222656
8388608,16777216,13,155534634.648438
16777216,33554432,5,107772696.763672
33554432,67108864,3,147193932.983398
67108864,134217728,171,12410276023.195312

histogram,capacity used
count,2119805,items
average,1534.726485,KB
min,0,KB
max,24260978,KB
bucket min,bucket max,count,val count
0,2,494201,673645.500000
2,4,296484,889452.000000
4,8,738501,3387057.000000
8,16,138619,1400699.000000
16,32,92132,2165586.000000
32,64,100221,4484012.000000
64,128,97609,8426757.000000
128,256,35966,6338550.000000
256,512,32381,12230900.000000
512,1024,26091,18428376.000000
1024,2048,26694,37752674.500000
2048,4096,12462,35330763.000000
4096,8192,8940,51627786.500000
8192,16384,5232,59177976.000000
16384,32768,4772,112379577.500000
32768,65536,2927,137012936.000000
65536,131072,2781,264788098.500000
131072,262144,1880,343155242.000000
262144,524288,1162,428604782.000000
524288,1048576,319,224185029.000000
1048576,2097152,182,270730523.000000
2097152,4194304,95,292693859.500000
4194304,8388608,132,671736124.500000
8388608,16777216,20,221150696.500000
16777216,33554432,2,44569774.000000

histogram,directory size (entries)
count,118513,items
average,19.031558,ents
min,0,ents
max,230062,ents
bucket min,bucket max,count,val count
0,1,10003,9027
2,3,8692,20447
4,7,13706,86377
8,15,71828,701222
16,31,9952,208413
32,63,2390,103988
64,127,626,57020
128,255,1053,180725
256,511,158,49757
512,1023,24,16340
1024,2047,26,36763
2048,4095,37,100682
4096,8191,6,35048
8192,16383,6,74395
16384,32767,1,19981
65536,131071,4,325240
131072,262143,1,230062

histogram,directory size
count,118513,items
average,0.020539,KB
min,0,KB
max,224,KB
bucket min,bucket max,count,val count
0,2,118458,1666.987305
2,4,37,98.394531
4,8,6,34.238281
8,16,6,72.663086
16,32,1,19.514648
64,128,4,317.625000
128,256,1,224.671875

histogram,filename length
count,2255488,items
average,18.259146,chars
min,1,chars
max,90,chars
bucket min,bucket max,count,val count
0,7,90523,484145
8,15,785392,10525485
16,23,1037923,20057962
24,31,276855,7678042
32,39,48501,1686693
40,47,11163,478280
48,55,3977,203412
56,63,968,56309
64,71,126,8387
72,79,54,4069
80,87,5,410
88,95,1,90

histogram,mtime (files)
count,2119805,items
average,724.513441,days
min,0,days
max,2081,days
bucket min,bucket max,count,val count
0,2,2797,1770.779699
2,4,4803,16008.593646
4,8,10466,58004.868669
8,16,15912,184163.394595
16,32,12011,256595.899028
32,64,28664,1358240.637523
64,128,71379,6790920.026157
128,256,199145,37559257.576018
256,512,155591,54888465.788224
512,1024,1264544,1003934280.328855
1024,2048,354487,430767015.230578
2048,4096,6,12491.172639

histogram,mtime (KB)
count,16536971017,items
average,81.555637,days
min,0,days
max,2081,days
bucket min,bucket max,count,val count
0,2,175388015,191638324.852743
2,4,181856369,580520308.894052
4,8,93373662,479160990.441108
8,16,114460579,1382697992.990156
16,32,76189265,1805645266.471252
32,64,13206320466,551716124223.207153
64,128,440817978,41260121220.392403
128,256,1402199827,266394860644.474884
256,512,404177189,137404869216.886658
512,1024,388847025,281790944169.086243
1024,2048,53340631,65676614633.574654
2048,4096,6,14512.042691

histogram,ctime (files)
count,2119805,items
average,51.183708,days
min,0,days
max,53,days
bucket min,bucket max,count,val count
0,2,2798,1770.840718
2,4,4806,16019.294155
4,8,11268,61594.705069
8,16,15862,184167.118866
16,32,12447,268064.775324
32,64,2072624,107967863.258552

histogram,ctime (KB)
count,16536971017,items
average,41.362064,days
min,0,days
max,53,days
bucket min,bucket max,count,val count
0,2,175388095,191635316.249719
2,4,181858151,580526959.326629
4,8,96912378,494729685.695770
8,16,238140791,2730758127.855930
16,32,31358044,662219474.432853
32,64,15813313555,679343383273.921021

histogram,atime (files)
count,2119805,items
average,27.447955,days
min,0,days
max,1360,days
bucket min,bucket max,count,val count
0,2,2803,1610.952870
2,4,5622,18782.805764
4,8,11852,64881.064977
8,16,15539,181927.049687
16,32,2082791,57596591.912863
32,64,3,149.147766
64,128,428,39266.843762
128,256,55,8463.636343
256,512,709,269795.109167
512,1024,2,1482.022928
1024,2048,1,1360.998970

histogram,atime (KB)
count,16536971017,items
average,23.344862,days
min,0,days
max,1360,days
bucket min,bucket max,count,val count
0,2,196757483,218321628.117464
2,4,198267732,642837856.705108
4,8,85829729,432545034.088371
8,16,301634859,3584534503.991374
16,32,15747448733,380126030077.067688
32,64,42494,1953345.272700
64,128,1209495,135229641.298809
128,256,5581811,772915567.670492
256,512,86637,31323357.767701
512,1024,97776,88208491.003796
1024,2048,14264,19413289.306759

-------------------------------------------------------
stats for user 0
histogram,file size
count,1,items
average,0.010742,KB
min,0,KB
max,0,KB
bucket min,bucket max,count,val count
0,2,1,0.010742

histogram,capacity used
count,1,items
average,1.500000,KB
min,1,KB
max,1,KB
bucket min,bucket max,count,val count
0,2,1,1.500000

histogram,directory size (entries)
count,0,items
average,0.000000,ents
min,0,ents
max,0,ents
bucket min,bucket max,count,val count

histogram,directory size
count,0,items
average,0.000000,KB
min,0,KB
max,0,KB
bucket min,bucket max,count,val count

histogram,filename length
count,178,items
average,12.022472,chars
min,4,chars
max,15,chars
bucket min,bucket max,count,val count
0,7,1,4
8,15,177,2136

histogram,mtime (files)
count,1,items
average,33.975984,days
min,33,days
max,33,days
bucket min,bucket max,count,val count
32,64,1,33.975984

histogram,mtime (KB)
count,0,items
average,33.975984,days
min,33,days
max,33,days
bucket min,bucket max,count,val count
32,64,0,0.364976

histogram,ctime (files)
count,1,items
average,33.975984,days
min,33,days
max,33,days
