skipped special files,297
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,1.58 TB
total user data,3.12 TB
percent overhead,-0.968539

histogram,file size
count,244253,items
average,13694.660031,KB
min,0,KB
max,458863024,KB
bucket min,bucket max,count,val count
0,2,98381,63471.148438
2,4,29994,87787.505859
4,8,29362,166968.991211
8,16,20123,224045.446289
16,32,12107,264319.028320
32,64,6780,308451.291992
64,128,32050,3726970.310547
128,256,3687,701237.113281
256,512,3795,1395421.425781
512,1024,1292,935844.829102
1024,2048,1532,2184610.910156
2048,4096,722,2036427.024414
4096,8192,890,5216282.960938
8192,16384,629,7034185.472656
16384,32768,481,10522595.251953
32768,65536,156,7190978.476562
65536,131072,1540,155205399.362305
131072,262144,117,20240630.212891
262144,524288,116,43864991.554688
524288,1048576,276,262167768.091797
1048576,2097152,65,100040010.917969
2097152,4194304,38,114806793.050781
4194304,8388608,28,174656225.244141
8388608,16777216,46,550159496.502930
16777216,33554432,32,707731802.819336
33554432,67108864,11,553337490.859375
67108864,134217728,2,161828566.813477
268435456,536870912,1,458863024.000000

histogram,capacity used
count,244253,items
average,6956.006972,KB
min,0,KB
max,144529664,KB
bucket min,bucket max,count,val count
0,2,56262,82925.000000
2,4,65142,195426.000000
4,8,42605,199882.500000
8,16,19936,200824.000000
16,32,37331,768854.000000
32,64,5530,245755.000000
64,128,4009,368866.500000
128,256,3493,691517.500000
256,512,2418,839199.500000
512,1024,1265,899424.500000
1024,2048,1755,2537586.000000
2048,4096,1150,3157310.500000
4096,8192,548,3086137.000000
8192,16384,340,4022014.500000
16384,32768,216,5013684.500000
32768,65536,1531,84875909.000000
65536,131072,135,10965003.000000
131072,262144,51,9395692.000000
262144,524288,300,100386388.000000
524288,1048576,78,54964710.500000
1048576,2097152,40,56668609.500000
2097152,4194304,32,93459879.000000
4194304,8388608,40,247695631.000000
8388608,16777216,29,327973249.000000
16777216,33554432,10,229650950.500000
33554432,67108864,4,154231590.000000
67108864,134217728,2,161918888.500000
134217728,268435456,1,144529664.000000

histogram,directory size (entries)
count,55084,items
average,5.439565,ents
min,0,ents
max,27285,ents
bucket min,bucket max,count,val count
0,1,35672,31948
2,3,8045,18774
4,7,5908,29558
8,15,2598,28459
16,31,1709,36379
32,63,671,29043
64,127,307,29002
128,255,112,19435
256,511,26,8923
512,1023,23,16489
1024,2047,9,10556
4096,8191,3,13782
16384,32767,1,27285

histogram,directory size
count,55084,items
average,0.007265,KB
min,0,KB
max,26,KB
bucket min,bucket max,count,val count
0,2,55080,360.083984
4,8,3,13.464844
16,32,1,26.647461

histogram,filename length
count,299634,items
average,16.969793,chars
min,1,chars
max,83,chars
bucket min,bucket max,count,val count
0,7,32480,143470
8,15,139391,1556386
16,23,62878,1204591
24,31,20910,562399
32,39,40293,1438490
40,47,2438,102490
48,55,247,12256
56,63,426,26263
64,71,409,26665
72,79,159,11473
80,87,3,244

histogram,mtime (files)
count,244253,items
average,976.897271,days
min,0,days
max,4391,days
bucket min,bucket max,count,val count
0,2,163,127.834549
2,4,147,465.651250
4,8,256,1584.745914
8,16,435,5138.395602
16,32,305,7183.471620
32,64,412,19649.729271
64,128,1244,113034.310590
128,256,2259,392258.162951
256,512,33631,14633229.332500
512,1024,70163,46613531.235515
1024,2048,131361,166739789.378456
2048,4096,3869,10049962.186667
4096,8192,8,34134.806968

histogram,mtime (KB)
count,3344961796,items
average,251.790089,days
min,0,days
max,4391,days
bucket min,bucket max,count,val count
0,2,141238263,113881637.861632
2,4,133016013,458299570.670565
4,8,339445848,2110519424.072898
8,16,322227003,2879257583.794657
16,32,135996805,2920858012.552538
32,64,497803880,18753778885.360195
64,128,87947263,8206468397.234776
128,256,351930253,74958513781.378220
256,512,741294330,273858670086.830994
512,1024,583578616,444713663591.760925
1024,2048,10255694,12605762709.334677
2048,4096,227767,648320241.389305
4096,8192,55,236213.784434

histogram,ctime (files)
count,244253,items
average,298.180529,days
min,0,days
max,315,days
bucket min,bucket max,count,val count
0,2,838,231.230972
2,4,140,436.650116
4,8,281,1803.823252
8,16,2475,29693.119722
16,32,391,9642.727813
32,64,5830,324083.546262
64,128,2058,203660.417963
128,256,6053,1037534.949583
256,512,226187,71224402.185810

histogram,ctime (KB)
count,3344961796,items
average,153.757937,days
min,0,days
max,315,days
bucket min,bucket max,count,val count
0,2,141648811,113951148.131739
2,4,145425868,489571074.185522
4,8,326908387,2041212891.277087
8,16,331646840,3009103591.212907
16,32,128679994,2795120999.740373
32,64,504185619,19043358130.446320
64,128,84557552,7910048565.005356
128,256,369451202,77890489379.882324
256,512,1312457520,401021568077.759705

histogram,atime (files)
count,244253,items
average,84.487008,days
min,0,days
max,1476,days
bucket min,bucket max,count,val count
0,2,125,106.965255
2,4,136,420.913646
4,8,875,5350.299306
8,16,1360,16281.783484
16,32,406,9842.796840
32,64,1223,65167.311516
64,128,232294,17861810.779631
128,256,3653,589283.033588
256,512,3196,1051873.599051
1024,2048,985,1036067.762836

histogram,atime (KB)
count,3344961796,items
average,49.576195,days
min,0,days
max,1476,days
bucket min,bucket max,count,val count
0,2,107960281,90517562.509062
2,4,155419029,445877349.807545
4,8,298488348,1832364755.394057
8,16,464282992,4747868076.059118
16,32,52141013,1177312938.113474
32,64,499988472,19389331406.628082
64,128,1765029278,137734949687.417236
128,256,1207599,194847307.780182
256,512,341628,110192235.825449
1024,2048,103151,107217392.213010

-------------------------------------------------------
stats for user 0
histogram,file size
count,1069,items
average,625645.172873,KB
min,0,KB
max,81625725,KB
bucket min,bucket max,count,val count
0,2,204,30.123047
2,4,5,14.469727
4,8,13,64.545898
8,16,17,184.555664
16,32,23,530.264648
32,64,26,1139.713867
64,128,138,13925.502930
128,256,330,63490.475586
256,512,37,13280.133789
512,1024,8,4954.577148
1024,2048,23,32265.595703
2048,4096,29,93380.375000
4096,8192,15,97717.900391
8192,16384,18,222476.493164
16384,32768,25,637226.895508
32768,65536,26,1209803.454102
65536,131072,12,1156760.891602
131072,262144,17,3287718.587891
262144,524288,15,5769028.364258
524288,1048576,16,11229723.827148
1048576,2097152,25,36069571.579102
2097152,4194304,10,27899527.575195
4194304,8388608,12,77770441.244141
8388608,16777216,15,162592832.173828
16777216,33554432,7,143658948.941406
33554432,67108864,1,35161084.726562
67108864,134217728,2,161828566.813477

histogram,capacity used
count,1069,items
average,623687.889616,KB
min,0,KB
max,81663358,KB
bucket min,bucket max,count,val count
0,2,189,271.500000
2,4,16,48.000000
4,8,16,86.000000
8,16,34,382.000000
16,32,167,3990.000000
32,64,245,10784.000000
64,128,72,6371.000000
128,256,29,5277.000000
256,512,34,12371.000000
512,1024,11,8222.500000
1024,2048,15,20968.000000
2048,4096,32,96292.000000
4096,8192,11,71865.500000
8192,16384,16,182052.500000
16384,32768,24,608023.500000
32768,65536,26,1210944.500000
65536,131072,13,1259933.000000
131072,262144,17,3274563.000000
262144,524288,14,5367198.500000
524288,1048576,16,11203230.500000
1048576,2097152,25,35914208.000000
2097152,4194304,10,27895380.000000
4194304,8388608,12,76014527.500000
8388608,16777216,15,162699844.000000
16777216,33554432,7,143752445.000000
33554432,67108864,1,35184187.000000
67108864,134217728,2,161918888.500000

histogram,directory size (entries)
count,8,items
average,60.375000,ents
min,0,ents
max,286,ents
bucket min,bucket max,count,val count
0,1,1,0
2,3,1,3
4,7,2,9
16,31,1,21
32,63,1,62
64,127,1,102
256,511,1,286

histogram,directory size
count,8,items
average,0.060913,KB
min,0,KB
max,0,KB
bucket min,bucket max,count,val count
0,2,8,0.487305

histogram,filename length
count,1079,items
average,23.612604,chars
min,1,chars
max,69,chars
bucket min,bucket max,count,val count
0,7,20,99
8,15,76,961
16,23,642,13005
24,31,171,4686
32,39,115,4067
40,47,30,1280
48,55,15,756
56,63,7,424
64,71,3,200

histogram,mtime (files)
count,1069,items
average,270.544178,days
min,0,days
max,1138,days
bucket min,bucket max,count,val count
0,2,20,10.781470
2,4,25,85.398738
4,8,84,579.760093
8,16,184,2167.220231
16,32,24,511.948600
32,64,16,770.631840
64,128,11,989.487523
128,256,94,20291.010822
256,512,555,219331.026713
512,1024,46,33440.827361
1024,2048,10,11033.633345

histogram,mtime (KB)
count,668814689,items
average,155.866936,days
min,0,days
max,1138,days
bucket min,bucket max,count,val count
0,2,166658,89835.013844
2,4,6496097,16514672.072811
4,8,84702681,632378590.096034
8,16,300547703,2618911364.042704
16,32,0,9.998996
32,64,0,15.051403
64,128,10940278,1139868923.605883
128,256,62993427,14186586212.060001
256,512,186571310,72992838496.106308
512,1024,16350708,12607914894.752592
1024,2048,45822,50993248.253239

histogram,ctime (files)
count,1069,items
average,201.240362,days
min,0,days
max,315,days
bucket min,bucket max,count,val count
0,2,58,31.265648
2,4,18,56.539653
4,8,109,799.119039
8,16,143,1304.372882
16,32,17,362.171910
32,64,12,576.172535
64,128,7,596.192106
128,256,99,20883.515613
256,512,606,190516.597500

histogram,ctime (KB)
count,668814689,items
average,121.152241,days
min,0,days
max,315,days
bucket min,bucket max,count,val count
0,2,483199,260535.295105
2,4,18905952,47898675.274696
4,8,72165220,563264910.678852
8,16,300358769,2616488450.210292
16,32,0,7.073670
32,64,3481185,143258064.131718
64,128,7459092,835080024.909644
128,256,63952537,14174676404.448360
256,512,202008732,62647471302.803291

histogram,atime (files)
count,1069,items
average,59.029207,days
min,0,days
max,315,days
bucket min,bucket max,count,val count
0,2,20,10.782442
2,4,25,85.433426
4,8,83,572.163113
8,16,185,2176.660625
16,32,24,511.948611
32,64,17,826.866817
64,128,703,55232.077766
128,256,1,220.897674
256,512,11,3465.391493

histogram,atime (KB)
count,668814689,items
average,37.326034,days
min,0,days
max,315,days
bucket min,bucket max,count,val count
0,2,166658,89875.518886
2,4,6496097,16722480.425029
4,8,65809110,486087039.835595
8,16,319441274,2846535319.636915
16,32,0,9.998996
32,64,1167531,65656098.533082
64,128,275733980,21549097765.988071
256,512,36,11421.946066

-------------------------------------------------------
stats for user 207
histogram,file size
count,106,items
average,691827.502469,KB
min,0,KB
max,58673686,KB
