skipped special files,24071
skipped duplicate hardlinks,334
skipped snapshot dirs,0
total capacity used,4.01 TB
total user data,4.00 TB
percent overhead,0.001107

histogram,file size
count,551021,items
average,7802.882990,KB
min,0,KB
max,28860930,KB
bucket min,bucket max,count,val count
0,2,131193,52493.771484
2,4,30220,87931.521484
4,8,28056,163356.588867
8,16,52717,617958.379883
16,32,81849,1830843.336914
32,64,39625,1806737.748047
64,128,26590,2370796.567383
128,256,22307,4183213.100586
256,512,18873,6850181.090820
512,1024,11206,8249427.753906
1024,2048,8108,11199612.035156
2048,4096,11150,34215379.543945
4096,8192,13564,72861139.505859
8192,16384,40551,415636055.712891
16384,32768,12083,313549967.957031
32768,65536,15363,938194122.447266
65536,131072,3171,264201570.131836
131072,262144,2856,513744028.859375
262144,524288,643,229813094.380859
524288,1048576,439,320711517.569336
1048576,2097152,240,351973670.969727
2097152,4194304,177,481178105.511719
4194304,8388608,32,199527097.574219
8388608,16777216,5,57254635.741211
16777216,33554432,3,69279450.000000

histogram,capacity used
count,551021,items
average,7811.521339,KB
min,0,KB
max,28889148,KB
bucket min,bucket max,count,val count
0,2,36853,0.000000
4,8,124595,498380.000000
8,16,58100,585016.000000
16,32,95744,2084028.000000
32,64,46155,2022904.000000
64,128,27459,2494448.000000
128,256,22631,4225748.000000
256,512,19610,7084940.000000
512,1024,11188,8152788.000000
1024,2048,8380,11496112.000000
2048,4096,11147,34210184.000000
4096,8192,13590,73075968.000000
8192,16384,40557,416257524.000000
16384,32768,12080,313784972.000000
32768,65536,15354,938367296.000000
65536,131072,3185,265399072.000000
131072,262144,2851,512815140.000000
262144,524288,646,230535480.000000
524288,1048576,438,319863488.000000
1048576,2097152,240,351233160.000000
2097152,4194304,178,483748524.000000
4194304,8388608,32,199722340.000000
8388608,16777216,5,57307600.000000
16777216,33554432,3,69347188.000000

histogram,directory size (entries)
count,23995,items
average,24.981038,ents
min,0,ents
max,8952,ents
bucket min,bucket max,count,val count
0,1,6715,1938
2,3,5339,13893
4,7,4665,25551
8,15,3831,40560
16,31,1629,34972
32,63,697,29921
64,127,366,33163
128,255,393,70615
256,511,202,67401
512,1023,74,51297
1024,2047,39,56706
2048,4095,23,59042
4096,8191,20,96828
8192,16383,2,17533

histogram,directory size
count,23995,items
average,8.409419,KB
min,8,KB
max,280,KB
bucket min,bucket max,count,val count
8,16,23635,189080.000000
16,32,254,4480.000000
32,64,56,2312.000000
64,128,28,2256.000000
128,256,20,3104.000000
256,512,2,552.000000

histogram,filename length
count,599421,items
average,24.103133,chars
min,1,chars
max,209,chars
bucket min,bucket max,count,val count
0,7,27593,139532
8,15,186703,2301953
16,23,168076,3048807
24,31,75721,2019954
32,39,28991,1011991
40,47,39194,1703084
48,55,33635,1766322
56,63,28821,1725546
64,71,9910,666010
72,79,487,36234
80,87,152,12628
88,95,36,3274
96,103,15,1483
104,111,26,2722
112,119,4,461
120,127,19,2354
127,-1,38,5569.000000

histogram,mtime (files)
count,551021,items
average,638.001233,days
min,-10575,days
max,4161,days
bucket min,bucket max,count,val count
-1,0,1,-10575.767234
0,2,59,74.023495
2,4,159,530.775382
4,8,790,4635.274942
