skipped special files,13063
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,5.02 TB
total user data,5.01 TB
percent overhead,0.002683

histogram,file size
count,1510585,items
average,3560.322861,KB
min,0,KB
max,54614201,KB
bucket min,bucket max,count,val count
0,2,1228625,1231006.711914
2,4,31559,92565.341797
4,8,6379,37559.253906
8,16,19682,260613.148438
16,32,41394,981398.814453
32,64,24839,1092514.168945
64,128,34454,2901261.429688
128,256,26743,4265597.756836
256,512,9562,3433751.615234
512,1024,9825,7474620.080078
1024,2048,9953,13262444.329102
2048,4096,6106,17521530.336914
4096,8192,8686,51309117.433594
8192,16384,10621,115940897.255859
16384,32768,7627,172866211.482422
32768,65536,18599,877097557.960938
65536,131072,11530,878939864.724609
131072,262144,1430,250142122.689453
262144,524288,1195,467968669.978516
524288,1048576,862,663140462.952148
1048576,2097152,689,1036138912.904297
2097152,4194304,183,495316920.601562
4194304,8388608,41,262140505.917969
33554432,67108864,1,54614201.924805

histogram,capacity used
count,1510585,items
average,3569.873817,KB
min,0,KB
max,54721508,KB
bucket min,bucket max,count,val count
0,2,8556,0.000000
4,8,1251657,5006628.000000
8,16,10936,105832.000000
16,32,46335,979872.000000
32,64,30664,1276336.000000
64,128,35867,3017192.000000
128,256,29126,4668804.000000
256,512,9884,3519924.000000
512,1024,10017,7622044.000000
1024,2048,9962,13320944.000000
2048,4096,6079,17449436.000000
4096,8192,8709,51478548.000000
8192,16384,10611,115928380.000000
16384,32768,7644,173398148.000000
32768,65536,18593,878276876.000000
65536,131072,11540,881041668.000000
131072,262144,1435,251288976.000000
262144,524288,1193,467844060.000000
524288,1048576,861,662483308.000000
1048576,2097152,691,1040277572.000000
2097152,4194304,183,496237348.000000
4194304,8388608,41,262654436.000000
33554432,67108864,1,54721508.000000

histogram,directory size (entries)
count,31260,items
average,49.741107,ents
min,0,ents
max,20003,ents
bucket min,bucket max,count,val count
0,1,1090,214
2,3,536,1432
4,7,3055,18702
8,15,20500,207947
16,31,332,8375
32,63,260,11347
64,127,273,25151
128,255,5126,1065725
256,511,39,11753
512,1023,11,8963
1024,2047,12,19189
2048,4095,13,42236
4096,8191,8,41970
8192,16383,1,11899
16384,32767,4,80004

histogram,directory size
count,31260,items
average,8.208317,KB
min,8,KB
max,632,KB
bucket min,bucket max,count,val count
8,16,31172,249376.000000
16,32,44,744.000000
32,64,12,472.000000
64,128,16,1368.000000
128,256,11,1728.000000
