#Generated by fsstats v1.4.5 (03/22/2008)
#Comment: This is a comment line that can be modified or repeated before
#uploading to record voluntarily added information.

skipped special files,0
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,237.30 GB
total user data,201.06 GB
percent overhead,0.152702

histogram,file size
count,47673,items
average,4422.392077,KB
min,0,KB
max,818883,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,2278,0.047784,0.047784,1267.400391,0.000006,0.000006
2,4,820,0.017201,0.064984,2228.106445,0.000011,0.000017
4,8,822,0.017242,0.082227,4680.050781,0.000022,0.000039
8,16,29329,0.615212,0.697439,382503.208984,0.001814,0.001853
16,32,3052,0.064019,0.761458,56751.833008,0.000269,0.002122
32,64,12,0.000252,0.761710,653.543945,0.000003,0.002125
64,128,13,0.000273,0.761983,1106.458984,0.000005,0.002131
128,256,5,0.000105,0.762088,955.904297,0.000005,0.002135
256,512,19,0.000399,0.762486,8665.622070,0.000041,0.002176
512,1024,1590,0.033352,0.795838,1133425.560547,0.005376,0.007552
1024,2048,1695,0.035555,0.831393,2338309.585938,0.011091,0.018643
2048,4096,1313,0.027542,0.858935,3841497.390625,0.018221,0.036864
4096,8192,3396,0.071235,0.930170,20669284.057617,0.098038,0.134903
8192,16384,40,0.000839,0.931009,376349.004883,0.001785,0.136688
16384,32768,219,0.004594,0.935603,6517360.324219,0.030913,0.167601
32768,65536,2978,0.062467,0.998070,138810221.308594,0.658403,0.826004
65536,131072,4,0.000084,0.998154,347543.933594,0.001648,0.827652
131072,262144,18,0.000378,0.998532,3310289.765625,0.015701,0.843353
262144,524288,45,0.000944,0.999476,17468110.618164,0.082855,0.926208
524288,1048576,25,0.000524,1.000000,15557493.811523,0.073792,1.000000

histogram,capacity used
count,47673,items
average,5219.248243,KB
min,1,KB
max,956145,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,35,0.000734,0.000734,52.500000,0.000000,0.000000
16,32,3885,0.081493,0.082227,99067.500000,0.000398,0.000398
32,64,29329,0.615212,0.697439,1451785.500000,0.005835,0.006233
64,128,3053,0.064040,0.761479,224659.500000,0.000903,0.007136
128,256,18,0.000378,0.761857,3603.000000,0.000014,0.007151
256,512,11,0.000231,0.762088,4168.500000,0.000017,0.007167
512,1024,1124,0.023577,0.785665,1037974.000000,0.004172,0.011339
1024,2048,2086,0.043756,0.829421,3133257.000000,0.012593,0.023931
2048,4096,989,0.020745,0.850167,3020139.500000,0.012138,0.036069
4096,8192,3365,0.070585,0.920752,22799815.500000,0.091633,0.127702
8192,16384,489,0.010257,0.931009,4179533.500000,0.016798,0.144500
16384,32768,32,0.000671,0.931680,1000112.000000,0.004019,0.148519
32768,65536,3118,0.065404,0.997084,165917221.000000,0.666824,0.815343
65536,131072,51,0.001070,0.998154,3514996.500000,0.014127,0.829470
131072,262144,16,0.000336,0.998490,3322184.000000,0.013352,0.842822
262144,524288,37,0.000776,0.999266,15112111.500000,0.060736,0.903558
524288,1048576,35,0.000734,1.000000,23996540.500000,0.096442,1.000000

histogram,positive overhead
count,47699,items
average,796.585100,KB
min,1,KB
max,137262,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,2290,0.048009,0.048009,56115.834961,0.001477,0.001477
2,4,821,0.017212,0.065221,18704.406250,0.000492,0.001969
4,8,822,0.017233,0.082455,16280.949219,0.000428,0.002398
8,16,29329,0.614877,0.697331,1069282.291016,0.028142,0.030539
16,32,3054,0.064026,0.761358,168111.977539,0.004424,0.034964
32,64,13,0.000273,0.761630,1831.850586,0.000048,0.035012
64,128,14,0.000294,0.761924,3030.574219,0.000080,0.035092
128,256,14,0.000294,0.762217,7620.804688,0.000201,0.035292
256,512,19,0.000398,0.762616,4970.877930,0.000131,0.035423
512,1024,1590,0.033334,0.795950,416351.439453,0.010958,0.046381
1024,2048,1695,0.035535,0.831485,501576.914062,0.013201,0.059582
2048,4096,1313,0.027527,0.859012,826432.109375,0.021750,0.081332
4096,8192,3396,0.071196,0.930208,3984177.942383,0.104857,0.186189
8192,16384,40,0.000839,0.931047,69678.995117,0.001834,0.188023
16384,32768,219,0.004591,0.935638,1119632.175781,0.029467,0.217490
32768,65536,2978,0.062433,0.998071,23578949.691406,0.620559,0.838048
65536,131072,4,0.000084,0.998155,58622.066406,0.001543,0.839591
131072,262144,18,0.000377,0.998532,556953.234375,0.014658,0.854249
262144,524288,45,0.000943,0.999476,2930124.881836,0.077116,0.931365
524288,1048576,25,0.000524,1.000000,2607863.688477,0.068635,1.000000

histogram,negative overhead
count,0,items
average,0.000000,KB
min,0,KB
max,0,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct

histogram,directory size (entries)
count,25,items
average,1907.920000,ents
min,0,ents
max,5008,ents
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,1,4,0.160000,0.160000,3.000000,0.000063,0.000063
2,3,1,0.040000,0.200000,3.000000,0.000063,0.000126
8,15,2,0.080000,0.280000,19.000000,0.000398,0.000524
16,31,4,0.160000,0.440000,89.000000,0.001866,0.002390
32,63,1,0.040000,0.480000,59.000000,0.001237,0.003627
512,1023,2,0.080000,0.560000,1654.000000,0.034677,0.038303
1024,2047,1,0.040000,0.600000,1632.000000,0.034215,0.072519
2048,4095,1,0.040000,0.640000,3231.000000,0.067739,0.140257
4096,8191,9,0.360000,1.000000,41008.000000,0.859743,1.000000

histogram,directory size
count,25,items
average,68.249609,KB
min,0,KB
max,176,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,11,0.440000,0.440000,3.700195,0.002169,0.002169
2,4,1,0.040000,0.480000,2.987305,0.001751,0.003919
16,32,2,0.080000,0.560000,61.189453,0.035862,0.039782
32,64,1,0.040000,0.600000,54.105469,0.031710,0.071492
64,128,1,0.040000,0.640000,107.966797,0.063278,0.134770
128,256,9,0.360000,1.000000,1476.291016,0.865230,1.000000

histogram,filename length
count,47699,items
average,18.631166,chars
min,4,chars
max,62,chars
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,7,22,0.000461,0.000461,117.000000,0.000132,0.000132
8,15,225,0.004717,0.005178,2827.000000,0.003181,0.003313
16,23,47380,0.993312,0.998491,883262.000000,0.993894,0.997207
24,31,23,0.000482,0.998973,595.000000,0.000670,0.997877
32,39,32,0.000671,0.999644,1140.000000,0.001283,0.999159
40,47,13,0.000273,0.999916,541.000000,0.000609,0.999768
48,55,3,0.000063,0.999979,144.000000,0.000162,0.999930
56,63,1,0.000021,1.000000,62.000000,0.000070,1.000000

histogram,link count
count,47673,items
average,1.000000,links
min,1,links
max,1,links
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,1,47673,1.000000,1.000000,47673.000000,1.000000,1.000000

histogram,symlink target length
count,1,items
average,66.000000,chars
min,66,chars
max,66,chars
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
64,71,1,1.000000,1.000000,66.000000,1.000000,1.000000

relative symlink target pct,0.000000
absolute symlink target pct,1.000000
histogram,mtime (files)
count,47673,items
average,37.953108,days
min,37,days
max,182,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
32,64,47657,0.999664,0.999664,1807254.225567,0.998848,0.998848
64,128,3,0.000063,0.999727,361.719965,0.000200,0.999048
128,256,13,0.000273,1.000000,1722.580312,0.000952,1.000000

histogram,mtime (KB)
count,210828697,items
average,37.809147,days
min,37,days
max,182,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
32,64,210828684,1.000000,1.000000,7971251585.763145,1.000000,1.000000
64,128,5,0.000000,1.000000,628.127916,0.000000,1.000000
128,256,7,0.000000,1.000000,1090.063492,0.000000,1.000000

histogram,ctime (files)
count,47673,items
average,37.919849,days
min,37,days
max,42,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
32,64,47673,1.000000,1.000000,1807752.982917,1.000000,1.000000

histogram,ctime (KB)
count,210828697,items
average,37.807275,days
min,37,days
max,42,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
32,64,210828697,1.000000,1.000000,7970858576.320992,1.000000,1.000000

histogram,atime (files)
count,47673,items
average,37.953108,days
min,37,days
max,182,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
32,64,47657,0.999664,0.999664,1807254.225567,0.998848,0.998848
64,128,3,0.000063,0.999727,361.719965,0.000200,0.999048
128,256,13,0.000273,1.000000,1722.580312,0.000952,1.000000

histogram,atime (KB)
count,210828697,items
average,37.809147,days
min,37,days
max,182,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
32,64,210828684,1.000000,1.000000,7971251585.763145,1.000000,1.000000
64,128,5,0.000000,1.000000,628.127916,0.000000,1.000000
128,256,7,0.000000,1.000000,1090.063492,0.000000,1.000000

