#Generated by fsstats v1.4.5 (03/22/2008)
#Comment: This is a comment line that can be modified or repeated before
#uploading to record voluntarily added information.

skipped special files,0
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,811.29 GB
total user data,692.48 GB
percent overhead,0.146443

histogram,file size
count,56533,items
average,12844.193176,KB
min,0,KB
max,2966105,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,2470,0.043691,0.043691,1274.000977,0.000002,0.000002
2,4,821,0.014522,0.058214,3075.836914,0.000004,0.000006
4,8,832,0.014717,0.072931,4736.918945,0.000007,0.000013
8,16,37619,0.665434,0.738365,490549.836914,0.000676,0.000688
16,32,3230,0.057135,0.795500,80288.251953,0.000111,0.000799
32,64,131,0.002317,0.797817,4983.127930,0.000007,0.000806
64,128,17,0.000301,0.798118,1511.486328,0.000002,0.000808
128,256,5,0.000088,0.798206,934.643555,0.000001,0.000809
256,512,1,0.000018,0.798224,275.459961,0.000000,0.000809
512,1024,51,0.000902,0.799126,50379.782227,0.000069,0.000879
1024,2048,835,0.014770,0.813896,1407218.144531,0.001938,0.002817
2048,4096,1726,0.030531,0.844427,5030663.386719,0.006928,0.009745
4096,8192,1072,0.018962,0.863390,5822660.061523,0.008019,0.017764
8192,16384,1971,0.034865,0.898254,23874104.321289,0.032879,0.050643
16384,32768,2454,0.043408,0.941662,49527949.788086,0.068209,0.118852
32768,65536,3,0.000053,0.941715,133125.104492,0.000183,0.119035
65536,131072,764,0.013514,0.955230,79464872.579102,0.109438,0.228472
131072,262144,2444,0.043231,0.998461,457825506.799805,0.630509,0.858981
262144,524288,6,0.000106,0.998567,2451625.939453,0.003376,0.862358
524288,1048576,39,0.000690,0.999257,32326568.194336,0.044520,0.906877
1048576,2097152,35,0.000619,0.999876,49944847.597656,0.068783,0.975660
2097152,4194304,7,0.000124,1.000000,17673621.531250,0.024340,1.000000

histogram,capacity used
count,56533,items
average,15047.670980,KB
min,1,KB
max,3461673,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,30,0.000531,0.000531,45.000000,0.000000,0.000000
16,32,4093,0.072400,0.072931,104371.500000,0.000123,0.000123
32,64,37621,0.665470,0.738401,1862239.500000,0.002189,0.002312
64,128,3338,0.059045,0.797446,302823.000000,0.000356,0.002668
128,256,27,0.000478,0.797923,4864.500000,0.000006,0.002674
256,512,16,0.000283,0.798206,5664.000000,0.000007,0.002680
512,1024,2,0.000035,0.798242,1419.000000,0.000002,0.002682
1024,2048,321,0.005678,0.803920,487985.500000,0.000574,0.003255
2048,4096,1678,0.029682,0.833602,4740437.000000,0.005572,0.008828
4096,8192,1493,0.026409,0.860011,7990663.500000,0.009393,0.018221
8192,16384,1510,0.026710,0.886721,18103649.000000,0.021281,0.039502
16384,32768,3103,0.054888,0.941609,69825702.500000,0.082081,0.121583
32768,65536,5,0.000088,0.941698,186959.500000,0.000220,0.121803
65536,131072,513,0.009074,0.950772,56810505.500000,0.066782,0.188585
131072,262144,2135,0.037766,0.988538,415466290.500000,0.488387,0.676972
262144,524288,565,0.009994,0.998532,156932199.500000,0.184476,0.861449
524288,1048576,26,0.000460,0.998992,22067903.000000,0.025941,0.887390
1048576,2097152,43,0.000761,0.999752,59833320.500000,0.070335,0.957725
2097152,4194304,14,0.000248,1.000000,35962941.000000,0.042275,1.000000

histogram,positive overhead
count,56562,items
