#Generated by fsstats v1.4.5 (03/22/2008)
#Comment: This is a comment line that can be modified or repeated before
#uploading to record voluntarily added information.

skipped special files,0
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,401.79 MB
total user data,336.15 MB
percent overhead,0.163373

histogram,file size
count,86,items
average,4002.446289,KB
min,0,KB
max,8192,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,33,0.383721,0.383721,17.519531,0.000051,0.000051
2,4,3,0.034884,0.418605,7.323242,0.000021,0.000072
4,8,3,0.034884,0.453488,13.693359,0.000040,0.000112
8,16,2,0.023256,0.476744,21.275391,0.000062,0.000174
16,32,2,0.023256,0.500000,46.346680,0.000135,0.000308
32,64,1,0.011628,0.511628,34.234375,0.000099,0.000408
8192,16384,42,0.488372,1.000000,344069.988281,0.999592,1.000000

histogram,capacity used
count,86,items
average,4782.802326,KB
min,1,KB
max,9761,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,2,0.023256,0.023256,3.000000,0.000007,0.000007
16,32,37,0.430233,0.453488,943.500000,0.002294,0.002301
32,64,2,0.023256,0.476744,99.000000,0.000241,0.002542
64,128,3,0.034884,0.511628,292.500000,0.000711,0.003253
8192,16384,42,0.488372,1.000000,409983.000000,0.996747,1.000000

histogram,positive overhead
count,95,items
average,707.545467,KB
min,1,KB
max,1569,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,42,0.442105,0.442105,882.180664,0.013124,0.013124
2,4,3,0.031579,0.473684,69.176758,0.001029,0.014154
4,8,3,0.031579,0.505263,62.806641,0.000934,0.015088
8,16,2,0.021053,0.526316,77.724609,0.001156,0.016244
16,32,2,0.021053,0.547368,124.653320,0.001854,0.018099
32,64,1,0.010526,0.557895,87.265625,0.001298,0.019397
8192,16384,42,0.442105,1.000000,65913.011719,0.980603,1.000000

histogram,negative overhead
count,0,items
average,0.000000,KB
min,0,KB
max,0,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct

histogram,directory size (entries)
count,8,items
average,11.750000,ents
min,0,ents
max,28,ents
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,1,2,0.250000,0.250000,0.000000,0.000000,0.000000
2,3,1,0.125000,0.375000,2.000000,0.021277,0.021277
4,7,1,0.125000,0.500000,4.000000,0.042553,0.063830
16,31,4,0.500000,1.000000,88.000000,0.936170,1.000000

histogram,directory size
count,8,items
average,0.404419,KB
min,0,KB
max,0,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,8,1.000000,1.000000,3.235352,1.000000,1.000000

histogram,filename length
count,95,items
average,17.715789,chars
min,4,chars
max,62,chars
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,7,4,0.042105,0.042105,20.000000,0.011884,0.011884
8,15,23,0.242105,0.284211,298.000000,0.177065,0.188948
16,23,58,0.610526,0.894737,1002.000000,0.595365,0.784314
24,31,6,0.063158,0.957895,167.000000,0.099228,0.883541
32,39,1,0.010526,0.968421,37.000000,0.021985,0.905526
48,55,2,0.021053,0.989474,97.000000,0.057635,0.963161
56,63,1,0.010526,1.000000,62.000000,0.036839,1.000000

histogram,link count
count,86,items
average,1.000000,links
min,1,links
max,1,links
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,1,86,1.000000,1.000000,86.000000,1.000000,1.000000

histogram,symlink target length
count,1,items
average,66.000000,chars
min,66,chars
max,66,chars
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
64,71,1,1.000000,1.000000,66.000000,1.000000,1.000000

relative symlink target pct,0.000000
absolute symlink target pct,1.000000
histogram,mtime (files)
count,86,items
average,56.386747,days
min,35,days
max,128,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
32,64,66,0.767442,0.767442,2482.384815,0.511910,0.511910
64,128,7,0.081395,0.848837,697.200868,0.143775,0.655685
128,256,13,0.151163,1.000000,1669.674560,0.344315,1.000000

histogram,mtime (KB)
count,344210,items
average,35.909467,days
min,35,days
max,128,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
32,64,344185,0.999927,0.999927,12357425.995398,0.999758,0.999758
64,128,18,0.000054,0.999982,2167.655886,0.000175,0.999934
128,256,6,0.000018,1.000000,817.653881,0.000066,1.000000

histogram,ctime (files)
count,86,items
average,35.843843,days
min,35,days
max,35,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
32,64,86,1.000000,1.000000,3082.570498,1.000000,1.000000

histogram,ctime (KB)
count,344210,items
average,35.843854,days
min,35,days
max,35,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
32,64,344210,1.000000,1.000000,12337826.603698,1.000000,1.000000

histogram,atime (files)
count,86,items
average,56.386747,days
min,35,days
max,128,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
32,64,66,0.767442,0.767442,2482.384815,0.511910,0.511910
64,128,7,0.081395,0.848837,697.200868,0.143775,0.655685
128,256,13,0.151163,1.000000,1669.674560,0.344315,1.000000

histogram,atime (KB)
count,344210,items
average,35.909467,days
min,35,days
max,128,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
32,64,344185,0.999927,0.999927,12357425.995398,0.999758,0.999758
64,128,18,0.000054,0.999982,2167.655886,0.000175,0.999934
128,256,6,0.000018,1.000000,817.653881,0.000066,1.000000

