#Generated by fsstats v1.4.5 (03/22/2008)
#Comment: This is a comment line that can be modified or repeated before
#uploading to record voluntarily added information.

skipped special files,0
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,1.23 TB
total user data,1.05 TB
percent overhead,0.147692

histogram,file size
count,124767,items
average,9047.613923,KB
min,0,KB
max,10481845,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
8192,16383,8,0.173913,1.000000,66400.000000,0.531996,1.000000

histogram,directory size
count,46,items
average,97.440663,KB
min,0,KB
max,299,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,17,0.369565,0.369565,5.817383,0.001298,0.001298
2,4,3,0.065217,0.434783,7.743164,0.001728,0.003025
16,32,2,0.043478,0.478261,61.189453,0.013651,0.016677
32,64,4,0.086957,0.565217,230.081055,0.051331,0.068008
64,128,3,0.065217,0.630435,302.710938,0.067535,0.135543
128,256,9,0.195652,0.826087,1476.291016,0.329362,0.464906
256,512,8,0.173913,1.000000,2398.437500,0.535094,1.000000

histogram,filename length
count,124814,items
average,18.774120,chars
min,4,chars
max,62,chars
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,7,37,0.000296,0.000296,193.000000,0.000082,0.000082
8,15,425,0.003405,0.003702,5450.000000,0.002326,0.002408
16,23,124169,0.994832,0.998534,2331336.000000,0.994906,0.997314
24,31,58,0.000465,0.998999,1475.000000,0.000629,0.997943
32,39,63,0.000505,0.999503,2245.000000,0.000958,0.998902
40,47,58,0.000465,0.999968,2365.000000,0.001009,0.999911
48,55,3,0.000024,0.999992,147.000000,0.000063,0.999974
56,63,1,0.000008,1.000000,62.000000,0.000026,1.000000

histogram,link count
count,124767,items
average,1.000000,links
min,1,links
max,1,links
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,1,124767,1.000000,1.000000,124767.000000,1.000000,1.000000

histogram,symlink target length
count,1,items
average,66.000000,chars
min,66,chars
max,66,chars
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
64,71,1,1.000000,1.000000,66.000000,1.000000,1.000000

relative symlink target pct,0.000000
absolute symlink target pct,1.000000
histogram,mtime (files)
count,124767,items
average,3.159885,days
min,0,days
max,182,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,34812,0.279016,0.279016,62973.366424,0.159730,0.159730
2,4,42228,0.338455,0.617471,87773.998785,0.222636,0.382366
4,8,47649,0.381904,0.999375,240651.359838,0.610404,0.992769
8,16,55,0.000441,0.999816,444.995081,0.001129,0.993898
16,32,1,0.000008,0.999824,17.338634,0.000044,0.993942
32,64,7,0.000056,0.999880,425.563657,0.001079,0.995022
64,128,2,0.000016,0.999896,239.786806,0.000608,0.995630
128,256,13,0.000104,1.000000,1722.968356,0.004370,1.000000

histogram,mtime (KB)
count,1128843646,items
average,2.615685,days
min,0,days
max,182,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,593326133,0.525605,0.525605,797245736.599060,0.270006,0.270006
2,4,178705713,0.158309,0.683914,370144209.289749,0.125358,0.395364
4,8,356465374,0.315779,0.999693,1782505007.723188,0.603687,0.999050
8,16,346406,0.000307,1.000000,2802426.696623,0.000949,0.999999
16,32,0,0.000000,1.000000,2.726094,0.000000,0.999999
32,64,6,0.000000,1.000000,417.996371,0.000000,0.999999
64,128,3,0.000000,1.000000,456.331684,0.000000,1.000000
128,256,7,0.000000,1.000000,1090.296837,0.000000,1.000000

histogram,ctime (files)
count,124767,items
average,3.142045,days
min,0,days
max,8,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,34812,0.279016,0.279016,62973.316181,0.160637,0.160637
2,4,42228,0.338455,0.617471,87773.992616,0.223900,0.384536
4,8,47649,0.381904,0.999375,240650.820336,0.613868,0.998405
8,16,78,0.000625,1.000000,625.427292,0.001595,1.000000

histogram,ctime (KB)
count,1128843646,items
average,2.615650,days
min,0,days
max,8,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,593326133,0.525605,0.525605,797244326.134435,0.270009,0.270009
2,4,178705713,0.158309,0.683914,370143187.115627,0.125359,0.395368
4,8,356465374,0.315779,0.999693,1782494842.967942,0.603691,0.999059
8,16,346424,0.000307,1.000000,2777787.142226,0.000941,1.000000

histogram,atime (files)
count,124767,items
average,3.159885,days
min,0,days
max,182,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,34812,0.279016,0.279016,62973.366424,0.159730,0.159730
2,4,42228,0.338455,0.617471,87773.998785,0.222636,0.382366
4,8,47649,0.381904,0.999375,240651.359838,0.610404,0.992769
8,16,55,0.000441,0.999816,444.995081,0.001129,0.993898
