#Generated by fsstats v1.4.5 (03/22/2008)
#Comment: This is a comment line that can be modified or repeated before
#uploading to record voluntarily added information.

skipped special files,0
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,1.27 TB
total user data,1.06 TB
percent overhead,0.159676

histogram,file size
count,486505,items
average,2347.345715,KB
min,0,KB
max,41517208,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,24087,0.049510,0.049510,12174.938477,0.000011,0.000011
2,4,2675,0.005498,0.055009,9945.451172,0.000009,0.000019
4,8,5293,0.010880,0.065888,30130.527344,0.000026,0.000046
8,16,364330,0.748872,0.814760,4726644.227539,0.004139,0.004185
16,32,7990,0.016423,0.831184,174145.669922,0.000152,0.004337
32,64,2669,0.005486,0.836670,114564.020508,0.000100,0.004438
64,128,5,0.000010,0.836680,502.876953,0.000000,0.004438
128,256,698,0.001435,0.838115,161216.288086,0.000141,0.004579
256,512,11704,0.024057,0.862172,4493492.230469,0.003935,0.008514
512,1024,14147,0.029079,0.891251,10027266.669922,0.008780,0.017294
1024,2048,4801,0.009868,0.901119,7694794.809570,0.006738,0.024032
2048,4096,26779,0.055044,0.956163,80462416.182617,0.070458,0.094490
4096,8192,62,0.000127,0.956290,329730.956055,0.000289,0.094779
8192,16384,295,0.000606,0.956897,4465965.781250,0.003911,0.098690
16384,32768,7187,0.014773,0.971669,194517549.832031,0.170331,0.269021
32768,65536,9825,0.020195,0.991864,466537390.733398,0.408528,0.677549
65536,131072,3875,0.007965,0.999829,275261112.267578,0.241035,0.918584
131072,262144,1,0.000002,0.999831,195573.312500,0.000171,0.918756
262144,524288,34,0.000070,0.999901,12324278.905273,0.010792,0.929547
524288,1048576,40,0.000082,0.999984,30306233.283203,0.026538,0.956085
1048576,2097152,7,0.000014,0.999998,8633089.284180,0.007560,0.963645
33554432,67108864,1,0.000002,1.000000,41517208.961914,0.036355,1.000000

histogram,capacity used
count,486505,items
average,2793.218696,KB
min,1,KB
max,48468601,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,49,0.000101,0.000101,73.500000,0.000000,0.000000
16,32,32006,0.065788,0.065888,816153.000000,0.000601,0.000601
32,64,364330,0.748872,0.814760,18034335.000000,0.013271,0.013872
64,128,8007,0.016458,0.831219,598474.500000,0.000440,0.014312
128,256,2652,0.005451,0.836670,386250.000000,0.000284,0.014596
256,512,600,0.001233,0.837903,292452.000000,0.000215,0.014812
512,1024,23117,0.047516,0.885419,18297443.500000,0.013465,0.028276
1024,2048,5427,0.011155,0.896575,7378316.500000,0.005430,0.033706
2048,4096,21061,0.043290,0.939865,69098079.500000,0.050848,0.084554
4096,8192,7974,0.016390,0.956255,34530001.000000,0.025410,0.109964
8192,16384,35,0.000072,0.956327,347436.500000,0.000256,0.110220
