#Generated by fsstats v1.4.5 (03/22/2008)
#Comment: This is a comment line that can be modified or repeated before
#uploading to record voluntarily added information.

skipped special files,0
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,908.58 GB
total user data,775.94 GB
percent overhead,0.145989

histogram,file size
count,59694,items
average,13629.985937,KB
min,0,KB
max,3655183,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,4010,0.067176,0.067176,1280.121094,0.000002,0.000002
2,4,691,0.011576,0.078752,2652.161133,0.000003,0.000005
4,8,965,0.016166,0.094917,5270.716797,0.000006,0.000011
8,16,40230,0.673937,0.768854,520965.511719,0.000640,0.000652
16,32,2401,0.040222,0.809076,62330.565430,0.000077,0.000728
32,64,7,0.000117,0.809194,386.025391,0.000000,0.000729
64,128,21,0.000352,0.809545,1872.640625,0.000002,0.000731
128,256,11,0.000184,0.809730,2103.764648,0.000003,0.000734
256,512,181,0.003032,0.812762,79348.325195,0.000098,0.000831
512,1024,241,0.004037,0.816799,198120.961914,0.000244,0.001075
1024,2048,678,0.011358,0.828157,1061363.255859,0.001304,0.002379
2048,4096,1744,0.029216,0.857373,5184077.306641,0.006372,0.008751
4096,8192,1244,0.020840,0.878212,6822761.210938,0.008386,0.017136
8192,16384,1650,0.027641,0.905853,19780058.446289,0.024311,0.041447
16384,32768,2401,0.040222,0.946075,60819543.819336,0.074751,0.116198
32768,65536,337,0.005645,0.951720,14529320.420898,0.017857,0.134056
65536,131072,412,0.006902,0.958622,45809449.608398,0.056303,0.190358
131072,262144,1230,0.020605,0.979227,215264167.839844,0.264573,0.454931
262144,524288,1170,0.019600,0.998827,337223644.175781,0.414469,0.869400
524288,1048576,22,0.000369,0.999196,19675702.215820,0.024183,0.893583
1048576,2097152,35,0.000586,0.999782,49394514.854492,0.060709,0.954292
2097152,4194304,13,0.000218,1.000000,37189446.571289,0.045708,1.000000

histogram,capacity used
count,59694,items
average,15959.795038,KB
min,1,KB
max,4265665,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,35,0.000586,0.000586,52.500000,0.000000,0.000000
16,32,5631,0.094331,0.094917,143590.500000,0.000151,0.000151
32,64,40230,0.673937,0.768854,1991385.000000,0.002090,0.002241
64,128,2401,0.040222,0.809076,212905.500000,0.000223,0.002464
128,256,14,0.000235,0.809311,2877.000000,0.000003,0.002468
256,512,25,0.000419,0.809730,9237.500000,0.000010,0.002477
512,1024,211,0.003535,0.813264,150572.500000,0.000158,0.002635
1024,2048,614,0.010286,0.823550,894609.000000,0.000939,0.003574
2048,4096,1587,0.026586,0.850136,5029412.500000,0.005279,0.008853
4096,8192,1636,0.027406,0.877542,9659574.000000,0.010139,0.018992
8192,16384,1516,0.025396,0.902938,20480322.000000,0.021497,0.040490
16384,32768,2128,0.035648,0.938587,58590928.000000,0.061500,0.101989
32768,65536,784,0.013134,0.951720,32907944.000000,0.034542,0.136531
65536,131072,200,0.003350,0.955071,21888876.000000,0.022976,0.159506
131072,262144,1398,0.023419,0.978490,270419041.000000,0.283844,0.443350
262144,524288,1209,0.020253,0.998744,403561925.500000,0.423596,0.866946
524288,1048576,14,0.000235,0.998978,10196749.000000,0.010703,0.877649
1048576,2097152,46,0.000771,0.999749,68783429.000000,0.072198,0.949847
2097152,4194304,13,0.000218,0.999966,39258835.500000,0.041208,0.991055
4194304,8388608,2,0.000034,1.000000,8521739.000000,0.008945,1.000000

histogram,positive overhead
count,59722,items
average,2328.897850,KB
min,1,KB
max,610482,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,4024,0.067379,0.067379,100318.416016,0.000721,0.000721
2,4,692,0.011587,0.078966,14991.370117,0.000108,0.000829
4,8,965,0.016158,0.095124,19336.783203,0.000139,0.000968
8,16,40230,0.673621,0.768745,1470419.488281,0.010572,0.011540
16,32,2403,0.040236,0.808982,150900.745117,0.001085,0.012625
32,64,8,0.000134,0.809116,1203.840820,0.000009,0.012634
64,128,22,0.000368,0.809484,4604.392578,0.000033,0.012667
128,256,20,0.000335,0.809819,12224.350586,0.000088,0.012755
256,512,181,0.003031,0.812850,47331.174805,0.000340,0.013095
