#Generated by fsstats v1.4.5 (03/22/2008)
#Comment: This is a comment line that can be modified or repeated before
#uploading to record voluntarily added information.

skipped special files,0
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,469.18 GB
total user data,399.79 GB
percent overhead,0.147900

histogram,file size
count,47725,items
average,8783.793039,KB
min,0,KB
max,1892690,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,4164,0.087250,0.087250,1324.566406,0.000003,0.000003
2,4,750,0.015715,0.102965,2032.467773,0.000005,0.000008
4,8,830,0.017391,0.120356,4720.197266,0.000011,0.000019
8,16,28225,0.591409,0.711765,366532.594727,0.000874,0.000894
16,32,2330,0.048821,0.760587,42798.897461,0.000102,0.000996
32,64,12,0.000251,0.760838,661.284180,0.000002,0.000997
64,128,18,0.000377,0.761215,1647.020508,0.000004,0.001001
128,256,4,0.000084,0.761299,745.821289,0.000002,0.001003
256,512,1,0.000021,0.761320,319.400391,0.000001,0.001004
512,1024,213,0.004463,0.765783,183769.779297,0.000438,0.001442
1024,2048,1480,0.031011,0.796794,2281393.246094,0.005442,0.006884
2048,4096,1564,0.032771,0.829565,4478135.643555,0.010682,0.017567
4096,8192,1398,0.029293,0.858858,8461385.287109,0.020184,0.037751
8192,16384,2941,0.061624,0.920482,36334890.116211,0.086675,0.124426
16384,32768,511,0.010707,0.931189,9638981.339844,0.022993,0.147420
32768,65536,487,0.010204,0.941393,27265868.959961,0.065042,0.212461
65536,131072,2425,0.050812,0.992205,234251567.747070,0.558798,0.771259
131072,262144,302,0.006328,0.998533,45588289.572266,0.108749,0.880008
262144,524288,29,0.000608,0.999141,12150954.938477,0.028986,0.908994
524288,1048576,30,0.000629,0.999770,23664312.863281,0.056450,0.965444
1048576,2097152,11,0.000230,1.000000,14486191.058594,0.034556,1.000000

histogram,capacity used
count,47725,items
average,10308.247072,KB
min,1,KB
max,2209017,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,120,0.002514,0.002514,180.000000,0.000000,0.000000
16,32,5624,0.117842,0.120356,143412.000000,0.000292,0.000292
32,64,28225,0.591409,0.711765,1397137.500000,0.002840,0.003132
64,128,2330,0.048821,0.760587,171279.000000,0.000348,0.003480
128,256,17,0.000356,0.760943,3265.500000,0.000007,0.003487
256,512,17,0.000356,0.761299,5865.500000,0.000012,0.003499
512,1024,22,0.000461,0.761760,20665.000000,0.000042,0.003541
1024,2048,1133,0.023740,0.785500,1832163.500000,0.003724,0.007265
2048,4096,1988,0.041655,0.827156,6055966.000000,0.012310,0.019575
