#Generated by fsstats v1.4.5 (03/22/2008)
#Comment: This is a comment line that can be modified or repeated before
#uploading to record voluntarily added information.

skipped special files,0
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,585.34 GB
total user data,499.14 GB
percent overhead,0.147276

histogram,file size
count,47706,items
average,10970.960110,KB
min,0,KB
max,2148511,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,2382,0.049931,0.049931,1281.345703,0.000002,0.000002
2,4,819,0.017168,0.067098,2324.878906,0.000004,0.000007
4,8,829,0.017377,0.084476,4734.674805,0.000009,0.000016
8,16,29135,0.610720,0.695196,379205.457031,0.000725,0.000740
16,32,3135,0.065715,0.760911,60539.732422,0.000116,0.000856
32,64,11,0.000231,0.761141,616.944336,0.000001,0.000857
64,128,22,0.000461,0.761602,1933.401367,0.000004,0.000861
128,256,3,0.000063,0.761665,601.592773,0.000001,0.000862
256,512,4,0.000084,0.761749,1388.991211,0.000003,0.000865
512,1024,30,0.000629,0.762378,24626.435547,0.000047,0.000912
1024,2048,1071,0.022450,0.784828,1714658.799805,0.003276,0.004188
2048,4096,1848,0.038737,0.823565,5416488.375977,0.010349,0.014537
4096,8192,1276,0.026747,0.850312,7457063.899414,0.014248,0.028785
8192,16384,1874,0.039282,0.889595,23531752.569336,0.044961,0.073746
16384,32768,1981,0.041525,0.931120,36374550.203125,0.069499,0.143245
32768,65536,184,0.003857,0.934977,10829582.540039,0.020692,0.163937
65536,131072,1799,0.037710,0.972687,178497750.775391,0.341048,0.504984
131072,262144,1215,0.025468,0.998155,178184892.237305,0.340450,0.845434
262144,524288,14,0.000293,0.998449,5952003.269531,0.011372,0.856807
524288,1048576,46,0.000964,0.999413,36614093.674805,0.069957,0.926764
1048576,2097152,27,0.000566,0.999979,36182021.663086,0.069131,0.995895
2097152,4194304,1,0.000021,1.000000,2148511.563477,0.004105,1.000000

histogram,capacity used
count,47706,items
average,12865.619398,KB
min,1,KB
max,2508097,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,33,0.000692,0.000692,49.500000,0.000000,0.000000
16,32,3997,0.083784,0.084476,101923.500000,0.000166,0.000166
32,64,29135,0.610720,0.695196,1442182.500000,0.002350,0.002516
64,128,3135,0.065715,0.760911,230518.500000,0.000376,0.002891
128,256,19,0.000398,0.761309,3844.500000,0.000006,0.002898
256,512,17,0.000356,0.761665,5657.500000,0.000009,0.002907
512,1024,18,0.000377,0.762043,15539.000000,0.000025,0.002932
1024,2048,539,0.011298,0.773341,863424.500000,0.001407,0.004339
2048,4096,1719,0.036033,0.809374,4807786.500000,0.007833,0.012172
4096,8192,1474,0.030898,0.840272,7789499.000000,0.012691,0.024864
8192,16384,1861,0.039010,0.879281,22967207.500000,0.037420,0.062284
16384,32768,2465,0.051671,0.930952,51369369.500000,0.083695,0.145979
32768,65536,37,0.000776,0.931728,1958335.500000,0.003191,0.149169
65536,131072,1641,0.034398,0.966126,173870285.500000,0.283284,0.432453
131072,262144,1528,0.032030,0.998155,253887500.000000,0.413654,0.846108
262144,524288,6,0.000126,0.998281,2385009.000000,0.003886,0.849993
524288,1048576,43,0.000901,0.999182,34457904.500000,0.056142,0.906135
1048576,2097152,35,0.000734,0.999916,48047276.500000,0.078283,0.984418
2097152,4194304,4,0.000084,1.000000,9563926.000000,0.015582,1.000000

histogram,positive overhead
count,47737,items
average,1893.592690,KB
min,1,KB
max,359585,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,2399,0.050255,0.050255,58855.703125,0.000651,0.000651
2,4,820,0.017177,0.067432,18581.943359,0.000206,0.000857
4,8,829,0.017366,0.084798,16404.825195,0.000181,0.001038
8,16,29135,0.610323,0.695121,1062977.042969,0.011759,0.012797
16,32,3137,0.065714,0.760835,170304.578125,0.001884,0.014681
32,64,12,0.000251,0.761087,1746.921875,0.000019,0.014701
64,128,23,0.000482,0.761569,4761.131836,0.000053,0.014753
128,256,12,0.000251,0.761820,7124.116211,0.000079,0.014832
256,512,4,0.000084,0.761904,1049.008789,0.000012,0.014844
512,1024,30,0.000628,0.762532,8002.564453,0.000089,0.014932
1024,2048,1071,0.022435,0.784968,445363.700195,0.004927,0.019859
2048,4096,1848,0.038712,0.823680,1181739.624023,0.013073,0.032932
4096,8192,1276,0.026730,0.850410,1401730.100586,0.015507,0.048439
8192,16384,1874,0.039257,0.889666,4191618.430664,0.046370,0.094810
16384,32768,1981,0.041498,0.931165,6350917.296875,0.070258,0.165067
32768,65536,184,0.003854,0.935019,1832509.459961,0.020272,0.185340
65536,131072,1799,0.037686,0.972705,30103315.724609,0.333022,0.518362
131072,262144,1215,0.025452,0.998157,29979946.262695,0.331657,0.850019
262144,524288,14,0.000293,0.998450,998145.730469,0.011042,0.861061
524288,1048576,46,0.000964,0.999413,6137079.325195,0.067892,0.928953
1048576,2097152,27,0.000566,0.999979,6062674.836914,0.067069,0.996022
2097152,4194304,1,0.000021,1.000000,359585.936523,0.003978,1.000000

histogram,negative overhead
count,0,items
average,0.000000,KB
min,0,KB
max,0,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct

histogram,directory size (entries)
count,30,items
average,1591.200000,ents
min,0,ents
max,5008,ents
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,1,7,0.233333,0.233333,5.000000,0.000105,0.000105
2,3,2,0.066667,0.300000,6.000000,0.000126,0.000230
8,15,2,0.066667,0.366667,19.000000,0.000398,0.000628
16,31,5,0.166667,0.533333,117.000000,0.002451,0.003079
32,63,1,0.033333,0.566667,63.000000,0.001320,0.004399
512,1023,2,0.066667,0.633333,1654.000000,0.034649,0.039048
1024,2047,1,0.033333,0.666667,1633.000000,0.034209,0.073257
2048,4095,1,0.033333,0.700000,3231.000000,0.067685,0.140942
4096,8191,9,0.300000,1.000000,41008.000000,0.859058,1.000000

histogram,directory size
count,30,items
average,56.938184,KB
min,0,KB
max,176,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,16,0.533333,0.533333,5.386719,0.003154,0.003154
2,4,1,0.033333,0.566667,3.177734,0.001860,0.005014
16,32,2,0.066667,0.633333,61.189453,0.035822,0.040836
32,64,1,0.033333,0.666667,54.133789,0.031692,0.072528
64,128,1,0.033333,0.700000,107.966797,0.063207,0.135735
128,256,9,0.300000,1.000000,1476.291016,0.864265,1.000000

histogram,filename length
count,47737,items
average,18.642877,chars
min,4,chars
max,62,chars
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,7,23,0.000482,0.000482,121.000000,0.000136,0.000136
8,15,228,0.004776,0.005258,2854.000000,0.003207,0.003343
16,23,47384,0.992605,0.997863,883341.000000,0.992568,0.995911
24,31,26,0.000545,0.998408,675.000000,0.000758,0.996669
32,39,38,0.000796,0.999204,1357.000000,0.001525,0.998194
40,47,33,0.000691,0.999895,1351.000000,0.001518,0.999712
48,55,4,0.000084,0.999979,194.000000,0.000218,0.999930
56,63,1,0.000021,1.000000,62.000000,0.000070,1.000000

histogram,link count
count,47706,items
average,1.000000,links
min,1,links
max,1,links
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,1,47706,1.000000,1.000000,47706.000000,1.000000,1.000000

histogram,symlink target length
count,1,items
average,66.000000,chars
min,66,chars
max,66,chars
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
64,71,1,1.000000,1.000000,66.000000,1.000000,1.000000

relative symlink target pct,0.000000
absolute symlink target pct,1.000000
histogram,mtime (files)
count,47706,items
average,36.597172,days
min,33,days
max,182,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
32,64,47688,0.999623,0.999623,1743574.988333,0.998666,0.998666
64,128,5,0.000105,0.999727,605.615567,0.000347,0.999013
128,256,13,0.000273,1.000000,1724.060266,0.000987,1.000000

histogram,mtime (KB)
count,523380623,items
average,36.482801,days
min,33,days
max,182,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
32,64,523380595,1.000000,1.000000,19094387802.955986,1.000000,1.000000
64,128,19,0.000000,1.000000,2344.984888,0.000000,1.000000
128,256,7,0.000000,1.000000,1090.953443,0.000000,1.000000

histogram,ctime (files)
count,47706,items
average,36.561510,days
min,33,days
max,39,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
32,64,47706,1.000000,1.000000,1744203.416111,1.000000,1.000000

histogram,ctime (KB)
count,523380623,items
average,36.482760,days
min,33,days
max,39,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
32,64,523380623,1.000000,1.000000,19094369905.456089,1.000000,1.000000

histogram,atime (files)
count,47706,items
average,36.597172,days
min,33,days
max,182,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
32,64,47688,0.999623,0.999623,1743574.988333,0.998666,0.998666
64,128,5,0.000105,0.999727,605.615567,0.000347,0.999013
128,256,13,0.000273,1.000000,1724.060266,0.000987,1.000000

histogram,atime (KB)
count,523380623,items
average,36.482801,days
min,33,days
max,182,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
32,64,523380595,1.000000,1.000000,19094387802.955986,1.000000,1.000000
64,128,19,0.000000,1.000000,2344.984888,0.000000,1.000000
128,256,7,0.000000,1.000000,1090.953443,0.000000,1.000000

