#Generated by fsstats v1.4.5 (03/22/2008)
#Comment: This is a comment line that can be modified or repeated before
#uploading to record voluntarily added information.

skipped special files,0
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,2.10 TB
total user data,1.79 TB
percent overhead,0.146027

histogram,file size
count,155009,items
average,12409.513701,KB
min,0,KB
max,3482700,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,7376,0.047584,0.047584,3702.512695,0.000002,0.000002
2,4,71,0.000458,0.048042,243.069336,0.000000,0.000002
4,8,2383,0.015373,0.063416,12346.573242,0.000006,0.000008
8,16,120953,0.780297,0.843712,1570297.059570,0.000816,0.000825
16,32,2394,0.015444,0.859157,62926.612305,0.000033,0.000858
32,64,805,0.005193,0.864350,37265.221680,0.000019,0.000877
64,128,30,0.000194,0.864543,2516.528320,0.000001,0.000878
128,256,8,0.000052,0.864595,1419.319336,0.000001,0.000879
256,512,2,0.000013,0.864608,609.267578,0.000000,0.000879
512,1024,12,0.000077,0.864685,10766.917969,0.000006,0.000885
1024,2048,422,0.002722,0.867408,732793.549805,0.000381,0.001266
2048,4096,3434,0.022154,0.889561,9842706.576172,0.005117,0.006383
4096,8192,4299,0.027734,0.917295,22655345.404297,0.011778,0.018160
8192,16384,1638,0.010567,0.927862,22262539.904297,0.011573,0.029734
16384,32768,6276,0.040488,0.968350,151826615.708984,0.078929,0.108663
32768,65536,14,0.000090,0.968441,644622.912109,0.000335,0.108998
65536,131072,105,0.000677,0.969118,12551613.749023,0.006525,0.115523
131072,262144,1475,0.009516,0.978633,303359687.739258,0.157705,0.273228
262144,524288,2184,0.014090,0.992723,690909133.751953,0.359178,0.632406
524288,1048576,1060,0.006838,0.999561,582138566.432617,0.302632,0.935038
1048576,2097152,47,0.000303,0.999865,67371664.943359,0.035024,0.970062
2097152,4194304,21,0.000135,1.000000,57588925.459961,0.029938,1.000000

histogram,capacity used
count,155009,items
average,14531.329003,KB
min,1,KB
max,4064537,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,61,0.000394,0.000394,91.500000,0.000000,0.000000
16,32,9769,0.063022,0.063416,249109.500000,0.000111,0.000111
32,64,120953,0.780297,0.843712,5987173.500000,0.002658,0.002769
64,128,2395,0.015451,0.859163,214312.500000,0.000095,0.002864
128,256,820,0.005290,0.864453,120846.000000,0.000054,0.002917
256,512,22,0.000142,0.864595,7753.000000,0.000003,0.002921
512,1024,6,0.000039,0.864634,4801.000000,0.000002,0.002923
1024,2048,45,0.000290,0.864924,75763.500000,0.000034,0.002957
2048,4096,3673,0.023695,0.888619,12146061.500000,0.005392,0.008349
4096,8192,4343,0.028018,0.916637,26892602.500000,0.011939,0.020288
8192,16384,921,0.005942,0.922579,12600197.500000,0.005594,0.025882
16384,32768,7080,0.045675,0.968253,192024124.000000,0.085250,0.111132
32768,65536,25,0.000161,0.968415,958325.500000,0.000425,0.111557
65536,131072,4,0.000026,0.968441,297630.000000,0.000132,0.111689
131072,262144,1121,0.007232,0.975672,232019137.500000,0.103006,0.214695
262144,524288,2293,0.014793,0.990465,735086927.500000,0.326345,0.541040
524288,1048576,1394,0.008993,0.999458,869804587.000000,0.386153,0.927193
1048576,2097152,62,0.000400,0.999858,94374453.000000,0.041898,0.969091
2097152,4194304,22,0.000142,1.000000,69622881.000000,0.030909,1.000000

histogram,positive overhead
count,155054,items
average,2121.375355,KB
min,1,KB
max,581836,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,7396,0.047700,0.047700,183159.837891,0.000557,0.000557
2,4,72,0.000464,0.048164,1589.893555,0.000005,0.000562
4,8,2383,0.015369,0.063533,48419.926758,0.000147,0.000709
8,16,120953,0.780070,0.843603,4416876.440430,0.013428,0.014137
16,32,2396,0.015453,0.859056,151590.198242,0.000461,0.014598
32,64,809,0.005218,0.864273,81296.407227,0.000247,0.014845
64,128,31,0.000200,0.864473,5990.004883,0.000018,0.014863
128,256,17,0.000110,0.864583,11544.295898,0.000035,0.014898
256,512,10,0.000064,0.864647,15889.763672,0.000048,0.014947
512,1024,12,0.000077,0.864725,3155.082031,0.000010,0.014956
1024,2048,422,0.002722,0.867446,208583.450195,0.000634,0.015590
2048,4096,3434,0.022147,0.889593,2031700.423828,0.006177,0.021767
4096,8192,4299,0.027726,0.917319,4560791.095703,0.013866,0.035633
8192,16384,1638,0.010564,0.927883,3894389.095703,0.011840,0.047472
16384,32768,6276,0.040476,0.968359,26214094.291016,0.079696,0.127168
