#Generated by fsstats v1.4.5 (03/22/2008)
#Comment: This is a comment line that can be modified or repeated before
#uploading to record voluntarily added information.

skipped special files,0
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,1006.45 GB
total user data,857.64 GB
percent overhead,0.147850

histogram,file size
count,88538,items
average,10157.246938,KB
min,0,KB
max,2404449,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,5825,0.065791,0.065791,1453.608398,0.000002,0.000002
2,4,824,0.009307,0.075098,2415.597656,0.000003,0.000004
4,8,1632,0.018433,0.093530,8618.696289,0.000010,0.000014
8,16,53645,0.605898,0.699428,696000.723633,0.000774,0.000788
16,32,2401,0.027118,0.726547,48598.222656,0.000054,0.000842
32,64,10,0.000113,0.726660,571.221680,0.000001,0.000842
64,128,23,0.000260,0.726920,2079.094727,0.000002,0.000845
128,256,4,0.000045,0.726965,759.978516,0.000001,0.000846
256,512,2,0.000023,0.726987,726.030273,0.000001,0.000846
512,1024,133,0.001502,0.728489,129831.130859,0.000144,0.000991
1024,2048,2593,0.029287,0.757776,4282214.900391,0.004762,0.005753
2048,4096,6462,0.072986,0.830762,19810938.895508,0.022029,0.027782
4096,8192,1267,0.014310,0.845072,6887271.867188,0.007658,0.035440
8192,16384,5168,0.058370,0.903443,68843140.246094,0.076552,0.111992
16384,32768,2052,0.023176,0.926619,41251000.366211,0.045870,0.157862
32768,65536,213,0.002406,0.929025,11234062.462891,0.012492,0.170354
65536,131072,4981,0.056258,0.985283,464951911.210938,0.517014,0.687368
131072,262144,1215,0.013723,0.999006,195375611.140625,0.217252,0.904620
262144,524288,14,0.000158,0.999164,5606716.066406,0.006235,0.910855
524288,1048576,39,0.000440,0.999605,30508632.510742,0.033925,0.944780
1048576,2097152,32,0.000361,0.999966,42684666.617188,0.047464,0.992244
2097152,4194304,3,0.000034,1.000000,6975108.835938,0.007756,1.000000

histogram,capacity used
count,88538,items
average,11919.404990,KB
min,1,KB
max,2806337,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,39,0.000440,0.000440,58.500000,0.000000,0.000000
16,32,8242,0.093090,0.093530,210171.000000,0.000199,0.000199
32,64,53645,0.605898,0.699428,2655427.500000,0.002516,0.002715
64,128,2401,0.027118,0.726547,176593.500000,0.000167,0.002883
128,256,19,0.000215,0.726761,4012.500000,0.000004,0.002887
256,512,18,0.000203,0.726965,6259.000000,0.000006,0.002893
512,1024,10,0.000113,0.727078,9263.000000,0.000009,0.002901
