#Generated by fsstats v1.4.5 (03/22/2008)
#Comment: This is a comment line that can be modified or repeated before
#uploading to record voluntarily added information.

skipped special files,0
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,538.93 GB
total user data,457.32 GB
percent overhead,0.151434

histogram,file size
count,69722,items
average,6877.791652,KB
min,0,KB
max,2036477,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,3925,0.056295,0.056295,1286.750000,0.000003,0.000003
2,4,822,0.011790,0.068085,2301.203125,0.000005,0.000007
4,8,1016,0.014572,0.082657,5563.235352,0.000012,0.000019
8,16,35054,0.502768,0.585425,452618.719727,0.000944,0.000963
16,32,2401,0.034437,0.619862,47343.954102,0.000099,0.001062
32,64,99,0.001420,0.621282,5780.291016,0.000012,0.001074
64,128,29,0.000416,0.621698,2746.063477,0.000006,0.001079
128,256,11,0.000158,0.621855,2473.555664,0.000005,0.001085
256,512,10,0.000143,0.621999,3486.004883,0.000007,0.001092
512,1024,465,0.006669,0.628668,386412.240234,0.000806,0.001898
1024,2048,6155,0.088279,0.716947,10165825.798828,0.021199,0.023097
2048,4096,11128,0.159605,0.876553,35371511.803711,0.073762,0.096859
4096,8192,1675,0.024024,0.900577,10350976.250977,0.021586,0.118445
8192,16384,2722,0.039041,0.939617,33312472.478516,0.069469,0.187914
16384,32768,934,0.013396,0.953013,16960834.644531,0.035369,0.223283
32768,65536,699,0.010026,0.963039,36134769.737305,0.075354,0.298637
65536,131072,1910,0.027395,0.990433,187258817.271484,0.390502,0.689139
131072,262144,583,0.008362,0.998795,83578108.156250,0.174290,0.863430
262144,524288,26,0.000373,0.999168,10460771.829102,0.021814,0.885244
524288,1048576,41,0.000588,0.999756,32187212.532227,0.067122,0.952366
1048576,2097152,17,0.000244,1.000000,22842077.049805,0.047634,1.000000

histogram,capacity used
count,69722,items
average,8105.030019,KB
min,1,KB
max,2376801,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,32,0.000459,0.000459,48.000000,0.000000,0.000000
16,32,5731,0.082198,0.082657,146140.500000,0.000259,0.000259
32,64,35054,0.502768,0.585425,1735173.000000,0.003071,0.003329
64,128,2401,0.034437,0.619862,176497.500000,0.000312,0.003642
128,256,108,0.001549,0.621411,21090.000000,0.000037,0.003679
256,512,31,0.000445,0.621855,11950.500000,0.000021,0.003700
512,1024,146,0.002094,0.623949,133619.000000,0.000236,0.003937
1024,2048,2694,0.038639,0.662589,4268897.000000,0.007554,0.011491
2048,4096,10031,0.143871,0.806460,29880926.500000,0.052877,0.064368
4096,8192,6099,0.087476,0.893936,30339668.500000,0.053689,0.118057
8192,16384,2342,0.033591,0.927526,28290337.000000,0.050063,0.168120
16384,32768,1758,0.025214,0.952741,34291997.000000,0.060683,0.228803
32768,65536,498,0.007143,0.959884,27465587.000000,0.048603,0.277406
65536,131072,1548,0.022202,0.982086,151723234.000000,0.268490,0.545896
131072,262144,1163,0.016681,0.998767,179617544.500000,0.317852,0.863747
262144,524288,19,0.000273,0.999039,7809844.500000,0.013820,0.877568
524288,1048576,39,0.000559,0.999598,29876498.500000,0.052870,0.930437
1048576,2097152,26,0.000373,0.999971,34761319.000000,0.061514,0.991951
2097152,4194304,2,0.000029,1.000000,4548531.000000,0.008049,1.000000

histogram,positive overhead
count,69763,items
average,1226.686459,KB
min,1,KB
max,340324,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,3943,0.056520,0.056520,98222.035156,0.001148,0.001148
2,4,824,0.011811,0.068331,18703.869141,0.000219,0.001366
4,8,1016,0.014564,0.082895,20344.764648,0.000238,0.001604
8,16,35054,0.502473,0.585368,1282554.280273,0.014987,0.016591
16,32,2403,0.034445,0.619813,129479.356445,0.001513,0.018104
32,64,100,0.001433,0.621246,13563.575195,0.000158,0.018263
64,128,38,0.000545,0.621791,10355.673828,0.000121,0.018384
128,256,20,0.000287,0.622078,9376.153320,0.000110,0.018493
256,512,10,0.000143,0.622221,2616.995117,0.000031,0.018524
512,1024,465,0.006665,0.628886,121573.259766,0.001421,0.019944
1024,2048,6155,0.088227,0.717114,2711390.701172,0.031684,0.051628
2048,4096,11128,0.159511,0.876625,7634436.196289,0.089211,0.140839
4096,8192,1675,0.024010,0.900635,1969184.249023,0.023011,0.163849
8192,16384,2722,0.039018,0.939653,5936874.521484,0.069374,0.233224
16384,32768,934,0.013388,0.953041,2962382.355469,0.034616,0.267840
32768,65536,699,0.010020,0.963061,6121622.762695,0.071533,0.339374
65536,131072,1910,0.027378,0.990439,31538279.728516,0.368535,0.707909
131072,262144,583,0.008357,0.998796,14038902.343750,0.164049,0.871958
262144,524288,26,0.000373,0.999169,1752211.170898,0.020475,0.892434
524288,1048576,41,0.000588,0.999756,5385504.967773,0.062931,0.955365
1048576,2097152,17,0.000244,1.000000,3819748.450195,0.044635,1.000000

histogram,negative overhead
count,0,items
average,0.000000,KB
min,0,KB
max,0,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct

histogram,directory size (entries)
count,40,items
average,1744.050000,ents
min,0,ents
max,5008,ents
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,1,5,0.125000,0.125000,4.000000,0.000057,0.000057
2,3,2,0.050000,0.175000,5.000000,0.000072,0.000129
4,7,1,0.025000,0.200000,6.000000,0.000086,0.000215
8,15,4,0.100000,0.300000,36.000000,0.000516,0.000731
16,31,5,0.125000,0.425000,113.000000,0.001620,0.002351
32,63,1,0.025000,0.450000,63.000000,0.000903,0.003254
64,127,1,0.025000,0.475000,120.000000,0.001720,0.004974
512,1023,2,0.050000,0.525000,1654.000000,0.023709,0.028683
1024,2047,1,0.025000,0.550000,1633.000000,0.023408,0.052091
2048,4095,9,0.225000,0.775000,25120.000000,0.360081,0.412173
4096,8191,9,0.225000,1.000000,41008.000000,0.587827,1.000000

histogram,directory size
count,40,items
average,62.586377,KB
min,0,KB
max,176,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,17,0.425000,0.425000,5.650391,0.002257,0.002257
2,4,2,0.050000,0.475000,6.927734,0.002767,0.005024
16,32,2,0.050000,0.525000,61.189453,0.024442,0.029466
32,64,1,0.025000,0.550000,54.133789,0.021624,0.051090
64,128,9,0.225000,0.775000,899.262695,0.359209,0.410299
128,256,9,0.225000,1.000000,1476.291016,0.589701,1.000000

histogram,filename length
count,69763,items
average,18.747531,chars
min,4,chars
max,62,chars
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,7,33,0.000473,0.000473,166.000000,0.000127,0.000127
8,15,360,0.005160,0.005633,4690.000000,0.003586,0.003713
16,23,69272,0.992962,0.998595,1299595.000000,0.993662,0.997375
24,31,27,0.000387,0.998982,705.000000,0.000539,0.997914
32,39,39,0.000559,0.999541,1388.000000,0.001061,0.998975
40,47,30,0.000430,0.999971,1229.000000,0.000940,0.999915
48,55,1,0.000014,0.999986,49.000000,0.000037,0.999953
56,63,1,0.000014,1.000000,62.000000,0.000047,1.000000

histogram,link count
count,69722,items
average,1.000000,links
min,1,links
max,1,links
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,1,69722,1.000000,1.000000,69722.000000,1.000000,1.000000

histogram,symlink target length
count,1,items
average,66.000000,chars
min,66,chars
max,66,chars
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
64,71,1,1.000000,1.000000,66.000000,1.000000,1.000000

relative symlink target pct,0.000000
absolute symlink target pct,1.000000
histogram,mtime (files)
count,69722,items
average,24.512259,days
min,22,days
max,182,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
16,32,69704,0.999742,0.999742,1706973.599201,0.998789,0.998789
32,64,3,0.000043,0.999785,109.575208,0.000064,0.998853
64,128,2,0.000029,0.999814,239.492384,0.000140,0.998993
128,256,13,0.000186,1.000000,1721.054618,0.001007,1.000000

histogram,mtime (KB)
count,479533389,items
average,24.047226,days
min,22,days
max,182,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
16,32,479533376,1.000000,1.000000,11531445968.038563,1.000000,1.000000
32,64,1,0.000000,1.000000,61.500665,0.000000,1.000000
64,128,3,0.000000,1.000000,455.771306,0.000000,1.000000
128,256,7,0.000000,1.000000,1089.146035,0.000000,1.000000

histogram,ctime (files)
count,69722,items
average,24.424049,days
min,22,days
max,26,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
16,32,69722,1.000000,1.000000,1702893.524167,1.000000,1.000000

