#Generated by fsstats v1.4.5 (03/22/2008)
#Comment: This is a comment line that can be modified or repeated before
#uploading to record voluntarily added information.

skipped special files,0
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,361.61 GB
total user data,307.52 GB
percent overhead,0.149587

histogram,file size
count,47753,items
average,6752.506658,KB
min,0,KB
max,1297091,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,2288,0.047913,0.047913,1286.877930,0.000004,0.000004
2,4,825,0.017276,0.065190,2312.021484,0.000007,0.000011
4,8,828,0.017339,0.082529,4726.166016,0.000015,0.000026
8,16,29158,0.610600,0.693129,380114.335938,0.001179,0.001205
16,32,3205,0.067116,0.760245,64430.250977,0.000200,0.001404
32,64,32,0.000670,0.760916,1202.557617,0.000004,0.001408
64,128,34,0.000712,0.761628,3090.498047,0.000010,0.001418
128,256,3,0.000063,0.761690,599.675781,0.000002,0.001420
256,512,2,0.000042,0.761732,548.469727,0.000002,0.001421
512,1024,578,0.012104,0.773836,521683.986328,0.001618,0.003039
1024,2048,1720,0.036019,0.809855,2483895.224609,0.007703,0.010742
2048,4096,1533,0.032103,0.841958,4260317.762695,0.013212,0.023955
4096,8192,1521,0.031851,0.873809,10174811.739258,0.031554,0.055509
8192,16384,2726,0.057085,0.930894,27790618.683594,0.086185,0.141694
16384,32768,11,0.000230,0.931125,248361.659180,0.000770,0.142464
32768,65536,1256,0.026302,0.957427,70008740.935547,0.217113,0.359578
65536,131072,1945,0.040730,0.998157,157337358.255859,0.487940,0.847518
131072,262144,4,0.000084,0.998241,884587.183594,0.002743,0.850261
262144,524288,40,0.000838,0.999079,15504905.936523,0.048084,0.898345
524288,1048576,38,0.000796,0.999874,25859051.418945,0.080195,0.978540
1048576,2097152,6,0.000126,1.000000,6919806.808594,0.021460,1.000000

histogram,capacity used
count,47753,items
average,7940.109763,KB
min,1,KB
max,1514257,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,31,0.000649,0.000649,46.500000,0.000000,0.000000
16,32,3910,0.081880,0.082529,99705.000000,0.000263,0.000263
32,64,29158,0.610600,0.693129,1443321.000000,0.003807,0.004070
64,128,3229,0.067619,0.760748,243667.500000,0.000643,0.004712
128,256,15,0.000314,0.761062,2974.500000,0.000008,0.004720
256,512,30,0.000628,0.761690,9557.000000,0.000025,0.004745
512,1024,33,0.000691,0.762381,32265.500000,0.000085,0.004830
1024,2048,1638,0.034302,0.796683,2299777.000000,0.006065,0.010896
2048,4096,1765,0.036961,0.833644,4849615.500000,0.012790,0.023686
4096,8192,958,0.020062,0.853706,5314621.000000,0.014017,0.037703
8192,16384,3682,0.077105,0.930811,41326283.000000,0.108993,0.146696
16384,32768,15,0.000314,0.931125,362870.500000,0.000957,0.147653
32768,65536,481,0.010073,0.941197,27436273.500000,0.072360,0.220013
65536,131072,2720,0.056960,0.998157,238332552.000000,0.628574,0.848587
131072,262144,2,0.000042,0.998199,505035.000000,0.001332,0.849919
262144,524288,31,0.000649,0.998848,12553902.500000,0.033109,0.883028
524288,1048576,49,0.001026,0.999874,36273233.500000,0.095666,0.978694
1048576,2097152,6,0.000126,1.000000,8078361.000000,0.021306,1.000000

histogram,positive overhead
count,47783,items
average,1187.023536,KB
min,1,KB
max,217166,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,2303,0.048197,0.048197,56546.617188,0.000997,0.000997
2,4,827,0.017307,0.065504,18770.615234,0.000331,0.001328
4,8,828,0.017328,0.082833,16387.833984,0.000289,0.001617
8,16,29158,0.610217,0.693050,1063206.664062,0.018745,0.020362
16,32,3207,0.067116,0.760166,176647.059570,0.003114,0.023476
32,64,33,0.000691,0.760856,3400.808594,0.000060,0.023536
64,128,35,0.000732,0.761589,7294.035156,0.000129,0.023665
128,256,12,0.000251,0.761840,7190.033203,0.000127,0.023792
256,512,2,0.000042,0.761882,526.530273,0.000009,0.023801
512,1024,578,0.012096,0.773978,152967.013672,0.002697,0.026498
1024,2048,1720,0.035996,0.809974,640628.775391,0.011295,0.037792
2048,4096,1533,0.032083,0.842057,939421.737305,0.016563,0.054355
4096,8192,1521,0.031831,0.873888,1892205.760742,0.033361,0.087716
8192,16384,2726,0.057050,0.930938,5036310.316406,0.088793,0.176509
16384,32768,11,0.000230,0.931168,43134.840820,0.000760,0.177269
32768,65536,1256,0.026285,0.957453,11865071.064453,0.209188,0.386458
65536,131072,1945,0.040705,0.998158,26557655.244141,0.468228,0.854685
131072,262144,4,0.000084,0.998242,148690.816406,0.002622,0.857307
262144,524288,40,0.000837,0.999079,2601034.063477,0.045858,0.903165
524288,1048576,38,0.000795,0.999874,4333901.581055,0.076409,0.979574
1048576,2097152,6,0.000126,1.000000,1158554.191406,0.020426,1.000000

histogram,negative overhead
count,0,items
average,0.000000,KB
min,0,KB
max,0,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct

histogram,directory size (entries)
count,29,items
average,1647.655172,ents
min,0,ents
max,5008,ents
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,1,5,0.172414,0.172414,4.000000,0.000084,0.000084
2,3,1,0.034483,0.206897,3.000000,0.000063,0.000146
8,15,4,0.137931,0.344828,43.000000,0.000900,0.001046
16,31,4,0.137931,0.482759,90.000000,0.001884,0.002930
32,63,2,0.068966,0.551724,116.000000,0.002428,0.005358
512,1023,2,0.068966,0.620690,1654.000000,0.034616,0.039973
