#Generated by fsstats v1.4.5 (03/22/2008)
#Comment: This is a comment line that can be modified or repeated before
#uploading to record voluntarily added information.

skipped special files,0
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,274.41 GB
total user data,233.12 GB
percent overhead,0.150486

histogram,file size
count,36139,items
average,6763.884238,KB
min,0,KB
max,84158,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,1667,0.046127,0.046127,198.363281,0.000001,0.000001
2,4,3,0.000083,0.046210,7.350586,0.000000,0.000001
4,8,801,0.022164,0.068375,3774.971680,0.000015,0.000016
8,16,20819,0.576081,0.644456,267407.363281,0.001094,0.001110
16,32,7,0.000194,0.644650,195.021484,0.000001,0.001111
64,128,195,0.005396,0.650046,19381.235352,0.000079,0.001190
128,256,605,0.016741,0.666787,115780.383789,0.000474,0.001664
512,1024,350,0.009685,0.676471,300808.999023,0.001231,0.002895
1024,2048,1468,0.040621,0.717092,2105768.406250,0.008615,0.011509
2048,4096,4264,0.117989,0.835081,11804211.482422,0.048291,0.059800
4096,8192,340,0.009408,0.844489,1688277.035156,0.006907,0.066707
8192,16384,2818,0.077977,0.922466,35643395.932617,0.145817,0.212523
16384,32768,5,0.000138,0.922604,130079.088867,0.000532,0.213055
32768,65536,983,0.027201,0.949805,58931296.036133,0.241087,0.454142
65536,131072,1814,0.050195,1.000000,133429430.792969,0.545858,1.000000

histogram,capacity used
count,36139,items
average,7961.899126,KB
min,1,KB
max,98337,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,10,0.000277,0.000277,15.000000,0.000000,0.000000
16,32,2461,0.068098,0.068375,62755.500000,0.000218,0.000218
32,64,20819,0.576081,0.644456,1030540.500000,0.003582,0.003800
64,128,7,0.000194,0.644650,682.500000,0.000002,0.003802
128,256,15,0.000415,0.645065,3574.500000,0.000012,0.003815
256,512,785,0.021722,0.666787,331121.500000,0.001151,0.004965
512,1024,48,0.001328,0.668115,47360.000000,0.000165,0.005130
1024,2048,1418,0.039237,0.707352,2169503.000000,0.007540,0.012670
2048,4096,4556,0.126069,0.833421,14716122.000000,0.051145,0.063815
4096,8192,400,0.011068,0.844489,2298168.000000,0.007987,0.071802
8192,16384,2154,0.059603,0.904093,30828415.000000,0.107142,0.178943
