#Generated by fsstats v1.4.5 (03/22/2008)
#Comment: This is a comment line that can be modified or repeated before
#uploading to record voluntarily added information.

skipped special files,0
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,278.76 GB
total user data,236.46 GB
percent overhead,0.151745

histogram,file size
count,50090,items
average,4950.055060,KB
min,0,KB
max,886534,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,4525,0.090337,0.090337,1417.324219,0.000006,0.000006
2,4,580,0.011579,0.101917,1536.211914,0.000006,0.000012
4,8,1022,0.020403,0.122320,5574.791992,0.000022,0.000034
8,16,28418,0.567339,0.689659,368072.027344,0.001484,0.001519
16,32,2167,0.043262,0.732921,39746.648438,0.000160,0.001679
32,64,34,0.000679,0.733600,1911.479492,0.000008,0.001687
64,128,12,0.000240,0.733839,1037.629883,0.000004,0.001691
128,256,4,0.000080,0.733919,736.982422,0.000003,0.001694
256,512,2,0.000040,0.733959,703.600586,0.000003,0.001697
512,1024,1651,0.032961,0.766920,1375952.397461,0.005549,0.007246
1024,2048,1987,0.039669,0.806588,3004249.542969,0.012116,0.019363
2048,4096,1582,0.031583,0.838171,4048459.879883,0.016328,0.035691
4096,8192,4747,0.094769,0.932941,32150111.914062,0.129665,0.165355
8192,16384,43,0.000858,0.933799,384327.815430,0.001550,0.166905
16384,32768,9,0.000180,0.933979,205813.235352,0.000830,0.167735
32768,65536,3215,0.064184,0.998163,170791112.754883,0.688818,0.856553
65536,131072,5,0.000100,0.998263,403955.523438,0.001629,0.858182
131072,262144,22,0.000439,0.998702,4531846.890625,0.018277,0.876459
262144,524288,46,0.000918,0.999621,17890775.588867,0.072155,0.948615
524288,1048576,19,0.000379,1.000000,12740915.736328,0.051385,1.000000

histogram,capacity used
count,50090,items
average,5835.418147,KB
min,1,KB
max,1035009,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,274,0.005470,0.005470,411.000000,0.000001,0.000001
16,32,5853,0.116850,0.122320,149251.500000,0.000511,0.000512
32,64,28418,0.567339,0.689659,1406691.000000,0.004813,0.005325
64,128,2169,0.043302,0.732961,159685.500000,0.000546,0.005871
128,256,38,0.000759,0.733719,7425.000000,0.000025,0.005896
256,512,10,0.000200,0.733919,3687.000000,0.000013,0.005909
512,1024,415,0.008285,0.742204,412326.500000,0.001411,0.007320
1024,2048,2737,0.054642,0.796846,4064473.500000,0.013905,0.021225
2048,4096,2050,0.040926,0.837772,5885187.000000,0.020134,0.041359
4096,8192,1395,0.027850,0.865622,9172796.500000,0.031382,0.072741
8192,16384,3415,0.068177,0.933799,29479170.500000,0.100854,0.173595
16384,32768,7,0.000140,0.933939,175010.500000,0.000599,0.174194
32768,65536,1487,0.029687,0.963625,81500878.500000,0.278830,0.453023
65536,131072,1734,0.034618,0.998243,118678713.000000,0.406022,0.859046
131072,262144,22,0.000439,0.998682,5154969.000000,0.017636,0.876682
262144,524288,37,0.000739,0.999421,15311047.500000,0.052382,0.929064
524288,1048576,29,0.000579,1.000000,20734371.500000,0.070936,1.000000

histogram,positive overhead
count,50139,items
average,884.661194,KB
min,1,KB
max,148474,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,4552,0.090788,0.090788,107690.116211,0.002428,0.002428
