#Generated by fsstats v1.4.5 (03/22/2008)
#Comment: This is a comment line that can be modified or repeated before
#uploading to record voluntarily added information.

skipped special files,0
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,1.03 TB
total user data,900.42 GB
percent overhead,0.145779

histogram,file size
count,56686,items
average,16655.931621,KB
min,0,KB
max,2740584,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,4028,0.071058,0.071058,1297.001953,0.000001,0.000001
2,4,815,0.014377,0.085436,2878.644531,0.000003,0.000004
4,8,828,0.014607,0.100042,4721.687500,0.000005,0.000009
8,16,37029,0.653230,0.753272,480659.887695,0.000509,0.000519
16,32,2403,0.042391,0.795664,48774.895508,0.000052,0.000570
32,64,5,0.000088,0.795752,287.049805,0.000000,0.000570
64,128,19,0.000335,0.796087,1705.636719,0.000002,0.000572
128,256,4,0.000071,0.796158,761.740234,0.000001,0.000573
256,512,142,0.002505,0.798663,46283.483398,0.000049,0.000622
512,1024,55,0.000970,0.799633,37815.998047,0.000040,0.000662
1024,2048,10,0.000176,0.799809,16908.829102,0.000018,0.000680
2048,4096,1625,0.028667,0.828476,4382578.848633,0.004642,0.005322
4096,8192,1596,0.028155,0.856631,8083577.172852,0.008562,0.013884
8192,16384,830,0.014642,0.871273,9257852.935547,0.009805,0.023689
16384,32768,3992,0.070423,0.941696,93951416.731445,0.099508,0.123197
32768,65536,8,0.000141,0.941837,288729.578125,0.000306,0.123503
65536,131072,13,0.000229,0.942067,1240560.829102,0.001314,0.124817
131072,262144,3196,0.056381,0.998448,711160992.858398,0.753222,0.878039
524288,1048576,31,0.000547,0.998994,23567085.695312,0.024961,0.903000
1048576,2097152,49,0.000864,0.999859,70321256.930664,0.074480,0.977480
2097152,4194304,8,0.000141,1.000000,21261993.436523,0.022520,1.000000

histogram,capacity used
count,56686,items
average,19498.212275,KB
min,1,KB
max,3200049,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,36,0.000635,0.000635,54.000000,0.000000,0.000000
16,32,5635,0.099407,0.100042,143692.500000,0.000130,0.000130
32,64,37029,0.653230,0.753272,1832935.500000,0.001658,0.001788
64,128,2403,0.042391,0.795664,176668.500000,0.000160,0.001948
128,256,11,0.000194,0.795858,2296.500000,0.000002,0.001950
256,512,17,0.000300,0.796158,5809.500000,0.000005,0.001956
512,1024,189,0.003334,0.799492,126099.500000,0.000114,0.002070
1024,2048,11,0.000194,0.799686,14408.500000,0.000013,0.002083
2048,4096,1620,0.028578,0.828264,5231078.000000,0.004733,0.006816
4096,8192,1605,0.028314,0.856578,9764911.500000,0.008835,0.015650
8192,16384,823,0.014519,0.871097,10753010.500000,0.009729,0.025379
16384,32768,4001,0.070582,0.941679,110313585.500000,0.099806,0.125186
32768,65536,9,0.000159,0.941837,373029.500000,0.000337,0.125523
65536,131072,8,0.000141,0.941979,745452.000000,0.000674,0.126198
131072,262144,1053,0.018576,0.960555,222730219.500000,0.201516,0.327713
262144,524288,2148,0.037893,0.998448,608622486.000000,0.550652,0.878365
524288,1048576,24,0.000423,0.998871,19245172.000000,0.017412,0.895777
1048576,2097152,40,0.000706,0.999577,54471124.000000,0.049283,0.945060
2097152,4194304,24,0.000423,1.000000,60723628.000000,0.054940,1.000000

histogram,positive overhead
count,56714,items
average,2841.049239,KB
min,1,KB
max,459465,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,4041,0.071252,0.071252,100711.482422,0.000625,0.000625
2,4,816,0.014388,0.085640,17926.327148,0.000111,0.000736
4,8,829,0.014617,0.100257,16434.825195,0.000102,0.000838
8,16,37029,0.652908,0.753165,1352275.612305,0.008393,0.009231
16,32,2405,0.042406,0.795571,128219.415039,0.000796,0.010027
32,64,6,0.000106,0.795677,939.816406,0.000006,0.010032
64,128,20,0.000353,0.796029,4312.396484,0.000027,0.010059
128,256,13,0.000229,0.796258,9295.500000,0.000058,0.010117
256,512,142,0.002504,0.798762,37313.516602,0.000232,0.010349
512,1024,55,0.000970,0.799732,14346.501953,0.000089,0.010438
1024,2048,10,0.000176,0.799908,4634.170898,0.000029,0.010466
2048,4096,1625,0.028653,0.828561,884290.651367,0.005488,0.015954
4096,8192,1596,0.028141,0.856702,1656464.827148,0.010280,0.026235
8192,16384,830,0.014635,0.871337,1653952.064453,0.010265,0.036500
16384,32768,3992,0.070388,0.941725,16210835.268555,0.100609,0.137109
32768,65536,8,0.000141,0.941866,49122.421875,0.000305,0.137414
65536,131072,13,0.000229,0.942095,208658.670898,0.001295,0.138709
131072,262144,3196,0.056353,0.998448,119487945.141602,0.741575,0.880284
524288,1048576,31,0.000547,0.998995,3949496.804688,0.024512,0.904795
1048576,2097152,49,0.000864,0.999859,11778600.569336,0.073101,0.977896
2097152,4194304,8,0.000141,1.000000,3561490.563477,0.022104,1.000000

histogram,negative overhead
count,0,items
average,0.000000,KB
min,0,KB
max,0,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct

histogram,directory size (entries)
count,27,items
average,2100.481481,ents
min,0,ents
max,5600,ents
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,1,3,0.111111,0.111111,2.000000,0.000035,0.000035
2,3,2,0.074074,0.185185,5.000000,0.000088,0.000123
