#Generated by fsstats v1.4.5 (03/22/2008)
#Comment: This is a comment line that can be modified or repeated before
#uploading to record voluntarily added information.

skipped special files,0
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,728.33 GB
total user data,621.83 GB
percent overhead,0.146217

histogram,file size
count,45512,items
average,14326.726087,KB
min,0,KB
max,11965855,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,2388,0.052470,0.052470,1288.133789,0.000002,0.000002
2,4,72,0.001582,0.054052,202.000977,0.000000,0.000002
4,8,819,0.017995,0.072047,4672.026367,0.000007,0.000009
8,16,28044,0.616189,0.688236,363475.296875,0.000557,0.000567
16,32,2798,0.061478,0.749714,51375.638672,0.000079,0.000646
32,64,5,0.000110,0.749824,252.977539,0.000000,0.000646
64,128,17,0.000374,0.750198,1592.600586,0.000002,0.000649
128,256,6,0.000132,0.750330,1066.133789,0.000002,0.000650
256,512,3,0.000066,0.750396,1032.422852,0.000002,0.000652
512,1024,190,0.004175,0.754570,167391.462891,0.000257,0.000908
1024,2048,625,0.013733,0.768303,1115595.528320,0.001711,0.002619
2048,4096,1667,0.036628,0.804931,4742294.606445,0.007273,0.009892
4096,8192,1828,0.040165,0.845096,10685284.217773,0.016388,0.026280
8192,16384,584,0.012832,0.857928,6934919.964844,0.010636,0.036916
16384,32768,3174,0.069740,0.927667,61373541.897461,0.094126,0.131041
32768,65536,347,0.007624,0.935292,19261292.965820,0.029540,0.160582
65536,131072,896,0.019687,0.954979,94633920.069336,0.145136,0.305717
131072,262144,1965,0.043175,0.998154,302546470.361328,0.464001,0.769718
262144,524288,13,0.000286,0.998440,5644664.154297,0.008657,0.778375
524288,1048576,35,0.000769,0.999209,25287059.375000,0.038782,0.817157
1048576,2097152,27,0.000593,0.999802,37274704.630859,0.057166,0.874323
2097152,4194304,1,0.000022,0.999824,2307186.678711,0.003538,0.877862
4194304,8388608,1,0.000022,0.999846,4512716.865234,0.006921,0.884783
8388608,16777216,7,0.000154,1.000000,75125957.656250,0.115217,1.000000

histogram,capacity used
count,45512,items
