#Generated by fsstats v1.4.5 (03/22/2008)
#Comment: This is a comment line that can be modified or repeated before
#uploading to record voluntarily added information.

skipped special files,0
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,711.26 GB
total user data,607.11 GB
percent overhead,0.146426

histogram,file size
count,47285,items
average,13463.074982,KB
min,0,KB
max,11848993,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,2495,0.052765,0.052765,1249.478516,0.000002,0.000002
2,4,810,0.017130,0.069895,2290.857422,0.000004,0.000006
4,8,826,0.017469,0.087364,4712.817383,0.000007,0.000013
8,16,28836,0.609834,0.697198,374710.037109,0.000589,0.000602
16,32,2920,0.061753,0.758951,59275.721680,0.000093,0.000695
32,64,8,0.000169,0.759120,330.583008,0.000001,0.000695
64,128,19,0.000402,0.759522,1702.182617,0.000003,0.000698
128,256,2,0.000042,0.759564,305.573242,0.000000,0.000698
256,512,2,0.000042,0.759607,619.481445,0.000001,0.000699
512,1024,108,0.002284,0.761891,97916.879883,0.000154,0.000853
1024,2048,889,0.018801,0.780692,1573654.459961,0.002472,0.003325
2048,4096,1823,0.038553,0.819245,5553959.067383,0.008724,0.012049
4096,8192,1330,0.028127,0.847372,7871041.107422,0.012364,0.024414
8192,16384,1235,0.026118,0.873491,16096055.598633,0.025284,0.049698
16384,32768,2678,0.056635,0.930126,50350343.118164,0.079092,0.128790
32768,65536,206,0.004357,0.934482,11315293.861328,0.017775,0.146565
65536,131072,1324,0.028000,0.962483,137713838.860352,0.216327,0.362892
131072,262144,1684,0.035614,0.998097,251318923.633789,0.394782,0.757674
262144,524288,13,0.000275,0.998372,6149266.951172,0.009660,0.767333
524288,1048576,45,0.000952,0.999323,34949078.496094,0.054899,0.822233
1048576,2097152,23,0.000486,0.999810,34304749.181641,0.053887,0.876120
2097152,4194304,1,0.000021,0.999831,2251386.526367,0.003537,0.879657
4194304,8388608,1,0.000021,0.999852,4817914.382812,0.007568,0.887225
8388608,16777216,7,0.000148,1.000000,71792881.643555,0.112775,1.000000

histogram,capacity used
count,47285,items
average,15772.435223,KB
min,1,KB
max,13827641,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,67,0.001417,0.001417,100.500000,0.000000,0.000000
16,32,4064,0.085947,0.087364,103632.000000,0.000139,0.000139
32,64,28836,0.609834,0.697198,1427382.000000,0.001914,0.002053
64,128,2924,0.061838,0.759036,222282.000000,0.000298,0.002351
128,256,9,0.000190,0.759226,1765.500000,0.000002,0.002353
256,512,16,0.000338,0.759564,5144.000000,0.000007,0.002360
512,1024,11,0.000233,0.759797,9928.500000,0.000013,0.002374
1024,2048,243,0.005139,0.764936,338716.500000,0.000454,0.002828
2048,4096,1680,0.035529,0.800465,4535616.000000,0.006082,0.008909
4096,8192,1755,0.037115,0.837581,9306864.500000,0.012479,0.021388
8192,16384,1037,0.021931,0.859511,10953475.500000,0.014687,0.036075
16384,32768,3336,0.070551,0.930062,71110780.000000,0.095348,0.131424
32768,65536,108,0.002284,0.932346,6038994.000000,0.008097,0.139521
65536,131072,954,0.020176,0.952522,100066655.000000,0.134174,0.273695
131072,262144,2151,0.045490,0.998012,360435474.500000,0.483287,0.756982
262144,524288,6,0.000127,0.998139,2088457.000000,0.002800,0.759782
524288,1048576,47,0.000994,0.999133,36895302.500000,0.049471,0.809253
1048576,2097152,27,0.000571,0.999704,38630448.500000,0.051797,0.861050
2097152,4194304,6,0.000127,0.999831,14224041.000000,0.019072,0.880123
4194304,8388608,1,0.000021,0.999852,5622481.500000,0.007539,0.887661
8388608,16777216,7,0.000148,1.000000,83782058.500000,0.112339,1.000000

histogram,positive overhead
count,47309,items
average,2308.705882,KB
min,1,KB
max,1978647,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,2507,0.052992,0.052992,60946.117188,0.000558,0.000558
2,4,811,0.017143,0.070135,18387.000000,0.000168,0.000726
4,8,826,0.017460,0.087594,16350.182617,0.000150,0.000876
