#Generated by fsstats v1.4.5 (03/22/2008)
#Comment: This is a comment line that can be modified or repeated before
#uploading to record voluntarily added information.

skipped special files,0
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,425.39 GB
total user data,362.26 GB
percent overhead,0.148386

histogram,file size
count,47749,items
average,7955.345270,KB
min,0,KB
max,1449664,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,2291,0.047980,0.047980,1288.131836,0.000003,0.000003
2,4,824,0.017257,0.065237,2391.790039,0.000006,0.000010
4,8,826,0.017299,0.082536,4703.544922,0.000012,0.000022
8,16,29130,0.610065,0.692601,379180.061523,0.000998,0.001020
16,32,3242,0.067897,0.760498,64974.529297,0.000171,0.001191
32,64,12,0.000251,0.760749,671.535156,0.000002,0.001193
64,128,20,0.000419,0.761168,1628.906250,0.000004,0.001197
128,256,3,0.000063,0.761231,599.321289,0.000002,0.001199
256,512,1,0.000021,0.761252,274.048828,0.000001,0.001200
512,1024,209,0.004377,0.765629,157617.972656,0.000415,0.001615
1024,2048,1623,0.033990,0.799619,2232342.312500,0.005877,0.007491
2048,4096,1649,0.034535,0.834154,4455946.715820,0.011731,0.019222
4096,8192,1134,0.023749,0.857903,6291994.436523,0.016564,0.035786
8192,16384,3462,0.072504,0.930407,39875330.968750,0.104974,0.140760
16384,32768,9,0.000188,0.930595,168722.426758,0.000444,0.141204
32768,65536,709,0.014848,0.945444,38227395.454102,0.100636,0.241839
65536,131072,2517,0.052713,0.998157,227138729.990234,0.597954,0.839794
131072,262144,2,0.000042,0.998199,377675.476562,0.000994,0.840788
262144,524288,20,0.000419,0.998618,7100727.209961,0.018693,0.859481
524288,1048576,59,0.001236,0.999853,43618372.268555,0.114828,0.974308
1048576,2097152,7,0.000147,1.000000,9759214.201172,0.025692,1.000000

histogram,capacity used
count,47749,items
average,9341.335892,KB
min,1,KB
max,1692177,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,32,0.000670,0.000670,48.000000,0.000000,0.000000
16,32,3909,0.081866,0.082536,99679.500000,0.000223,0.000224
32,64,29130,0.610065,0.692601,1441935.000000,0.003233,0.003456
64,128,3242,0.067897,0.760498,243951.000000,0.000547,0.004003
128,256,25,0.000524,0.761021,5101.500000,0.000011,0.004015
256,512,10,0.000209,0.761231,3599.000000,0.000008,0.004023
512,1024,109,0.002283,0.763513,103803.500000,0.000233,0.004255
1024,2048,1621,0.033948,0.797462,2582503.500000,0.005790,0.010045
2048,4096,1609,0.033697,0.831159,4925549.500000,0.011043,0.021088
4096,8192,1211,0.025362,0.856521,7609688.500000,0.017061,0.038149
8192,16384,3524,0.073803,0.930323,47579534.000000,0.106671,0.144820
16384,32768,13,0.000272,0.930595,264099.500000,0.000592,0.145412
32768,65536,412,0.008628,0.939224,23269642.000000,0.052169,0.197581
65536,131072,2814,0.058933,0.998157,286875237.000000,0.643161,0.840743
131072,262144,2,0.000042,0.998199,440803.000000,0.000988,0.841731
262144,524288,18,0.000377,0.998576,7140339.000000,0.016008,0.857739
524288,1048576,47,0.000984,0.999560,35941438.500000,0.080579,0.938318
1048576,2097152,21,0.000440,1.000000,27512495.500000,0.061682,1.000000

histogram,positive overhead
count,47779,items
average,1385.284948,KB
min,1,KB
max,242512,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,2307,0.048285,0.048285,56597.352539,0.000855,0.000855
2,4,825,0.017267,0.065552,18642.672852,0.000282,0.001137
4,8,826,0.017288,0.082840,16359.455078,0.000247,0.001384
8,16,29130,0.609682,0.692522,1062754.938477,0.016057,0.017441
16,32,3244,0.067896,0.760418,179302.281250,0.002709,0.020150
32,64,13,0.000272,0.760690,1861.813477,0.000028,0.020178
64,128,21,0.000440,0.761129,4054.626953,0.000061,0.020239
