#Generated by fsstats v1.4.5 (03/22/2008)
#Comment: This is a comment line that can be modified or repeated before
#uploading to record voluntarily added information.

skipped special files,0
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,302.79 GB
total user data,257.34 GB
percent overhead,0.150085

histogram,file size
count,33268,items
average,8111.152717,KB
min,0,KB
max,1366649,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,11569,0.347752,0.347752,3674.479492,0.000014,0.000014
2,4,2359,0.070909,0.418661,6955.583008,0.000026,0.000039
4,8,18,0.000541,0.419202,121.588867,0.000000,0.000040
8,16,343,0.010310,0.429512,4687.524414,0.000017,0.000057
16,32,4696,0.141157,0.570669,90511.449219,0.000335,0.000393
32,64,18,0.000541,0.571210,714.310547,0.000003,0.000395
64,128,64,0.001924,0.573133,5687.615234,0.000021,0.000416
128,256,19,0.000571,0.573704,3463.833008,0.000013,0.000429
256,512,129,0.003878,0.577582,54674.934570,0.000203,0.000632
512,1024,248,0.007455,0.585037,212716.542969,0.000788,0.001420
1024,2048,3066,0.092161,0.677197,4398558.058594,0.016301,0.017721
2048,4096,1349,0.040549,0.717747,3283880.662109,0.012170,0.029890
4096,8192,272,0.008176,0.725923,1758735.083008,0.006518,0.036408
8192,16384,841,0.025280,0.751202,11794079.319336,0.043707,0.080115
16384,32768,7999,0.240441,0.991644,190045370.519531,0.704284,0.784400
32768,65536,201,0.006042,0.997685,7021608.832031,0.026021,0.810421
262144,524288,17,0.000511,0.998196,5640684.851562,0.020904,0.831325
524288,1048576,53,0.001593,0.999790,36806427.127930,0.136400,0.967725
1048576,2097152,7,0.000210,1.000000,8709276.267578,0.032275,1.000000

histogram,capacity used
count,33268,items
average,9543.331189,KB
min,1,KB
max,1595337,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,33,0.000992,0.000992,49.500000,0.000000,0.000000
16,32,13913,0.418210,0.419202,354781.500000,0.001117,0.001118
32,64,343,0.010310,0.429512,16978.500000,0.000053,0.001171
64,128,4706,0.141457,0.570969,346731.000000,0.001092,0.002263
128,256,29,0.000872,0.571841,6187.500000,0.000019,0.002283
256,512,62,0.001864,0.573704,21333.000000,0.000067,0.002350
512,1024,197,0.005922,0.579626,149231.500000,0.000470,0.002820
1024,2048,2349,0.070608,0.650234,3593507.500000,0.011319,0.014139
2048,4096,2193,0.065919,0.716154,5928201.500000,0.018672,0.032811
4096,8192,197,0.005922,0.722075,1220159.500000,0.003843,0.036654
8192,16384,395,0.011873,0.733949,4573480.500000,0.014405,0.051059
16384,32768,7638,0.229590,0.963539,200795849.000000,0.632453,0.683512
32768,65536,1136,0.034147,0.997685,40751080.000000,0.128355,0.811867
262144,524288,14,0.000421,0.998106,4785341.000000,0.015073,0.826939
524288,1048576,51,0.001533,0.999639,39263788.500000,0.123670,0.950610
1048576,2097152,12,0.000361,1.000000,15680842.000000,0.049390,1.000000

histogram,positive overhead
count,33286,items
average,1431.561877,KB
min,1,KB
max,228688,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,11581,0.347924,0.347924,290700.833008,0.006101,0.006101
2,4,2359,0.070871,0.418795,53198.916992,0.001116,0.007217
4,8,19,0.000571,0.419365,356.569336,0.000007,0.007225
8,16,343,0.010305,0.429670,12290.975586,0.000258,0.007482
16,32,4696,0.141080,0.570750,255004.550781,0.005352,0.012834
32,64,18,0.000541,0.571291,1664.689453,0.000035,0.012869
64,128,66,0.001983,0.573274,12934.832031,0.000271,0.013140
128,256,20,0.000601,0.573875,5626.137695,0.000118,0.013258
256,512,131,0.003936,0.577810,37672.902344,0.000791,0.014049
512,1024,248,0.007451,0.585261,67711.457031,0.001421,0.015470
1024,2048,3066,0.092111,0.677372,1098880.941406,0.023061,0.038531
2048,4096,1349,0.040528,0.717899,751726.837891,0.015776,0.054307
4096,8192,272,0.008172,0.726071,334008.916992,0.007009,0.061316
8192,16384,841,0.025266,0.751337,2095486.180664,0.043976,0.105292
16384,32768,7999,0.240311,0.991648,32859035.980469,0.689578,0.794869
32768,65536,201,0.006039,0.997687,1201084.667969,0.025206,0.820075
262144,524288,17,0.000511,0.998197,946900.648438,0.019872,0.839947
524288,1048576,53,0.001592,0.999790,6168204.372070,0.129446,0.969392
1048576,2097152,7,0.000210,1.000000,1458478.232422,0.030608,1.000000

histogram,negative overhead
count,0,items
average,0.000000,KB
min,0,KB
max,0,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct

histogram,directory size (entries)
count,17,items
average,1957.941176,ents
min,0,ents
max,14250,ents
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,1,4,0.235294,0.235294,3.000000,0.000090,0.000090
2,3,2,0.117647,0.352941,5.000000,0.000150,0.000240
8,15,1,0.058824,0.411765,10.000000,0.000300,0.000541
16,31,4,0.235294,0.647059,92.000000,0.002764,0.003305
64,127,1,0.058824,0.705882,119.000000,0.003575,0.006880
2048,4095,2,0.117647,0.823529,4716.000000,0.141685,0.148565
4096,8191,1,0.058824,0.882353,4700.000000,0.141205,0.289770
8192,16383,2,0.117647,1.000000,23640.000000,0.710230,1.000000

histogram,directory size
count,17,items
average,67.982939,KB
min,0,KB
max,502,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,11,0.647059,0.647059,4.123047,0.003568,0.003568
4,8,1,0.058824,0.705882,6.341797,0.005487,0.009055
64,128,2,0.117647,0.823529,172.552734,0.149305,0.158359
128,256,1,0.058824,0.882353,156.029297,0.135007,0.293367
256,512,2,0.117647,1.000000,816.663086,0.706633,1.000000

histogram,filename length
count,33286,items
average,17.556300,chars
min,4,chars
max,62,chars
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,7,14,0.000421,0.000421,85.000000,0.000145,0.000145
8,15,200,0.006009,0.006429,2542.000000,0.004350,0.004495
16,23,32913,0.988794,0.995223,576101.000000,0.985835,0.990330
24,31,41,0.001232,0.996455,1085.000000,0.001857,0.992187
32,39,55,0.001652,0.998107,1976.000000,0.003381,0.995568
40,47,62,0.001863,0.999970,2528.000000,0.004326,0.999894
56,63,1,0.000030,1.000000,62.000000,0.000106,1.000000

histogram,link count
count,33268,items
average,1.000000,links
min,1,links
max,1,links
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,1,33268,1.000000,1.000000,33268.000000,1.000000,1.000000

histogram,symlink target length
count,1,items
average,66.000000,chars
min,66,chars
max,66,chars
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
64,71,1,1.000000,1.000000,66.000000,1.000000,1.000000

relative symlink target pct,0.000000
absolute symlink target pct,1.000000
histogram,mtime (files)
count,33268,items
average,88.079010,days
min,29,days
max,260,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
16,32,1,0.000030,0.000030,29.356169,0.000010,0.000010
32,64,14280,0.429241,0.429271,623133.874028,0.212658,0.212668
64,128,18973,0.570308,0.999579,2303832.927778,0.786234,0.998902
128,256,6,0.000180,0.999760,1135.323495,0.000387,0.999290
256,512,8,0.000240,1.000000,2081.007407,0.000710,1.000000

histogram,mtime (KB)
count,269841828,items
average,106.590135,days
min,29,days
max,260,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
16,32,0,0.000000,0.000000,14.850093,0.000000,0.000000
32,64,51648269,0.191402,0.191402,2260821919.495304,0.078603,0.078603
64,128,218193538,0.808598,1.000000,26501650580.964550,0.921397,1.000000
128,256,16,0.000000,1.000000,3656.230654,0.000000,1.000000
256,512,2,0.000000,1.000000,741.765336,0.000000,1.000000

histogram,ctime (files)
count,33268,items
average,88.032589,days
min,29,days
max,125,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
16,32,1,0.000030,0.000030,29.356169,0.000010,0.000010
32,64,14281,0.429271,0.429301,623178.057396,0.212785,0.212796
64,128,18986,0.570699,1.000000,2305460.756863,0.787204,1.000000

histogram,ctime (KB)
count,269841828,items
average,106.590008,days
min,29,days
max,125,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
16,32,0,0.000000,0.000000,14.850093,0.000000,0.000000
32,64,51648270,0.191402,0.191402,2260821879.612380,0.078603,0.078603
64,128,218193557,0.808598,1.000000,26501620867.228107,0.921397,1.000000

histogram,atime (files)
count,33268,items
average,88.079010,days
min,29,days
max,260,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
16,32,1,0.000030,0.000030,29.356169,0.000010,0.000010
32,64,14280,0.429241,0.429271,623133.874028,0.212658,0.212668
64,128,18973,0.570308,0.999579,2303832.927778,0.786234,0.998902
128,256,6,0.000180,0.999760,1135.323495,0.000387,0.999290
256,512,8,0.000240,1.000000,2081.007407,0.000710,1.000000

histogram,atime (KB)
count,269841828,items
average,106.590135,days
min,29,days
max,260,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
16,32,0,0.000000,0.000000,14.850093,0.000000,0.000000
32,64,51648269,0.191402,0.191402,2260821919.495304,0.078603,0.078603
64,128,218193538,0.808598,1.000000,26501650580.964550,0.921397,1.000000
128,256,16,0.000000,1.000000,3656.230654,0.000000,1.000000
256,512,2,0.000000,1.000000,741.765336,0.000000,1.000000

