#Generated by fsstats v1.4.5 (03/22/2008)
#Comment: This is a comment line that can be modified or repeated before
#uploading to record voluntarily added information.

skipped special files,0
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,2.16 TB
total user data,1.85 TB
percent overhead,0.146563

histogram,file size
count,163546,items
average,12125.053696,KB
min,0,KB
max,2489887,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,7975,0.048763,0.048763,3768.843750,0.000002,0.000002
2,4,96,0.000587,0.049350,314.704102,0.000000,0.000002
4,8,2641,0.016148,0.065498,14288.727539,0.000007,0.000009
8,16,121897,0.745338,0.810836,1579967.340820,0.000797,0.000806
16,32,3855,0.023571,0.834407,93806.032227,0.000047,0.000853
32,64,2587,0.015818,0.850226,134232.484375,0.000068,0.000921
64,128,39,0.000238,0.850464,3265.821289,0.000002,0.000923
128,256,19,0.000116,0.850580,3586.181641,0.000002,0.000924
256,512,3,0.000018,0.850599,881.254883,0.000000,0.000925
512,1024,283,0.001730,0.852329,265942.648438,0.000134,0.001059
1024,2048,3477,0.021260,0.873589,6241546.695312,0.003148,0.004207
2048,4096,4302,0.026305,0.899894,14593638.334961,0.007359,0.011566
4096,8192,1153,0.007050,0.906944,8216548.791016,0.004143,0.015709
8192,16384,8046,0.049197,0.956141,115304697.010742,0.058146,0.073856
16384,32768,457,0.002794,0.958935,7708706.436523,0.003887,0.077743
32768,65536,50,0.000306,0.959241,3068514.944336,0.001547,0.079291
65536,131072,1090,0.006665,0.965906,123883604.933594,0.062473,0.141763
131072,262144,3166,0.019358,0.985264,606522109.727539,0.305860,0.447624
262144,524288,2134,0.013048,0.998312,744495789.246094,0.375438,0.823062
524288,1048576,109,0.000666,0.998979,86700651.843750,0.043722,0.866784
1048576,2097152,142,0.000868,0.999847,205123340.121094,0.103441,0.970225
2097152,4194304,25,0.000153,1.000000,59044829.696289,0.029775,1.000000

histogram,capacity used
count,163546,items
average,14207.158445,KB
min,1,KB
max,2905841,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,72,0.000440,0.000440,108.000000,0.000000,0.000000
16,32,10641,0.065064,0.065505,271345.500000,0.000117,0.000117
32,64,121896,0.745332,0.810836,6033852.000000,0.002597,0.002714
64,128,3991,0.024403,0.835239,347410.500000,0.000150,0.002863
128,256,2472,0.015115,0.850354,422004.000000,0.000182,0.003045
256,512,37,0.000226,0.850580,14167.500000,0.000006,0.003051
512,1024,5,0.000031,0.850611,3495.500000,0.000002,0.003052
1024,2048,557,0.003406,0.854017,804811.500000,0.000346,0.003399
2048,4096,3820,0.023357,0.877374,9986506.000000,0.004298,0.007697
4096,8192,3979,0.024330,0.901703,17349584.500000,0.007467,0.015164
8192,16384,3167,0.019365,0.921068,39127502.500000,0.016840,0.032003
16384,32768,6191,0.037855,0.958923,113710918.500000,0.048939,0.080942
32768,65536,7,0.000043,0.958966,341194.500000,0.000147,0.081089
65536,131072,404,0.002470,0.961436,42059798.000000,0.018102,0.099191
131072,262144,3219,0.019683,0.981118,618099828.500000,0.266018,0.365209
262144,524288,2810,0.017182,0.998300,1064287759.000000,0.458049,0.823258
524288,1048576,65,0.000397,0.998698,49743689.500000,0.021409,0.844667
1048576,2097152,172,0.001052,0.999749,257008170.000000,0.110611,0.955278
2097152,4194304,41,0.000251,1.000000,103911789.500000,0.044722,1.000000

histogram,positive overhead
count,163597,items
average,2081.630706,KB
min,1,KB
max,415954,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,7998,0.048888,0.048888,198203.424805,0.000582,0.000582
2,4,98,0.000599,0.049487,2179.109375,0.000006,0.000588
4,8,2641,0.016143,0.065631,53056.772461,0.000156,0.000744
