#Generated by fsstats v1.4.5 (03/22/2008)
#Comment: This is a comment line that can be modified or repeated before
#uploading to record voluntarily added information.

skipped special files,0
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,972.75 GB
total user data,831.11 GB
percent overhead,0.145605

histogram,file size
count,55741,items
average,15634.542303,KB
min,0,KB
max,19457129,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,2061,0.036975,0.036975,1269.568359,0.000001,0.000001
2,4,13,0.000233,0.037208,31.391602,0.000000,0.000001
4,8,818,0.014675,0.051883,4663.071289,0.000005,0.000007
8,16,40029,0.718125,0.770008,518893.960938,0.000595,0.000602
16,32,1395,0.025026,0.795034,35529.658203,0.000041,0.000643
32,64,10,0.000179,0.795214,395.425781,0.000000,0.000643
64,128,15,0.000269,0.795483,1200.709961,0.000001,0.000645
128,256,4,0.000072,0.795554,663.267578,0.000001,0.000646
256,512,188,0.003373,0.798927,80684.625000,0.000093,0.000738
512,1024,224,0.004019,0.802946,181262.307617,0.000208,0.000946
1024,2048,735,0.013186,0.816132,1176922.743164,0.001350,0.002297
2048,4096,1826,0.032759,0.848890,5505730.029297,0.006318,0.008614
4096,8192,1199,0.021510,0.870401,6865213.153320,0.007878,0.016492
8192,16384,1723,0.030911,0.901311,21382000.711914,0.024535,0.041027
16384,32768,2303,0.041316,0.942628,57016433.139648,0.065424,0.106452
32768,65536,322,0.005777,0.948404,13556690.873047,0.015556,0.122007
65536,131072,532,0.009544,0.957948,62093593.575195,0.071250,0.193258
131072,262144,1133,0.020326,0.978275,201715712.282227,0.231462,0.424720
262144,524288,1154,0.020703,0.998977,320138012.385742,0.367348,0.792067
524288,1048576,19,0.000341,0.999318,16142752.900391,0.018523,0.810591
1048576,2097152,22,0.000395,0.999713,32430778.913086,0.037213,0.847804
2097152,4194304,9,0.000161,0.999874,21870617.602539,0.025096,0.872900
8388608,16777216,3,0.000054,0.999928,33377770.568359,0.038300,0.911200
16777216,33554432,4,0.000072,1.000000,77388199.653320,0.088800,1.000000

histogram,capacity used
count,55741,items
average,18298.775614,KB
min,1,KB
max,22683697,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,30,0.000538,0.000538,45.000000,0.000000,0.000000
16,32,2862,0.051345,0.051883,72981.000000,0.000072,0.000072
32,64,40029,0.718125,0.770008,1981435.500000,0.001943,0.002014
