#Generated by fsstats v1.4.5 (03/22/2008)
#Comment: This is a comment line that can be modified or repeated before
#uploading to record voluntarily added information.

skipped special files,0
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,366.47 GB
total user data,308.57 GB
percent overhead,0.157989

histogram,file size
count,85137,items
average,3800.417399,KB
min,0,KB
max,998945,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,5513,0.064754,0.064754,1452.822266,0.000004,0.000004
2,4,888,0.010430,0.075185,2979.180664,0.000009,0.000014
4,8,1024,0.012028,0.087212,5605.616211,0.000017,0.000031
8,16,45879,0.538884,0.626097,590271.703125,0.001824,0.001855
16,32,2683,0.031514,0.657611,65933.205078,0.000204,0.002059
32,64,404,0.004745,0.662356,23010.584961,0.000071,0.002130
64,128,132,0.001550,0.663906,10101.574219,0.000031,0.002161
128,256,29,0.000341,0.664247,5819.437500,0.000018,0.002179
256,512,45,0.000529,0.664776,17850.591797,0.000055,0.002235
512,1024,1811,0.021272,0.686047,1497157.268555,0.004627,0.006862
1024,2048,4990,0.058611,0.744659,8883381.976562,0.027455,0.034317
2048,4096,14232,0.167166,0.911824,32363391.606445,0.100024,0.134341
4096,8192,4251,0.049931,0.961756,28533021.908203,0.088186,0.222527
8192,16384,113,0.001327,0.963083,979511.176758,0.003027,0.225554
16384,32768,31,0.000364,0.963447,792834.170898,0.002450,0.228005
32768,65536,919,0.010794,0.974242,49015330.195312,0.151489,0.379494
65536,131072,2105,0.024725,0.998966,156994910.671875,0.485217,0.864711
131072,262144,12,0.000141,0.999107,2933275.500000,0.009066,0.873777
262144,524288,41,0.000482,0.999589,16204558.936523,0.050083,0.923859
524288,1048576,35,0.000411,1.000000,24635737.952148,0.076141,1.000000

histogram,capacity used
count,85137,items
average,4513.330297,KB
min,1,KB
max,1166113,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,1264,0.014847,0.014847,1896.000000,0.000005,0.000005
16,32,6161,0.072366,0.087212,157105.500000,0.000409,0.000414
32,64,45879,0.538884,0.626097,2271010.500000,0.005910,0.006324
64,128,2687,0.031561,0.657658,238942.500000,0.000622,0.006946
128,256,504,0.005920,0.663578,97956.000000,0.000255,0.007201
256,512,57,0.000670,0.664247,21829.500000,0.000057,0.007258
512,1024,657,0.007717,0.671964,625425.500000,0.001628,0.008885
1024,2048,2829,0.033229,0.705193,4154715.500000,0.010812,0.019698
2048,4096,16933,0.198891,0.904084,45778983.500000,0.119138,0.138836
4096,8192,2498,0.029341,0.933425,15847699.000000,0.041243,0.180079
8192,16384,2523,0.029635,0.963060,22144832.500000,0.057631,0.237710
16384,32768,21,0.000247,0.963306,533423.500000,0.001388,0.239098
32768,65536,638,0.007494,0.970800,37049733.000000,0.096421,0.335519
65536,131072,2398,0.028166,0.998966,204216029.000000,0.531465,0.866983
131072,262144,2,0.000023,0.998990,512699.000000,0.001334,0.868318
262144,524288,43,0.000505,0.999495,17337944.500000,0.045121,0.913439
524288,1048576,37,0.000435,0.999930,26612767.500000,0.069259,0.982698
1048576,2097152,6,0.000070,1.000000,6648409.000000,0.017302,1.000000

histogram,positive overhead
count,85179,items
average,712.737516,KB
min,1,KB
max,167167,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,5531,0.064934,0.064934,109006.866211,0.001796,0.001796
2,4,890,0.010449,0.075382,19710.541992,0.000325,0.002120
4,8,1024,0.012022,0.087404,20506.383789,0.000338,0.002458
8,16,45880,0.538630,0.626035,1680800.546875,0.027686,0.030144
16,32,2685,0.031522,0.657556,172849.105469,0.002847,0.032991
32,64,405,0.004755,0.662311,53070.781250,0.000874,0.033865
64,128,141,0.001655,0.663966,26733.771484,0.000440,0.034305
128,256,38,0.000446,0.664413,15891.302734,0.000262,0.034567
256,512,45,0.000528,0.664941,11800.908203,0.000194,0.034761
512,1024,1811,0.021261,0.686202,477999.231445,0.007873,0.042635
1024,2048,4990,0.058583,0.744785,2301975.023438,0.037917,0.080552
2048,4096,14232,0.167083,0.911868,7913412.393555,0.130347,0.210899
4096,8192,4251,0.049907,0.961775,5423410.591797,0.089333,0.300232
8192,16384,113,0.001327,0.963101,184154.323242,0.003033,0.303265
16384,32768,31,0.000364,0.963465,135844.329102,0.002238,0.305503
32768,65536,919,0.010789,0.974254,8306488.304688,0.136822,0.442325
65536,131072,2105,0.024713,0.998967,26518366.828125,0.436802,0.879127
131072,262144,12,0.000141,0.999108,492502.500000,0.008112,0.887239
262144,524288,41,0.000481,0.999589,2718254.563477,0.044774,0.932013
524288,1048576,35,0.000411,1.000000,4127490.547852,0.067987,1.000000

histogram,negative overhead
count,0,items
average,0.000000,KB
min,0,KB
max,0,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct

histogram,directory size (entries)
count,41,items
average,2077.512195,ents
min,0,ents
max,5600,ents
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,1,5,0.121951,0.121951,4.000000,0.000047,0.000047
2,3,2,0.048780,0.170732,5.000000,0.000059,0.000106
4,7,1,0.024390,0.195122,7.000000,0.000082,0.000188
8,15,5,0.121951,0.317073,45.000000,0.000528,0.000716
16,31,4,0.097561,0.414634,91.000000,0.001068,0.001784
32,63,2,0.048780,0.463415,100.000000,0.001174,0.002959
256,511,1,0.024390,0.487805,376.000000,0.004414,0.007373
512,1023,2,0.048780,0.536585,1654.000000,0.019418,0.026791
1024,2047,1,0.024390,0.560976,1633.000000,0.019172,0.045963
2048,4095,9,0.219512,0.780488,31455.000000,0.369285,0.415248
4096,8191,9,0.219512,1.000000,49808.000000,0.584752,1.000000

histogram,directory size
count,41,items
average,74.622237,KB
min,0,KB
max,202,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,17,0.414634,0.414634,4.747070,0.001552,0.001552
2,4,2,0.048780,0.463415,5.277344,0.001725,0.003276
8,16,1,0.024390,0.487805,11.750000,0.003840,0.007117
16,32,2,0.048780,0.536585,61.189453,0.020000,0.027117
32,64,1,0.024390,0.560976,54.133789,0.017694,0.044810
64,128,9,0.219512,0.780488,1128.154297,0.368737,0.413547
128,256,9,0.219512,1.000000,1794.259766,0.586453,1.000000

histogram,filename length
count,85179,items
average,18.781601,chars
min,4,chars
max,62,chars
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,7,35,0.000411,0.000411,180.000000,0.000113,0.000113
8,15,625,0.007337,0.007748,8405.000000,0.005254,0.005366
16,23,84407,0.990937,0.998685,1587159.000000,0.992100,0.997466
24,31,25,0.000293,0.998979,647.000000,0.000404,0.997870
32,39,36,0.000423,0.999401,1290.000000,0.000806,0.998677
40,47,48,0.000564,0.999965,1957.000000,0.001223,0.999900
48,55,2,0.000023,0.999988,98.000000,0.000061,0.999961
56,63,1,0.000012,1.000000,62.000000,0.000039,1.000000

histogram,link count
count,85137,items
average,1.000000,links
min,1,links
max,1,links
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,1,85137,1.000000,1.000000,85137.000000,1.000000,1.000000

histogram,symlink target length
count,1,items
average,66.000000,chars
min,66,chars
max,66,chars
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
64,71,1,1.000000,1.000000,66.000000,1.000000,1.000000

relative symlink target pct,0.000000
absolute symlink target pct,1.000000
histogram,mtime (files)
count,85137,items
average,39.003645,days
min,36,days
max,263,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
32,64,85121,0.999812,0.999812,3318438.588310,0.999333,0.999333
64,128,14,0.000164,0.999977,1769.903750,0.000533,0.999866
128,256,1,0.000012,0.999988,181.468079,0.000055,0.999921
256,512,1,0.000012,1.000000,263.337650,0.000079,1.000000

histogram,mtime (KB)
count,323556136,items
average,38.034395,days
min,36,days
max,263,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
32,64,323556124,1.000000,1.000000,12306260340.841669,1.000000,1.000000
64,128,10,0.000000,1.000000,1245.934205,0.000000,1.000000
128,256,1,0.000000,1.000000,291.872974,0.000000,1.000000
256,512,0,0.000000,1.000000,70.463395,0.000000,1.000000

histogram,ctime (files)
count,85137,items
average,38.918252,days
min,36,days
max,42,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
32,64,85137,1.000000,1.000000,3313383.255174,1.000000,1.000000

histogram,ctime (KB)
count,323556136,items
average,38.010760,days
min,36,days
max,42,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
32,64,323556136,1.000000,1.000000,12298614577.801041,1.000000,1.000000

histogram,atime (files)
count,85137,items
average,39.003645,days
min,36,days
max,263,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
32,64,85121,0.999812,0.999812,3318438.588310,0.999333,0.999333
64,128,14,0.000164,0.999977,1769.903750,0.000533,0.999866
128,256,1,0.000012,0.999988,181.468079,0.000055,0.999921
256,512,1,0.000012,1.000000,263.337650,0.000079,1.000000

histogram,atime (KB)
count,323556136,items
average,38.034395,days
min,36,days
max,263,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
32,64,323556124,1.000000,1.000000,12306260340.841669,1.000000,1.000000
