#Generated by fsstats v1.4.5 (03/22/2008)
#Comment: This is a comment line that can be modified or repeated before
#uploading to record voluntarily added information.

skipped special files,0
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,4.05 TB
total user data,3.47 TB
percent overhead,0.144682

histogram,file size
count,160819,items
average,23156.000476,KB
min,0,KB
max,21400009,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,5615,0.034915,0.034915,3729.764648,0.000001,0.000001
2,4,337,0.002096,0.037011,1294.293945,0.000000,0.000001
4,8,2924,0.018182,0.055192,17497.913086,0.000005,0.000006
8,16,122141,0.759494,0.814686,1585257.500977,0.000426,0.000432
16,32,3639,0.022628,0.837314,96796.388672,0.000026,0.000458
32,64,1685,0.010478,0.847792,76731.063477,0.000021,0.000478
64,128,33,0.000205,0.847997,2791.151367,0.000001,0.000479
128,256,15,0.000093,0.848090,2649.825195,0.000001,0.000480
256,512,2,0.000012,0.848103,607.739258,0.000000,0.000480
512,1024,9,0.000056,0.848158,8604.823242,0.000002,0.000482
1024,2048,21,0.000131,0.848289,37390.574219,0.000010,0.000492
2048,4096,3228,0.020072,0.868361,9893249.817383,0.002657,0.003149
4096,8192,4800,0.029847,0.898209,27623623.672852,0.007418,0.010567
8192,16384,861,0.005354,0.903562,11445730.555664,0.003074,0.013640
16384,32768,8584,0.053377,0.956939,230785065.634766,0.061974,0.075614
32768,65536,220,0.001368,0.958307,7494427.125000,0.002013,0.077627
65536,131072,3,0.000019,0.958326,325967.949219,0.000088,0.077714
131072,262144,916,0.005696,0.964022,194110009.230469,0.052125,0.129839
262144,524288,3211,0.019967,0.983988,1073294997.190430,0.288216,0.418055
524288,1048576,2339,0.014544,0.998533,1400411887.915039,0.376058,0.794113
1048576,2097152,144,0.000895,0.999428,201591631.148438,0.054134,0.848248
2097152,4194304,66,0.000410,0.999838,185915180.507812,0.049925,0.898172
4194304,8388608,10,0.000062,0.999901,45351040.220703,0.012178,0.910350
16777216,33554432,16,0.000099,1.000000,333848678.583008,0.089650,1.000000

histogram,capacity used
count,160819,items
average,27072.807893,KB
min,1,KB
max,24975241,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,65,0.000404,0.000404,97.500000,0.000000,0.000000
16,32,8812,0.054795,0.055199,224706.000000,0.000052,0.000052
32,64,122142,0.759500,0.814699,6046029.000000,0.001389,0.001440
64,128,4079,0.025364,0.840062,385918.500000,0.000089,0.001529
128,256,1254,0.007798,0.847860,198585.000000,0.000046,0.001575
256,512,37,0.000230,0.848090,12943.500000,0.000003,0.001578
512,1024,3,0.000019,0.848109,1940.500000,0.000000,0.001578
1024,2048,12,0.000075,0.848183,16282.000000,0.000004,0.001582
2048,4096,2246,0.013966,0.862149,7877417.000000,0.001809,0.003391
4096,8192,5799,0.036059,0.898209,36846722.500000,0.008463,0.011854
8192,16384,636,0.003955,0.902163,9688754.000000,0.002225,0.014079
16384,32768,7296,0.045368,0.947531,220396864.000000,0.050621,0.064701
32768,65536,1732,0.010770,0.958301,62593606.000000,0.014377,0.079078
65536,131072,2,0.000012,0.958313,161715.000000,0.000037,0.079115
131072,262144,841,0.005229,0.963543,204025061.500000,0.046861,0.125976
