#Generated by fsstats v1.4.5 (03/22/2008)
#Comment: This is a comment line that can be modified or repeated before
#uploading to record voluntarily added information.

skipped special files,0
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,201.90 MB
total user data,168.59 MB
percent overhead,0.164970

histogram,file size
count,56,items
average,3082.748239,KB
min,0,KB
max,8192,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,31,0.553571,0.553571,18.241211,0.000106,0.000106
2,4,2,0.035714,0.589286,4.785156,0.000028,0.000133
8,16,1,0.017857,0.607143,9.958008,0.000058,0.000191
512,1024,1,0.017857,0.625000,565.922852,0.003278,0.003469
8192,16384,21,0.375000,1.000000,172034.994141,0.996531,1.000000

histogram,capacity used
count,56,items
average,3690.357143,KB
min,1,KB
max,9761,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,2,0.035714,0.035714,3.000000,0.000015,0.000015
16,32,31,0.553571,0.589286,790.500000,0.003825,0.003840
32,64,1,0.017857,0.607143,49.500000,0.000240,0.004079
512,1024,1,0.017857,0.625000,825.500000,0.003994,0.008074
8192,16384,21,0.375000,1.000000,204991.500000,0.991926,1.000000

histogram,positive overhead
count,63,items
average,541.371171,KB
min,1,KB
max,1569,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,38,0.603175,0.603175,804.543945,0.023589,0.023589
2,4,2,0.031746,0.634921,46.214844,0.001355,0.024944
8,16,1,0.015873,0.650794,39.541992,0.001159,0.026104
512,1024,1,0.015873,0.666667,259.577148,0.007611,0.033714
8192,16384,21,0.333333,1.000000,32956.505859,0.966286,1.000000

histogram,negative overhead
count,0,items
average,0.000000,KB
min,0,KB
max,0,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct

histogram,directory size (entries)
count,6,items
average,10.333333,ents
min,0,ents
max,28,ents
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,1,3,0.500000,0.500000,1.000000,0.016129,0.016129
8,15,1,0.166667,0.666667,11.000000,0.177419,0.193548
16,31,2,0.333333,1.000000,50.000000,0.806452,1.000000

histogram,directory size
count,6,items
average,0.358398,KB
min,0,KB
max,1,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,6,1.000000,1.000000,2.150391,1.000000,1.000000

histogram,filename length
count,63,items
average,18.222222,chars
min,4,chars
max,62,chars
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,7,4,0.063492,0.063492,20.000000,0.017422,0.017422
8,15,19,0.301587,0.365079,241.000000,0.209930,0.227352
16,23,32,0.507937,0.873016,555.000000,0.483449,0.710801
24,31,2,0.031746,0.904762,57.000000,0.049652,0.760453
32,39,2,0.031746,0.936508,69.000000,0.060105,0.820557
48,55,3,0.047619,0.984127,144.000000,0.125436,0.945993
56,63,1,0.015873,1.000000,62.000000,0.054007,1.000000

histogram,link count
count,56,items
average,1.000000,links
min,1,links
max,1,links
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,1,56,1.000000,1.000000,56.000000,1.000000,1.000000

histogram,symlink target length
count,1,items
average,66.000000,chars
min,66,chars
max,66,chars
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
64,71,1,1.000000,1.000000,66.000000,1.000000,1.000000

relative symlink target pct,0.000000
absolute symlink target pct,1.000000
histogram,mtime (files)
count,56,items
average,70.243271,days
min,43,days
max,182,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
32,64,40,0.714286,0.714286,1849.391389,0.470150,0.470150
64,128,3,0.053571,0.767857,361.707118,0.091953,0.562102
128,256,13,0.232143,1.000000,1722.524641,0.437898,1.000000

histogram,mtime (KB)
count,172633,items
average,43.089972,days
min,43,days
max,182,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
32,64,172620,0.999925,0.999925,7437071.888885,0.999769,0.999769
64,128,5,0.000030,0.999955,628.105580,0.000084,0.999853
128,256,7,0.000045,1.000000,1090.030015,0.000147,1.000000

histogram,ctime (files)
count,56,items
average,43.019039,days
min,43,days
max,43,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
32,64,56,1.000000,1.000000,2409.066192,1.000000,1.000000

histogram,ctime (KB)
count,172633,items
average,43.019050,days
min,43,days
max,43,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
32,64,172633,1.000000,1.000000,7426546.417644,1.000000,1.000000

histogram,atime (files)
count,56,items
average,70.243271,days
min,43,days
max,182,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
32,64,40,0.714286,0.714286,1849.391389,0.470150,0.470150
64,128,3,0.053571,0.767857,361.707118,0.091953,0.562102
128,256,13,0.232143,1.000000,1722.524641,0.437898,1.000000

histogram,atime (KB)
count,172633,items
average,43.089972,days
min,43,days
max,182,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
32,64,172620,0.999925,0.999925,7437071.888885,0.999769,0.999769
64,128,5,0.000030,0.999955,628.105580,0.000084,0.999853
128,256,7,0.000045,1.000000,1090.030015,0.000147,1.000000

